goAcc,goName
GO:0000059,"protein import into nucleus, docking"
GO:0000104,succinate dehydrogenase activity
GO:0000119,mediator complex
GO:0000140,acylglycerone-phosphate reductase activity
GO:0000156,two-component response regulator activity
GO:0000214,tRNA-intron endonuclease complex
GO:0000221,"vacuolar proton-transporting V-type ATPase, V1 domain"
GO:0000247,C-8 sterol isomerase activity
GO:0000253,3-keto sterol reductase activity
GO:0000254,C-4 methylsterol oxidase activity
GO:0000300,peripheral to membrane of membrane fraction
GO:0000810,diacylglycerol pyrophosphate phosphatase activity
GO:0000907,sulfonate dioxygenase activity
GO:0001509,legumain activity
GO:0001517,N-acetylglucosamine 6-O-sulfotransferase activity
GO:0001537,N-acetylgalactosamine 4-O-sulfotransferase activity
GO:0001539,ciliary or flagellar motility
GO:0001584,rhodopsin-like receptor activity
GO:0001668,"phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity"
GO:0001758,retinal dehydrogenase activity
GO:0001760,aminocarboxymuconate-semialdehyde decarboxylase activity
GO:0001906,cell killing
GO:0001962,"alpha-1,3-galactosyltransferase activity"
GO:0003702,RNA polymerase II transcription factor activity
GO:0003707,steroid hormone receptor activity
GO:0003711,transcription elongation regulator activity
GO:0003720,telomerase activity
GO:0003763,chaperonin ATPase activity
GO:0003825,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity"
GO:0003827,"alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity"
GO:0003834,"beta-carotene 15,15'-monooxygenase activity"
GO:0003840,gamma-glutamyltransferase activity
GO:0003845,11-beta-hydroxysteroid dehydrogenase activity
GO:0003867,4-aminobutyrate transaminase activity
GO:0003869,4-nitrophenylphosphatase activity
GO:0003878,ATP citrate synthase activity
GO:0003880,C-terminal protein carboxyl methyltransferase activity
GO:0003881,CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity
GO:0003900,DNA-directed RNA polymerase I activity
GO:0003901,DNA-directed RNA polymerase II activity
GO:0003902,DNA-directed RNA polymerase III activity
GO:0003933,GTP cyclohydrolase activity
GO:0003936,hydrogen-transporting two-sector ATPase activity
GO:0003943,N-acetylgalactosamine-4-sulfatase activity
GO:0003973,(S)-2-hydroxy-acid oxidase activity
GO:0003977,UDP-N-acetylglucosamine diphosphorylase activity
GO:0003980,UDP-glucose:glycoprotein glucosyltransferase activity
GO:0003996,acyl-CoA ligase activity
GO:0004003,ATP-dependent DNA helicase activity
GO:0004004,ATP-dependent RNA helicase activity
GO:0004008,copper-exporting ATPase activity
GO:0004012,phospholipid-translocating ATPase activity
GO:0004021,alanine transaminase activity
GO:0004023,"alcohol dehydrogenase activity, metal ion-independent"
GO:0004025,"alcohol dehydrogenase activity, iron-dependent"
GO:0004030,aldehyde dehydrogenase [NAD(P)+] activity
GO:0004043,L-aminoadipate-semialdehyde dehydrogenase activity
GO:0004050,apyrase activity
GO:0004054,arginine kinase activity
GO:0004059,aralkylamine N-acetyltransferase activity
GO:0004084,branched-chain-amino-acid transaminase activity
GO:0004086,carbamoyl-phosphate synthase activity
GO:0004090,carbonyl reductase (NADPH) activity
GO:0004091,carboxylesterase activity
GO:0004092,carnitine O-acetyltransferase activity
GO:0004098,cerebroside-sulfatase activity
GO:0004103,choline kinase activity
GO:0004130,cytochrome-c peroxidase activity
GO:0004147,dihydrolipoamide branched chain acyltransferase activity
GO:0004149,dihydrolipoyllysine-residue succinyltransferase activity
GO:0004154,dihydropterin oxidase activity
GO:0004155,"6,7-dihydropteridine reductase activity"
GO:0004158,dihydroorotate oxidase activity
GO:0004165,dodecenoyl-CoA delta-isomerase activity
GO:0004171,deoxyhypusine synthase activity
GO:0004174,electron-transferring-flavoprotein dehydrogenase activity
GO:0004179,membrane alanyl aminopeptidase activity
GO:0004182,carboxypeptidase A activity
GO:0004186,carboxypeptidase C activity
GO:0004188,serine-type Pro-X carboxypeptidase activity
GO:0004192,cathepsin D activity
GO:0004193,cathepsin E activity
GO:0004194,pepsin A activity
GO:0004214,dipeptidyl-peptidase I activity
GO:0004215,cathepsin H activity
GO:0004217,cathepsin L activity
GO:0004218,cathepsin S activity
GO:0004219,pyroglutamyl-peptidase I activity
GO:0004221,ubiquitin thiolesterase activity
GO:0004226,Gly-X carboxypeptidase activity
GO:0004231,insulysin activity
GO:0004238,meprin A activity
GO:0004239,methionyl aminopeptidase activity
GO:0004240,mitochondrial processing peptidase activity
GO:0004243,mitochondrial intermediate peptidase activity
GO:0004244,mitochondrial inner membrane peptidase activity
GO:0004245,neprilysin activity
GO:0004249,stromelysin 3 activity
GO:0004251,X-Pro dipeptidase activity
GO:0004254,acylaminoacyl-peptidase activity
GO:0004258,vacuolar carboxypeptidase Y
GO:0004262,cerevisin activity
GO:0004274,dipeptidyl-peptidase IV activity
GO:0004275,enteropeptidase activity
GO:0004284,acrosin activity
GO:0004287,prolyl oligopeptidase activity
GO:0004289,subtilase activity
GO:0004295,trypsin activity
GO:0004299,proteasome endopeptidase activity
GO:0004303,estradiol 17-beta-dehydrogenase activity
GO:0004308,exo-alpha-sialidase activity
GO:0004309,exopolyphosphatase activity
GO:0004310,farnesyl-diphosphate farnesyltransferase activity
GO:0004320,oleoyl-[acyl-carrier-protein] hydrolase activity
GO:0004339,"glucan 1,4-alpha-glucosidase activity"
GO:0004344,glucose dehydrogenase activity
GO:0004354,glutamate dehydrogenase (NADP+) activity
GO:0004355,glutamate synthase (NADPH) activity
GO:0004361,glutaryl-CoA dehydrogenase activity
GO:0004374,glycine cleavage system
GO:0004375,glycine dehydrogenase (decarboxylating) activity
GO:0004384,membrane-associated guanylate kinase
GO:0004394,heparan sulfate 2-O-sulfotransferase activity
GO:0004395,hexaprenyldihydroxybenzoate methyltransferase activity
GO:0004397,histidine ammonia-lyase activity
GO:0004401,histidinol-phosphatase activity
GO:0004405,H2A/H2B histone acetyltransferase activity
GO:0004406,H3/H4 histone acetyltransferase activity
GO:0004409,homoaconitate hydratase activity
GO:0004428,inositol or phosphatidylinositol kinase activity
GO:0004430,1-phosphatidylinositol 4-kinase activity
GO:0004437,inositol or phosphatidylinositol phosphatase activity
GO:0004446,multiple inositol-polyphosphate phosphatase activity
GO:0004448,isocitrate dehydrogenase activity
GO:0004454,ketohexokinase activity
GO:0004460,L-lactate dehydrogenase (cytochrome) activity
GO:0004463,leukotriene-A4 hydrolase activity
GO:0004470,malic enzyme activity
GO:0004475,mannose-1-phosphate guanylyltransferase activity
GO:0004485,methylcrotonoyl-CoA carboxylase activity
GO:0004486,methylenetetrahydrofolate dehydrogenase activity
GO:0004487,methylenetetrahydrofolate dehydrogenase (NAD+) activity
GO:0004495,mevaldate reductase activity
GO:0004505,phenylalanine 4-monooxygenase activity
GO:0004528,phosphodiesterase I activity
GO:0004557,alpha-galactosidase activity
GO:0004558,alpha-glucosidase activity
GO:0004561,alpha-N-acetylglucosaminidase activity
GO:0004576,oligosaccharyl transferase activity
GO:0004578,chitobiosyldiphosphodolichol beta-mannosyltransferase activity
GO:0004581,dolichyl-phosphate beta-glucosyltransferase activity
GO:0004583,dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity
GO:0004584,dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase activity
GO:0004597,peptide-aspartate beta-dioxygenase activity
GO:0004600,cyclophilin
GO:0004607,phosphatidylcholine-sterol O-acyltransferase activity
GO:0004611,phosphoenolpyruvate carboxykinase activity
GO:0004629,phospholipase C activity
GO:0004632,phosphopantothenate--cysteine ligase activity
GO:0004661,protein geranylgeranyltransferase activity
GO:0004662,CAAX-protein geranylgeranyltransferase activity
GO:0004667,prostaglandin-D synthase activity
GO:0004676,3-phosphoinositide-dependent protein kinase activity
GO:0004677,DNA-dependent protein kinase activity
GO:0004680,casein kinase activity
GO:0004681,casein kinase I activity
GO:0004682,protein kinase CK2 activity
GO:0004687,myosin light chain kinase activity
GO:0004689,phosphorylase kinase activity
GO:0004690,cyclic nucleotide-dependent protein kinase activity
GO:0004694,eukaryotic translation initiation factor 2alpha kinase activity
GO:0004695,galactosyltransferase-associated kinase activity
GO:0004696,glycogen synthase kinase 3 activity
GO:0004697,protein kinase C activity
GO:0004699,calcium-independent protein kinase C activity
GO:0004700,atypical protein kinase C activity
GO:0004702,receptor signaling protein serine/threonine kinase activity
GO:0004703,G-protein coupled receptor kinase activity
GO:0004705,JUN kinase activity
GO:0004706,JUN kinase kinase kinase activity
GO:0004710,MAP/ERK kinase kinase activity
GO:0004711,ribosomal protein S6 kinase activity
GO:0004715,non-membrane spanning protein tyrosine kinase activity
GO:0004718,Janus kinase activity
GO:0004723,calcium-dependent protein serine/threonine phosphatase activity
GO:0004724,magnesium-dependent protein serine/threonine phosphatase activity
GO:0004727,prenylated protein tyrosine phosphatase activity
GO:0004740,pyruvate dehydrogenase (acetyl-transferring) kinase activity
GO:0004745,retinol dehydrogenase activity
GO:0004748,ribonucleoside-diphosphate reductase activity
GO:0004764,shikimate 5-dehydrogenase activity
GO:0004765,shikimate kinase activity
GO:0004766,spermidine synthase activity
GO:0004773,steryl-sulfatase activity
GO:0004774,succinate-CoA ligase activity
GO:0004779,sulfate adenylyltransferase activity
GO:0004787,thiamin-pyrophosphatase activity
GO:0004795,threonine synthase activity
GO:0004808,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity
GO:0004811,tRNA isopentenyltransferase activity
GO:0004838,tyrosine transaminase activity
GO:0004866,endopeptidase inhibitor activity
GO:0004871,signal transducer activity
GO:0004872,receptor activity
GO:0005083,small GTPase regulator activity
GO:0005086,ARF guanyl-nucleotide exchange factor activity
GO:0005089,Rho guanyl-nucleotide exchange factor activity
GO:0005097,Rab GTPase activator activity
GO:0005215,transporter activity
GO:0005328,neurotransmitter:sodium symporter activity
GO:0005338,nucleotide-sugar transmembrane transporter activity
GO:0005351,sugar:hydrogen symporter activity
GO:0005488,binding
GO:0005496,steroid binding
GO:0005498,sterol carrier activity
GO:0005529,sugar binding
GO:0005677,chromatin silencing complex
GO:0005792,microsome
GO:0005834,heterotrimeric G-protein complex
GO:0005945,6-phosphofructokinase complex
GO:0005949,aminoadipate-semialdehyde dehydrogenase complex
GO:0005958,DNA-dependent protein kinase complex
GO:0005963,magnesium-dependent protein serine/threonine phosphatase complex
GO:0006030,chitin metabolic process
GO:0006032,chitin catabolic process
GO:0006066,alcohol metabolic process
GO:0006100,tricarboxylic acid cycle intermediate metabolic process
GO:0006118,electron transport
GO:0006350,transcription
GO:0006461,protein complex assembly
GO:0006467,protein thiol-disulfide exchange
GO:0006479,protein amino acid methylation
GO:0006499,N-terminal protein myristoylation
GO:0006505,GPI anchor metabolic process
GO:0006510,ATP-dependent proteolysis
GO:0006512,ubiquitin cycle
