goAcc,desc
GO:0000001,mitochondrion inheritance
GO:0000002,mitochondrial genome maintenance
GO:0000011,vacuole inheritance
GO:0000018,regulation of DNA recombination
GO:0000019,regulation of mitotic recombination
GO:0000022,mitotic spindle elongation
GO:0000023,maltose metabolic process
GO:0000027,ribosomal large subunit assembly
GO:0000028,ribosomal small subunit assembly
GO:0000035,acyl binding
GO:0000038,very long-chain fatty acid metabolic process
GO:0000041,transition metal ion transport
GO:0000045,autophagosome assembly
GO:0000050,urea cycle
GO:0000054,ribosomal subunit export from nucleus
GO:0000055,ribosomal large subunit export from nucleus
GO:0000056,ribosomal small subunit export from nucleus
GO:0000064,L-ornithine transmembrane transporter activity
GO:0000070,mitotic sister chromatid segregation
GO:0000075,cell cycle checkpoint signaling
GO:0000076,DNA replication checkpoint signaling
GO:0000077,DNA damage checkpoint signaling
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0000082,G1/S transition of mitotic cell cycle
GO:0000083,regulation of transcription involved in G1/S transition of mitotic cell cycle
GO:0000086,G2/M transition of mitotic cell cycle
GO:0000096,sulfur amino acid metabolic process
GO:0000097,sulfur amino acid biosynthetic process
GO:0000110,nucleotide-excision repair factor 1 complex
GO:0000111,nucleotide-excision repair factor 2 complex
GO:0000112,nucleotide-excision repair factor 3 complex
GO:0000117,regulation of transcription involved in G2/M transition of mitotic cell cycle
GO:0000118,histone deacetylase complex
GO:0000122,negative regulation of transcription by RNA polymerase II
GO:0000123,histone acetyltransferase complex
GO:0000124,SAGA complex
GO:0000126,transcription factor TFIIIB complex
GO:0000127,transcription factor TFIIIC complex
GO:0000128,flocculation
GO:0000131,incipient cellular bud site
GO:0000132,establishment of mitotic spindle orientation
GO:0000138,Golgi trans cisterna
GO:0000144,cellular bud neck septin ring
GO:0000147,actin cortical patch assembly
GO:0000149,SNARE binding
GO:0000152,nuclear ubiquitin ligase complex
GO:0000153,cytoplasmic ubiquitin ligase complex
GO:0000164,protein phosphatase type 1 complex
GO:0000165,MAPK cascade
GO:0000172,ribonuclease MRP complex
GO:0000176,nuclear exosome (RNase complex)
GO:0000178,exosome (RNase complex)
GO:0000182,rDNA binding
GO:0000183,rDNA heterochromatin assembly
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
GO:0000209,protein polyubiquitination
GO:0000212,meiotic spindle organization
GO:0000215,tRNA 2'-phosphotransferase activity
GO:0000220,"vacuolar proton-transporting V-type ATPase, V0 domain"
GO:0000224,peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity
GO:0000228,nuclear chromosome
GO:0000229,cytoplasmic chromosome
GO:0000235,astral microtubule
GO:0000244,spliceosomal tri-snRNP complex assembly
GO:0000246,delta24(24-1) sterol reductase activity
GO:0000255,allantoin metabolic process
GO:0000256,allantoin catabolic process
GO:0000266,mitochondrial fission
GO:0000271,polysaccharide biosynthetic process
GO:0000272,polysaccharide catabolic process
GO:0000275,"mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)"
GO:0000276,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
GO:0000278,mitotic cell cycle
GO:0000280,nuclear division
GO:0000281,mitotic cytokinesis
GO:0000282,cellular bud site selection
GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening
GO:0000290,deadenylation-dependent decapping of nuclear-transcribed mRNA
GO:0000291,"nuclear-transcribed mRNA catabolic process, exonucleolytic"
GO:0000295,adenine nucleotide transmembrane transporter activity
GO:0000301,"retrograde transport, vesicle recycling within Golgi"
GO:0000302,response to reactive oxygen species
GO:0000303,response to superoxide
GO:0000307,cyclin-dependent protein kinase holoenzyme complex
GO:0000309,nicotinamide-nucleotide adenylyltransferase activity
GO:0000310,xanthine phosphoribosyltransferase activity
GO:0000313,organellar ribosome
GO:0000314,organellar small ribosomal subunit
GO:0000315,organellar large ribosomal subunit
GO:0000324,fungal-type vacuole
GO:0000325,plant-type vacuole
GO:0000328,fungal-type vacuole lumen
GO:0000329,fungal-type vacuole membrane
GO:0000331,contractile vacuole
GO:0000337,"regulation of transposition, DNA-mediated"
GO:0000338,protein deneddylation
GO:0000339,RNA cap binding
GO:0000340,RNA 7-methylguanosine cap binding
GO:0000347,THO complex
GO:0000349,generation of catalytic spliceosome for first transesterification step
GO:0000350,generation of catalytic spliceosome for second transesterification step
GO:0000372,Group I intron splicing
GO:0000373,Group II intron splicing
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"
GO:0000380,"alternative mRNA splicing, via spliceosome"
GO:0000381,"regulation of alternative mRNA splicing, via spliceosome"
GO:0000384,first spliceosomal transesterification activity
GO:0000386,second spliceosomal transesterification activity
GO:0000387,spliceosomal snRNP assembly
GO:0000389,mRNA 3'-splice site recognition
GO:0000400,four-way junction DNA binding
GO:0000403,Y-form DNA binding
GO:0000406,double-strand/single-strand DNA junction binding
GO:0000407,phagophore assembly site
GO:0000408,EKC/KEOPS complex
GO:0000413,protein peptidyl-prolyl isomerization
GO:0000415,negative regulation of histone H3-K36 methylation
GO:0000421,autophagosome membrane
GO:0000422,autophagy of mitochondrion
GO:0000428,DNA-directed RNA polymerase complex
GO:0000445,THO complex part of transcription export complex
GO:0000447,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000448,"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000453,enzyme-directed rRNA 2'-O-methylation
GO:0000455,enzyme-directed rRNA pseudouridine synthesis
GO:0000460,maturation of 5.8S rRNA
