goAcc,desc
GO:0000009,"alpha-1,6-mannosyltransferase activity"
GO:0000015,phosphopyruvate hydratase complex
GO:0000026,"alpha-1,2-mannosyltransferase activity"
GO:0000030,mannosyltransferase activity
GO:0000033,"alpha-1,3-mannosyltransferase activity"
GO:0000036,acyl carrier activity
GO:0000049,tRNA binding
GO:0000062,fatty-acyl-CoA binding
GO:0000103,sulfate assimilation
GO:0000105,histidine biosynthetic process
GO:0000107,imidazoleglycerol-phosphate synthase activity
GO:0000139,Golgi membrane
GO:0000145,exocyst
GO:0000150,DNA strand exchange activity
GO:0000151,ubiquitin ligase complex
GO:0000154,rRNA modification
GO:0000155,phosphorelay sensor kinase activity
GO:0000159,protein phosphatase type 2A complex
GO:0000160,phosphorelay signal transduction system
GO:0000162,tryptophan biosynthetic process
GO:0000166,nucleotide binding
GO:0000175,3'-5'-exoribonuclease activity
GO:0000179,"rRNA (adenine-N6,N6-)-dimethyltransferase activity"
GO:0000213,tRNA-intron endonuclease activity
GO:0000225,N-acetylglucosaminylphosphatidylinositol deacetylase activity
GO:0000226,microtubule cytoskeleton organization
GO:0000245,spliceosomal complex assembly
GO:0000250,lanosterol synthase activity
GO:0000252,C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity
GO:0000285,1-phosphatidylinositol-3-phosphate 5-kinase activity
GO:0000287,magnesium ion binding
GO:0000293,ferric-chelate reductase activity
GO:0000334,"3-hydroxyanthranilate 3,4-dioxygenase activity"
GO:0000398,"mRNA splicing, via spliceosome"
GO:0000439,transcription factor TFIIH core complex
GO:0000701,purine-specific mismatch base pair DNA N-glycosylase activity
GO:0000724,double-strand break repair via homologous recombination
GO:0000774,adenyl-nucleotide exchange factor activity
GO:0000775,"chromosome, centromeric region"
GO:0000785,chromatin
GO:0000786,nucleosome
GO:0000808,origin recognition complex
GO:0000922,spindle pole
GO:0001522,pseudouridine synthesis
GO:0001671,ATPase activator activity
GO:0001681,sialate O-acetylesterase activity
GO:0001729,ceramide kinase activity
GO:0001735,prenylcysteine oxidase activity
GO:0003676,nucleic acid binding
GO:0003677,DNA binding
GO:0003678,DNA helicase activity
GO:0003682,chromatin binding
GO:0003684,damaged DNA binding
GO:0003689,DNA clamp loader activity
GO:0003697,single-stranded DNA binding
GO:0003700,DNA-binding transcription factor activity
GO:0003712,transcription coregulator activity
GO:0003713,transcription coactivator activity
GO:0003723,RNA binding
GO:0003724,RNA helicase activity
GO:0003725,double-stranded RNA binding
GO:0003735,structural constituent of ribosome
GO:0003743,translation initiation factor activity
GO:0003746,translation elongation factor activity
GO:0003747,translation release factor activity
GO:0003755,peptidyl-prolyl cis-trans isomerase activity
GO:0003756,protein disulfide isomerase activity
GO:0003774,motor activity
GO:0003777,microtubule motor activity
GO:0003779,actin binding
GO:0003810,protein-glutamine gamma-glutamyltransferase activity
GO:0003824,catalytic activity
GO:0003838,sterol 24-C-methyltransferase activity
GO:0003841,1-acylglycerol-3-phosphate O-acyltransferase activity
GO:0003847,1-alkyl-2-acetylglycerophosphocholine esterase activity
GO:0003848,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity
GO:0003849,3-deoxy-7-phosphoheptulonate synthase activity
GO:0003852,2-isopropylmalate synthase activity
GO:0003854,3-beta-hydroxy-delta5-steroid dehydrogenase activity
GO:0003855,3-dehydroquinate dehydratase activity
GO:0003856,3-dehydroquinate synthase activity
GO:0003857,3-hydroxyacyl-CoA dehydrogenase activity
GO:0003861,3-isopropylmalate dehydratase activity
GO:0003862,3-isopropylmalate dehydrogenase activity
GO:0003863,3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity
GO:0003864,3-methyl-2-oxobutanoate hydroxymethyltransferase activity
GO:0003865,3-oxo-5-alpha-steroid 4-dehydrogenase activity
GO:0003866,3-phosphoshikimate 1-carboxyvinyltransferase activity
GO:0003870,5-aminolevulinate synthase activity
GO:0003872,6-phosphofructokinase activity
GO:0003874,6-pyruvoyltetrahydropterin synthase activity
GO:0003876,AMP deaminase activity
GO:0003879,ATP phosphoribosyltransferase activity
GO:0003883,CTP synthase activity
GO:0003885,"D-arabinono-1,4-lactone oxidase activity"
GO:0003886,DNA (cytosine-5-)-methyltransferase activity
GO:0003887,DNA-directed DNA polymerase activity
GO:0003896,DNA primase activity
GO:0003899,DNA-directed 5'-3' RNA polymerase activity
GO:0003904,deoxyribodipyrimidine photo-lyase activity
GO:0003905,alkylbase DNA N-glycosylase activity
GO:0003906,DNA-(apurinic or apyrimidinic site) endonuclease activity
GO:0003908,methylated-DNA-[protein]-cysteine S-methyltransferase activity
GO:0003910,DNA ligase (ATP) activity
GO:0003911,DNA ligase (NAD+) activity
GO:0003913,DNA photolyase activity
GO:0003916,DNA topoisomerase activity
GO:0003917,"DNA topoisomerase type I (single strand cut, ATP-independent) activity"
GO:0003918,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity"
GO:0003919,FMN adenylyltransferase activity
GO:0003920,GMP reductase activity
GO:0003922,GMP synthase (glutamine-hydrolyzing) activity
GO:0003923,GPI-anchor transamidase activity
GO:0003924,GTPase activity
GO:0003925,G protein activity
GO:0003934,GTP cyclohydrolase I activity
GO:0003935,GTP cyclohydrolase II activity
GO:0003937,IMP cyclohydrolase activity
GO:0003938,IMP dehydrogenase activity
GO:0003941,L-serine ammonia-lyase activity
GO:0003942,N-acetyl-gamma-glutamyl-phosphate reductase activity
GO:0003949,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity
GO:0003950,"NAD+ ADP-ribosyltransferase activity"
GO:0003951,"NAD+ kinase activity"
GO:0003952,"NAD+ synthase (glutamine-hydrolyzing) activity"
GO:0003954,"NADH dehydrogenase activity"
GO:0003958,"NADPH-hemoprotein reductase activity"
GO:0003959,"NADPH dehydrogenase activity"
GO:0003960,"NADPH:quinone reductase activity"
GO:0003961,O-acetylhomoserine aminocarboxypropyltransferase activity
GO:0003963,RNA-3'-phosphate cyclase activity
GO:0003964,RNA-directed DNA polymerase activity
GO:0003975,UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity
GO:0003978,UDP-glucose 4-epimerase activity
GO:0003979,UDP-glucose 6-dehydrogenase activity
GO:0003983,UTP:glucose-1-phosphate uridylyltransferase activity
GO:0003984,acetolactate synthase activity
GO:0003985,acetyl-CoA C-acetyltransferase activity
GO:0003987,acetate-CoA ligase activity
GO:0003988,acetyl-CoA C-acyltransferase activity
GO:0003989,acetyl-CoA carboxylase activity
GO:0003991,acetylglutamate kinase activity
GO:0003992,N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity
GO:0003993,acid phosphatase activity
GO:0003994,aconitate hydratase activity
GO:0003995,acyl-CoA dehydrogenase activity
GO:0003997,acyl-CoA oxidase activity
GO:0003998,acylphosphatase activity
GO:0003999,adenine phosphoribosyltransferase activity
GO:0004000,adenosine deaminase activity
GO:0004001,adenosine kinase activity
GO:0004013,adenosylhomocysteinase activity
GO:0004014,adenosylmethionine decarboxylase activity
GO:0004015,adenosylmethionine-8-amino-7-oxononanoate transaminase activity
GO:0004016,adenylate cyclase activity
GO:0004017,adenylate kinase activity
GO:0004018,"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity"
GO:0004019,adenylosuccinate synthase activity
GO:0004020,adenylylsulfate kinase activity
GO:0004022,alcohol dehydrogenase (NAD+) activity
GO:0004024,"alcohol dehydrogenase activity, zinc-dependent"
GO:0004029,aldehyde dehydrogenase (NAD+) activity
GO:0004033,aldo-keto reductase (NADP) activity
GO:0004034,aldose 1-epimerase activity
GO:0004037,allantoicase activity
GO:0004042,acetyl-CoA:L-glutamate N-acetyltransferase activity
GO:0004044,amidophosphoribosyltransferase activity
GO:0004045,aminoacyl-tRNA hydrolase activity
GO:0004046,aminoacylase activity
GO:0004047,aminomethyltransferase activity
GO:0004048,anthranilate phosphoribosyltransferase activity
GO:0004049,anthranilate synthase activity
GO:0004053,arginase activity
GO:0004055,argininosuccinate synthase activity
GO:0004056,argininosuccinate lyase activity
GO:0004065,arylsulfatase activity
GO:0004066,asparagine synthase (glutamine-hydrolyzing) activity
GO:0004067,asparaginase activity
GO:0004069,L-aspartate:2-oxoglutarate aminotransferase activity
GO:0004070,aspartate carbamoyltransferase activity
GO:0004072,aspartate kinase activity
GO:0004073,aspartate-semialdehyde dehydrogenase activity
GO:0004076,biotin synthase activity
GO:0004077,biotin-[acetyl-CoA-carboxylase] ligase activity
GO:0004085,butyryl-CoA dehydrogenase activity
GO:0004087,carbamoyl-phosphate synthase (ammonia) activity
GO:0004088,carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
GO:0004089,carbonate dehydratase activity
GO:0004095,carnitine O-palmitoyltransferase activity
GO:0004096,catalase activity
GO:0004105,choline-phosphate cytidylyltransferase activity
GO:0004106,chorismate mutase activity
GO:0004107,chorismate synthase activity
GO:0004108,citrate (Si)-synthase activity
GO:0004109,coproporphyrinogen oxidase activity
GO:0004114,"3',5'-cyclic-nucleotide phosphodiesterase activity"
GO:0004121,cystathionine beta-lyase activity
GO:0004122,cystathionine beta-synthase activity
GO:0004123,cystathionine gamma-lyase activity
GO:0004124,cysteine synthase activity
GO:0004126,cytidine deaminase activity
GO:0004127,cytidylate kinase activity
GO:0004128,"cytochrome-b5 reductase activity, acting on NAD(P)H"
GO:0004129,cytochrome-c oxidase activity
GO:0004131,cytosine deaminase activity
GO:0004139,deoxyribose-phosphate aldolase activity
GO:0004140,dephospho-CoA kinase activity
GO:0004141,dethiobiotin synthase activity
GO:0004143,diacylglycerol kinase activity
GO:0004144,diacylglycerol O-acyltransferase activity
GO:0004148,dihydrolipoyl dehydrogenase activity
GO:0004151,dihydroorotase activity
GO:0004152,dihydroorotate dehydrogenase activity
GO:0004156,dihydropteroate synthase activity
GO:0004160,dihydroxy-acid dehydratase activity
GO:0004163,diphosphomevalonate decarboxylase activity
GO:0004164,diphthine synthase activity
GO:0004170,dUTP diphosphatase activity
GO:0004175,endopeptidase activity
GO:0004176,ATP-dependent peptidase activity
GO:0004177,aminopeptidase activity
GO:0004181,metallocarboxypeptidase activity
GO:0004185,serine-type carboxypeptidase activity
GO:0004190,aspartic-type endopeptidase activity
GO:0004197,cysteine-type endopeptidase activity
GO:0004198,calcium-dependent cysteine-type endopeptidase activity
GO:0004222,metalloendopeptidase activity
GO:0004252,serine-type endopeptidase activity
GO:0004298,threonine-type endopeptidase activity
GO:0004300,enoyl-CoA hydratase activity
GO:0004301,epoxide hydrolase activity
GO:0004306,ethanolamine-phosphate cytidylyltransferase activity
GO:0004307,ethanolaminephosphotransferase activity
GO:0004312,fatty acid synthase activity
GO:0004314,[acyl-carrier-protein] S-malonyltransferase activity
GO:0004315,3-oxoacyl-[acyl-carrier-protein] synthase activity
GO:0004316,3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity
GO:0004318,enoyl-[acyl-carrier-protein] reductase (NADH) activity
GO:0004324,ferredoxin-NADP+ reductase activity
GO:0004325,ferrochelatase activity
GO:0004326,tetrahydrofolylpolyglutamate synthase activity
GO:0004329,formate-tetrahydrofolate ligase activity
GO:0004332,fructose-bisphosphate aldolase activity
GO:0004333,fumarate hydratase activity
GO:0004334,fumarylacetoacetase activity
GO:0004335,galactokinase activity
GO:0004336,galactosylceramidase activity
GO:0004342,glucosamine-6-phosphate deaminase activity
