name_anno,max_exp,max_exp_raw
125465,24.31,21707300.06
141423,24.31,21983000
84665,24.29,23142815.19
105065,23.73,14771782.42
79000,23.51,13026822.28
42195,23.46,12332944.91
46246,23.39,12286454.75
46390,23.31,12247284.5
41691,23.29,10742761.71
46347,23.17,10796383.29
85647,23.12,9307681.05
78378,23.11,9413658.79
136098,23.08,10483579.4
6602,23.07,9673715.54
114497,23.05,9802151.24
12559,22.99,8408096.99
142698,22.97,8902112.24
145675,22.93,8848252.8
138997,22.91,7974379.57
136262,22.87,8436404.11
82753,22.85,8185400
136227,22.84,8452769.15
42092,22.83,9124968.51
42736,22.81,8451426.4
36111,22.81,7904533.24
85300,22.81,8480195.94
116490,22.78,8002398.33
140619,22.76,7339003.76
120109,22.76,8135636.43
137978,22.76,8609743.23
79468,22.74,7400872.43
80143,22.71,7276972.12
142626,22.7,8211293.65
137957,22.7,7417448.76
42384,22.68,8184200
140148,22.64,6752300
118443,22.61,7176448.18
45653,22.61,6756789.39
142158,22.6,6959374.31
141485,22.57,6965393.5
86370,22.56,6949323.34
78450,22.51,6346857.06
46198,22.49,6508347.06
44289,22.49,6352700
139905,22.48,6765426.43
72566,22.47,6929425.64
83414,22.45,6624922.03
81320,22.45,6960846.24
47709,22.44,6334900
34362,22.41,6083485.96
63582,22.41,6036418.06
83660,22.4,6163939.64
71960,22.38,5662712.58
114891,22.35,6186698.11
68849,22.31,5600751.89
115689,22.3,5795799.07
142238,22.29,5499323.91
44843,22.29,5658525.2
142686,22.29,5224926.55
139509,22.27,5220500
141670,22.26,5326163.36
142895,22.23,5060666.5
2614,22.23,5134311.06
137277,22.22,5498359.73
139055,22.22,5251140.22
43296,22.21,5197500
140531,22.19,5236785.5
141948,22.18,5071568.18
136855,22.18,5127818.59
48519,22.18,4850322.76
125563,22.17,5336014.08
139062,22.16,5150220.12
68789,22.16,5718200
71680,22.15,5207939.19
138233,22.14,4817938.78
44030,22.13,5023155.63
146288,22.13,4943350.66
136502,22.13,5464345.72
83274,22.12,4977071.01
42124,22.12,4972190.66
136048,22.11,5822500
136697,22.11,5060208.09
42828,22.11,5798100
42275,22.11,5332034.12
141892,22.07,5438001.17
83581,22.07,4587079.11
44584,22.06,4658238.51
43379,22.06,4626900
45451,22.05,4624613.06
136463,22.05,4519609.51
43262,22.05,5103815.79
142637,22.04,4611335.12
141059,22.04,4794812.38
34480,22.04,5137490.23
82725,22.03,4331651.65
48072,22.02,4989284.5
117291,22.01,4598781.18
107249,21.99,5479859.61
47491,21.99,4363300
45310,21.98,4397196.65
42143,21.98,4452648.94
11058,21.97,4340721.11
147947,21.97,4810021.45
139589,21.96,4125680.51
45185,21.96,4520039.52
47450,21.96,4622790
138365,21.96,4494749.27
42058,21.94,4702220.13
37145,21.94,5206518.35
83486,21.92,4887178.73
39605,21.92,4316818.68
41896,21.91,4501469.69
104882,21.91,4659178.48
45860,21.91,4017329.38
45900,21.91,4140732.16
37656,21.9,4386413.5
140047,21.9,4481416.15
137186,21.89,3911228.94
80369,21.88,4476946.75
115514,21.88,4313758.62
140959,21.88,4408070.68
137668,21.88,3938405.67
137176,21.88,4520597
140607,21.87,4134781.08
114188,21.87,4393691.32
46880,21.86,4067639.22
72990,21.86,4659200
140992,21.86,4077331.27
42652,21.86,3990686.04
102883,21.85,4359154.34
45035,21.85,4165294.62
71528,21.85,4294648.08
71163,21.84,4198188.04
120126,21.84,4638770.32
138216,21.84,4010200
44178,21.83,4236999.74
69658,21.83,3835022.77
82186,21.83,3969745.77
44064,21.81,4165657.4
72735,21.81,3867281.08
6170,21.81,3908654.37
114364,21.81,3994200
42278,21.79,4306791.82
75346,21.78,4148600
42290,21.78,3664958.94
141478,21.78,4137331.13
115161,21.78,4104838.22
140639,21.76,3836440.68
73845,21.76,3871801.53
126688,21.75,3982381.18
142511,21.75,4179032.3
47873,21.75,3664886.46
142396,21.74,4121164.4
2136,21.74,4310974.19
83142,21.73,4047106.14
66605,21.73,3953681.5
8441,21.73,3743979.66
46627,21.73,3672367.18
46343,21.72,3614163.77
122551,21.72,3724126.37
74137,21.71,4203289.11
137433,21.71,3532292.44
5476,21.71,3735011.5
85053,21.69,3581413.95
140804,21.69,3462400
140885,21.69,3979458.28
139036,21.69,4139796.19
116973,21.68,4073256.37
34765,21.68,3882300
28528,21.66,3719356.4
138363,21.66,3998906.21
43167,21.65,3631115.02
42435,21.65,4262300
69685,21.65,3461263.04
140542,21.65,4337843.83
43598,21.65,3988976.53
142565,21.64,3756562.34
139742,21.64,3362763.58
61706,21.62,3317100
140215,21.62,3929141.97
46884,21.62,3246914.26
45370,21.61,3323508.86
70503,21.61,4091600
137857,21.59,3347979.5
43584,21.59,3297670
137611,21.59,3548733.59
45604,21.59,3465852.08
42084,21.59,3520918.26
41637,21.59,3588787.32
72646,21.58,4129385.22
75393,21.58,3799247.88
43893,21.57,3370562.23
138764,21.57,3198924.86
48454,21.57,3212049.34
42891,21.57,3248451.59
82080,21.56,3257211.98
139108,21.56,3285000
141377,21.55,3227303.87
82949,21.55,3052218.29
139962,21.55,3918018.72
142750,21.55,3447302.33
40066,21.55,3309675.78
44258,21.55,3270378.57
48616,21.55,3361025.48
76810,21.54,3432458.53
42521,21.54,4512100
139729,21.53,3226918.45
47403,21.52,3549998.21
138285,21.51,3383427.17
138951,21.51,3726680.59
9990,21.51,3228000
1192,21.51,3159430.87
71189,21.5,3455100
115215,21.5,3677541.18
46997,21.5,3198240.23
46169,21.49,3248116.23
136647,21.48,3946630.69
79344,21.48,3595795.92
85288,21.48,3070783.26
149581,21.48,3362750.05
136196,21.48,3848108.67
71966,21.46,3090755.17
142921,21.46,3088208.33
98848,21.46,3060374.81
42438,21.45,3022037.7
138220,21.45,2919064.05
74731,21.45,3540682.95
7713,21.45,2890742.2
105921,21.44,3145741.65
136651,21.44,3542744.44
46782,21.44,3791915.14
136607,21.43,3417978.62
137670,21.43,3244045.38
140120,21.42,3000933.31
137280,21.42,3268586.89
39355,21.41,3603000
140942,21.41,2999439.19
142887,21.41,3257454.46
116188,21.4,2995423.75
116011,21.4,3530538.26
38006,21.4,3168842.48
48045,21.39,3116633.96
140755,21.39,3444499.19
142583,21.39,3021010.5
142722,21.38,3158168.25
47525,21.38,3467731.85
140822,21.38,3210669.93
136093,21.37,3067630.87
46982,21.37,2938073.74
138808,21.36,3195535.64
79063,21.36,3091631.53
46158,21.36,3138627.6
42941,21.36,3286020.65
48515,21.35,3685126.17
68400,21.35,2853379.05
45357,21.35,3254986.21
70359,21.35,3438505.8
114690,21.35,2806571.79
81660,21.35,3542825.71
138926,21.34,2713038.06
43700,21.33,3025009.35
73963,21.33,3630693.16
47441,21.33,2824903.29
42142,21.33,2958354.58
42133,21.33,3233900
42671,21.33,2871955.59
140668,21.33,2859552.52
83237,21.32,2975785.2
44896,21.32,2691602.5
43799,21.32,3065600
47930,21.31,2806988.57
43568,21.3,3333679.48
142871,21.3,2775508.46
47755,21.29,2801095.2
47886,21.29,2744131.11
141761,21.28,3293223.96
79105,21.28,3065900
85346,21.28,2936900
45444,21.28,3022224.47
41622,21.27,2918507.52
46560,21.27,3181858.56
46582,21.27,2834868.26
73779,21.27,2833599.34
137221,21.26,2819621.68
74103,21.26,2687963.47
138946,21.26,2607400
47988,21.26,2943603.94
70150,21.26,2707764.77
138458,21.25,2757510.82
137104,21.25,2796100
43908,21.25,3002987.72
139091,21.25,2753687.57
100711,21.25,2916609.1
45412,21.25,2691100
136286,21.24,2604917.79
136654,21.23,3017100
44935,21.23,2880531.65
142380,21.23,2633567.37
143704,21.22,2921677.17
138959,21.22,2828642.98
69076,21.22,2692529.06
78757,21.21,2851064.8
140071,21.21,2669070.5
142917,21.21,2569133.59
140756,21.21,2672700.06
140373,21.2,2542501.71
54189,21.2,2670267.42
136301,21.19,2618869.34
140684,21.19,3085823.93
76848,21.18,2534086.22
143033,21.18,2657481.2
120334,21.18,2708901.85
73186,21.17,2501338.05
81934,21.17,2769300
84347,21.17,2604563.74
137368,21.17,2711214.15
48380,21.17,2760517.63
45216,21.16,2470239.82
137187,21.16,2499208.42
140893,21.16,2453039.29
137794,21.15,2760426.38
36775,21.15,2978642.14
70139,21.14,2477944.24
137849,21.14,2863261.34
137990,21.13,2779602.76
43850,21.13,2733829.4
47633,21.13,2601617.04
138980,21.13,3118497.64
142490,21.13,2680600
44810,21.12,2596700
48468,21.12,2629513.08
43100,21.11,2672040.88
80026,21.11,2671300
119116,21.11,2703632.94
142440,21.11,2666032.05
68334,21.11,2817000
85466,21.11,2609451.35
136376,21.11,2747400
124602,21.11,2528559.44
48707,21.11,2798200
139747,21.1,2675922.38
80810,21.1,2453594.22
43520,21.1,2356665.57
142768,21.09,2331100
7531,21.09,2647600
75220,21.09,2905802.9
136299,21.08,2481378.34
63536,21.07,2293300
141222,21.07,2529758.97
85731,21.07,2986776.41
139427,21.07,2484387.81
43822,21.06,2449791.02
69542,21.06,2212600
42182,21.05,2954551.01
42238,21.05,2324326.37
42396,21.04,2720294.98
47355,21.03,2470001.2
142443,21.03,2338700
75654,21.03,2421869.72
44342,21.02,2643803.38
137494,21.01,2432705.73
140770,21.01,2391108.62
141473,21,2266108.14
43000,21,2476400
139799,20.99,2303257.35
136102,20.98,2242352.81
12485,20.98,2395378.82
45399,20.98,2318008.28
46070,20.98,2238826.83
139391,20.98,2288893.34
139080,20.97,2347350.65
149380,20.97,2236426.61
47773,20.97,2530112.33
34306,20.97,2229745.93
44339,20.96,2164732.87
103007,20.95,2050553.9
48373,20.95,2241059.62
46910,20.95,2218405.52
71350,20.95,2363398.07
130100,20.95,2210238.2
141086,20.95,2324856.98
35030,20.94,2169083.86
139751,20.94,2223088.99
42525,20.93,2374654.43
141651,20.93,2088146.07
140610,20.93,2246892.32
84586,20.93,2983958.37
43961,20.92,2867864.33
45236,20.91,2067165.28
45831,20.91,2232166.01
6812,20.91,2054079.73
41827,20.91,2138510.07
44539,20.9,2613577.74
119810,20.9,2298707.58
138707,20.9,2486050.04
101509,20.9,2247200
141833,20.89,2405154.29
139154,20.88,2599278.48
48863,20.88,2278997.96
117715,20.88,2444001.32
47826,20.88,1985494.27
42915,20.88,2142204.31
139081,20.87,2338946.24
44559,20.87,2036366.26
142114,20.86,2165200
45760,20.86,2280453.51
42764,20.85,2247420.12
42422,20.85,2726039.89
70178,20.85,1954959.95
8126,20.84,2000925.55
140906,20.84,2351625.34
47705,20.84,2084442.51
44310,20.83,2108173.73
116936,20.83,2073645.5
136702,20.83,1948703.65
115200,20.83,1909059.75
137616,20.82,2109287.83
141672,20.82,2312985.97
73873,20.82,2043634.55
9614,20.81,2286905.08
142428,20.81,2207844.2
136865,20.81,1974421.09
47295,20.81,2112094.62
46923,20.81,2054704.4
73614,20.81,2404556.51
136608,20.8,1999080.32
76018,20.8,1904222.47
139292,20.8,1890275.45
44417,20.8,2275072.76
41586,20.79,2030261.29
48674,20.79,2043000
138805,20.78,2076915.54
142194,20.78,2205184.17
44962,20.78,1883875.59
243,20.78,2284276.94
45223,20.78,1906600
41946,20.77,2229295.68
139555,20.77,2029680.6
81433,20.77,2330200
41994,20.77,2045072.18
141656,20.77,1926728.67
2349,20.76,1999355.53
141950,20.76,2240164.16
138505,20.76,1981987.65
34581,20.76,1922082.39
76233,20.75,1833880.7
104908,20.75,1975191.17
137525,20.75,1886269.15
139328,20.75,2092069.98
49344,20.74,2253200
69397,20.74,2101913.67
43746,20.74,1856335.58
43817,20.74,2326637.86
6697,20.73,2278925.93
43938,20.73,1769958.71
63111,20.73,2335394.8
76467,20.73,2161325.68
140516,20.72,2111946.89
45134,20.72,1929720.81
52554,20.72,2244100
81116,20.71,1922119.28
45032,20.71,2010381.21
45395,20.7,1864657.59
139114,20.7,2131225.23
77767,20.7,1874929.64
46847,20.69,1891899.17
29301,20.69,1980166.67
42009,20.69,2075993.8
45948,20.69,1728628.99
42417,20.68,1810431.16
48265,20.68,2120711.83
631,20.68,1854373.12
44120,20.68,2101755.22
44883,20.67,1716688.36
123824,20.67,2252184.63
137840,20.67,1824316.44
109712,20.67,2222700
30894,20.67,2173800.92
136342,20.67,2005892.88
40250,20.67,1914379.05
142578,20.66,2003985.96
45449,20.66,1892672.28
41722,20.65,1952708.12
74860,20.65,1683300
48124,20.65,1860700
141352,20.64,1777905.44
42250,20.64,1693535.82
137243,20.63,1875018.58
138852,20.63,1815919.73
43422,20.63,1893132.86
141004,20.63,1865607.83
58081,20.63,2041429.25
142806,20.63,1867053.1
70957,20.63,3525236.47
138237,20.62,1831770.74
29416,20.62,1751665.02
76700,20.62,2203793.74
42973,20.61,2027422.92
35248,20.61,1921153.87
140078,20.61,1842426.98
138203,20.6,1890609.24
45959,20.6,1832160.55
44976,20.6,1823101.66
42455,20.6,1690762.62
69326,20.6,1899322.36
43290,20.59,1765952.51
78224,20.59,2019169.59
136539,20.59,1902954.03
70167,20.59,1927130.34
