category,detected_m,significant_m,clu1_m,clu2_m,clu3_m,clu4_m,down_m,up_m,total_detected_m,total_sig_m,total_down_m,total_up_m,total_clu1_m,total_clu2_m,total_clu3_m,total_clu4_m,p.val_sig_vs_det_m,p.val_down_vs_sig_m,p.val_up_vs_sig_m,p.val_clu1_vs_sig_m,p.val_clu2_vs_sig_m,p.val_clu3_vs_sig_m,p.val_clu4_vs_sig_m,p.adj_sig_vs_det_m,p.adj_down_vs_sig_m,p.adj_up_vs_sig_m,p.adj_clu1_vs_sig_m,p.adj_clu2_vs_sig_m,p.adj_clu3_vs_sig_m,p.adj_clu4_vs_sig_m,test_sig_vs_det_m,test_down_vs_sig_m,test_up_vs_sig_m,test_clu1_vs_sig_m,test_clu2_vs_sig_m,test_clu3_vs_sig_m,test_clu4_vs_sig_m,FIGURE_m,significant_s,clu1_s,clu2_s,clu3_s,clu4_s,down_s,up_s,total_sig_s,total_down_s,total_up_s,total_clu1_s,total_clu2_s,total_clu3_s,total_clu4_s,p.val_sig_vs_det_s,p.val_down_vs_sig_s,p.val_up_vs_sig_s,p.val_clu1_vs_sig_s,p.val_clu2_vs_sig_s,p.val_clu3_vs_sig_s,p.val_clu4_vs_sig_s,p.adj_sig_vs_det_s,p.adj_down_vs_sig_s,p.adj_up_vs_sig_s,p.adj_clu1_vs_sig_s,p.adj_clu2_vs_sig_s,p.adj_clu3_vs_sig_s,p.adj_clu4_vs_sig_s,test_sig_vs_det_s,test_down_vs_sig_s,test_up_vs_sig_s,test_clu1_vs_sig_s,test_clu2_vs_sig_s,test_clu3_vs_sig_s,test_clu4_vs_sig_s,FIGURE_s
ko00001,2029,361,53,97,104,107,150,211,2029,361,150,211,53,97,104,107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NS,NS,NS,NS,NS,NS,NS,Not in figure,281,44,57,80,100,101,180,281,101,180,44,57,80,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko00536,4,1,0,0,1,0,0,1,2029,361,150,211,53,97,104,107,0.3958499997689118,0.5844875346260389,0.5844875346260389,0.8531855955678672,0.731301939058172,0.28808864265927975,0.703601108033241,0.4724661287564431,0.7457254752125324,0.7457254752125324,1,0.933040405005254,0.5075847513520643,0.8976979654217214,NS,NS,NS,NS,NS,NS,NS,Not in figure,1,0,0,1,0,0,1,281,101,180,44,57,80,100,0.35465141460919464,0.6405693950177934,0.6405693950177934,0.8434163701067616,0.797153024911032,0.2846975088967972,0.6441281138790035,0.4374034113513401,0.8778173190984577,0.8778173190984577,1,1,0.5824400243934232,0.8826940819823381,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko00537,1,0,0,0,0,0,0,0,2029,361,150,211,53,97,104,107,0.8220798422868408,1,1,1,1,1,1,0.8449153934614753,1,1,1,1,1,1,NS,NS,NS,NS,NS,NS,NS,Not in figure,0,0,0,0,0,0,0,281,101,180,44,57,80,100,0.8615081320847708,1,1,1,1,1,1,0.8854389135315699,1,1,1,1,1,1,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko01000,1083,204,20,49,73,62,69,135,2029,361,150,211,53,97,104,107,0.019563762351794304,2.7421641408872217e-4,2.7421641408872217e-4,0.0014749234323484088,0.03623906963266141,3.3249198044593096e-4,0.08701895930848418,0.0804288007795988,0.003942149284522572,0.003942149284522572,0.027286083498445562,0.16760569705105902,0.006151101638249723,0.2683084578678262,NS,UNDER,OVER,UNDER,NS,OVER,NS,In figure,165,21,27,55,62,48,117,281,101,180,44,57,80,100,0.00791931219713571,0.0017703322432474453,0.0017703322432474453,0.0364746901609536,0.018298345748821217,0.010476184408009995,0.0717919373544358,0.034392854447859396,0.03275114650007774,0.03275114650007774,0.19279479085075474,0.135407758541277,0.12920627436545662,0.24148197110128405,OVER,UNDER,OVER,NS,NS,NS,NS,In figure
ko01001,45,2,1,1,0,0,2,0,2029,361,150,211,53,97,104,107,0.006494069879170866,0.17197599261311172,0.17197599261311172,0.2512157586949831,0.3940904893813481,0.5062480763311789,0.4944752231455833,0.03432579793276029,0.3349006171939544,0.3349006171939544,0.4798202948089261,0.6075561711295784,0.7204299547789853,0.7318233302554633,UNDER,NS,NS,NS,NS,NS,NS,In figure,1,0,1,0,0,1,0,281,101,180,44,57,80,100,0.008365829460290124,0.35943060498220647,0.35943060498220647,0.8434163701067616,0.20284697508896796,0.7153024911032027,0.6441281138790035,0.034392854447859396,0.5782144514931148,0.5782144514931148,1,0.48423631996043354,0.9802293396599444,0.8826940819823381,UNDER,NS,NS,NS,NS,NS,NS,In figure
ko01002,87,16,2,7,3,4,9,7,2029,361,150,211,53,97,104,107,0.11106951931414846,0.09764575118682835,0.09764575118682835,0.28529855367017226,0.06769556515907725,0.16149159799506368,0.21026048864966498,0.18534045863980741,0.22580579961954056,0.22580579961954056,0.4798202948089261,0.25228106137678,0.4424552653729556,0.43220211555764465,NS,NS,NS,NS,NS,NS,NS,Not in figure,11,2,4,2,3,6,5,281,101,180,44,57,80,100,0.12313793345612596,0.10646644658507479,0.10646644658507479,0.2975505752523716,0.11383305476014091,0.21940864490465142,0.2228210717108304,0.21700387879765456,0.28137560883198337,0.28137560883198337,0.5794405939125131,0.4211823026125214,0.5743310309617912,0.49148162421896774,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko01003,11,0,0,0,0,0,0,0,2029,361,150,211,53,97,104,107,0.11521163645177218,1,1,1,1,1,1,0.18534045863980741,1,1,1,1,1,1,NS,NS,NS,NS,NS,NS,NS,Not in figure,0,0,0,0,0,0,0,281,101,180,44,57,80,100,0.19317620802373547,1,1,1,1,1,1,0.2859007878751285,1,1,1,1,1,1,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko01004,22,5,3,1,1,0,4,1,2029,361,150,211,53,97,104,107,0.16872995171332175,0.08603073696985677,0.08603073696985677,0.022288615244342322,0.3861782575062634,0.37161645433590074,0.1704170780688607,0.23409443059128973,0.2122091511923134,0.2122091511923134,0.11179194259653745,0.6075561711295784,0.5499923524171331,0.41406766810520107,NS,NS,NS,NS,NS,NS,NS,Not in figure,3,3,0,0,0,3,0,281,101,180,44,57,80,100,0.2421335759733331,0.04554996146087867,0.04554996146087867,0.003619944131940458,0.505169708797306,0.364427024397177,0.26566574282106364,0.319962225393333,0.1303649079519524,0.1303649079519524,0.05041609780660809,0.8496036011591057,0.6128999955770704,0.49148162421896774,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko01006,9,0,0,0,0,0,0,0,2029,361,150,211,53,97,104,107,0.17082566556661682,1,1,1,1,1,1,0.23409443059128973,1,1,1,1,1,1,NS,NS,NS,NS,NS,NS,NS,Not in figure,0,0,0,0,0,0,0,281,101,180,44,57,80,100,0.26067055166416486,1,1,1,1,1,1,0.3325796693646242,1,1,1,1,1,1,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko01007,58,13,0,0,4,9,0,13,2029,361,150,211,53,97,104,107,0.08420040702317373,7.928746607177821e-4,7.928746607177821e-4,0.1221805039939606,0.015769117018996418,0.23568085908150727,0.002660638213281432,0.1832597094033781,0.007334090611639484,0.007334090611639484,0.34774451136742635,0.14104525871549442,0.45895746242188257,0.024610903472853246,NS,UNDER,OVER,NS,NS,NS,OVER,In figure,9,0,0,3,6,0,9,281,101,180,44,57,80,100,0.1361154304876928,0.01686728621233546,0.01686728621233546,0.210773092475522,0.12571491281565145,0.26388182503649865,0.043808979291566075,0.21896830121933192,0.08966293605621929,0.08966293605621929,0.519906961439621,0.42285925219810033,0.5743310309617912,0.2026165292234931,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko01008,1,0,0,0,0,0,0,0,2029,361,150,211,53,97,104,107,0.8220798422868408,1,1,1,1,1,1,0.8449153934614753,1,1,1,1,1,1,NS,NS,NS,NS,NS,NS,NS,Not in figure,0,0,0,0,0,0,0,281,101,180,44,57,80,100,0.8615081320847708,1,1,1,1,1,1,0.8854389135315699,1,1,1,1,1,1,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko01009,53,5,0,3,1,1,3,2,2029,361,150,211,53,97,104,107,0.041091974309758264,0.24580210562816213,0.24580210562816213,0.4499130055418186,0.10300797603045013,0.37161645433590074,0.364692547067362,0.12670025412175465,0.3954207786192173,0.3954207786192173,0.7237730958716213,0.31760792609388794,0.5499923524171331,0.5866793148474954,NS,NS,NS,NS,NS,NS,NS,Not in figure,3,0,2,1,0,2,1,281,101,180,44,57,80,100,0.03487793999448891,0.2484543352411566,0.2484543352411566,0.5987694813891578,0.09771553208586847,0.4395099791724751,0.26566574282106364,0.12904837797960897,0.4377528763772759,0.4377528763772759,0.9632378613651669,0.4211823026125214,0.6504747691752631,0.49148162421896774,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko02000,67,10,2,5,1,2,7,3,2029,361,150,211,53,97,104,107,0.1122949666012316,0.04969524476576017,0.04969524476576017,0.27646321844591143,0.07257689122441664,0.13318646381378846,0.23865155622726938,0.18534045863980741,0.1532270046944272,0.1532270046944272,0.4798202948089261,0.25228106137678,0.4424552653729556,0.46474250423205093,NS,NS,NS,NS,NS,NS,NS,Not in figure,6,0,5,1,0,5,1,281,101,180,44,57,80,100,0.07827900468057294,0.022002697716519075,0.022002697716519075,0.35635739291713003,0.001447412332789853,0.32103292941908057,0.06931190667734508,0.2151245029199507,0.08966293605621929,0.08966293605621929,0.6278677875206576,0.03239141467874669,0.59391091942529906,0.24148197110128405,NS,NS,NS,NS,OVER,NS,NS,Not in figure
ko02044,14,1,1,0,0,0,1,0,2029,361,150,211,53,97,104,107,0.19471384637047798,0.4155124653739612,0.4155124653739612,0.14681440443213295,0.731301939058172,0.7119113573407203,0.703601108033241,0.24842801088647193,0.5913062007244833,0.5913062007244833,0.3621421975992613,0.933040405005254,0.9083006972967812,0.8976979654217214,NS,NS,NS,NS,NS,NS,NS,Not in figure,0,0,0,0,0,0,0,281,101,180,44,57,80,100,0.12316436364191205,1,1,1,1,1,1,0.21700387879765456,1,1,1,1,1,1,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko03009,146,23,1,2,1,19,3,20,2029,361,150,211,53,97,104,107,0.07420555593268238,0.0021773544530089848,0.0021773544530089848,0.09744803242543837,0.022872204116026123,0.0030464674604158064,7.32517422732506e-8,0.171600348094328,0.008951346084592492,0.008951346084592492,0.31934870715854397,0.14104525871549442,0.03757309867846161,2.710314464110272e-6,NS,UNDER,OVER,NS,NS,UNDER,OVER,In figure,21,1,2,0,18,3,18,281,101,180,44,57,80,100,0.09558991944242225,0.017656520320345582,0.017656520320345582,0.1029036880259058,0.11216473418221683,6.412625657680343e-4,1.2375291244440596e-6,0.2151245029199507,0.08966293605621929,0.08966293605621929,0.3833666360254278,0.4211823026125214,0.011863357466708635,4.57885776044302e-5,NS,NS,NS,NS,NS,UNDER,OVER,Not in figure
ko03011,99,38,11,20,0,7,31,7,2029,361,150,211,53,97,104,107,3.6379460551987953e-7,1.0700802887984925e-7,1.0700802887984925e-7,0.008631718818790773,2.3446057111919778e-4,1.0433881385028076e-6,0.042854758329045936,1.3460400404235543e-5,3.959297068554422e-6,3.959297068554422e-6,0.06387471925905172,0.008675041131410318,3.860536112460388e-5,0.2005704928273359,OVER,OVER,UNDER,NS,OVER,UNDER,NS,In figure,28,10,12,0,6,22,6,281,101,180,44,57,80,100,5.55786010437771e-5,1.3623269864000525e-6,1.3623269864000525e-6,0.0037229745644665885,0.00262633091989838,4.7121038596273304e-5,0.04379919514190336,0.0013362348381930446,5.040609849680194e-5,5.040609849680194e-5,0.05041609780660809,0.03239141467874669,0.0017434784280621124,0.2026165292234931,OVER,OVER,UNDER,NS,OVER,UNDER,NS,In figure
ko03012,61,22,0,3,7,12,3,19,2029,361,150,211,53,97,104,107,2.814376123048118e-4,0.003342949092255634,0.003342949092255634,0.027099986047763414,0.07500247770661028,0.1770296595211448,0.007483223648200151,0.005026666710172938,0.012368911641345846,0.012368911641345846,0.11179194259653745,0.25228106137678,0.4424552653729556,0.05537585499668112,OVER,UNDER,OVER,NS,NS,NS,NS,In figure,20,0,3,5,12,3,17,281,101,180,44,57,80,100,7.222891017259701e-5,0.02423322596114035,0.02423322596114035,0.029066950838486365,0.20497812635784102,0.1961248414989926,0.013238170723485421,0.0013362348381930446,0.08966293605621929,0.08966293605621929,0.1792461968373326,0.48423631996043354,0.5743310309617912,0.12245307919224015,OVER,NS,NS,NS,NS,NS,NS,In figure
ko03016,90,12,0,0,1,11,0,12,2029,361,150,211,53,97,104,107,0.06297592301678001,0.0013905188773392228,0.0013905188773392228,0.14405741856044676,0.021838975554086284,0.0796920149194375,9.257409648132013e-6,0.16696767840984802,0.008104314642785207,0.008104314642785207,0.3621421975992613,0.14104525871549442,0.37202081404192544,1.7126207849044224e-4,NS,UNDER,OVER,NS,NS,NS,OVER,In figure,10,0,0,1,9,0,10,281,101,180,44,57,80,100,0.09884098782808547,0.01060406596437266,0.01060406596437266,0.17667744516330525,0.0993702435859009,0.13684635850209556,4.786169092999249e-4,0.2151245029199507,0.07847008813635768,0.07847008813635768,0.5028511900801765,0.4211823026125214,0.5743310309617912,0.00885441282204861,NS,NS,NS,NS,NS,NS,OVER,Not in figure
ko03019,121,20,4,4,6,6,8,12,2029,361,150,211,53,97,104,107,0.09317795423568025,0.18289927140467127,0.18289927140467127,0.18174792982577082,0.17065777517570463,0.19588189839515266,0.19707979010140375,0.18534045863980741,0.3383636520986419,0.3383636520986419,0.40804279428557255,0.394646105093817,0.4424552653729556,0.4289383666912905,NS,NS,NS,NS,NS,NS,NS,Not in figure,16,3,4,5,4,7,9,281,101,180,44,57,80,100,0.10736763395617249,0.164149106965874,0.164149106965874,0.24223859974445375,0.20860630189527604,0.21099076913644926,0.1491733635915544,0.21700387879765456,0.3795948098585836,0.3795948098585836,0.5601767619090493,0.48423631996043354,0.5743310309617912,0.39424388949196515,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko03021,50,1,0,1,0,0,1,0,2029,361,150,211,53,97,104,107,5.434234281268041e-4,0.4155124653739612,0.4155124653739612,0.8531855955678672,0.2686980609418283,0.7119113573407203,0.703601108033241,0.005026666710172938,0.5913062007244833,0.5913062007244833,1,0.4970914127423824,0.9083006972967812,0.8976979654217214,UNDER,NS,NS,NS,NS,NS,NS,In figure,1,1,0,0,0,1,0,281,101,180,44,57,80,100,0.004340560649134439,0.35943060498220647,0.35943060498220647,0.15658362989323843,0.797153024911032,0.7153024911032027,0.6441281138790035,0.026766790669662376,0.5782144514931148,0.5782144514931148,0.48279952550415184,1,0.9802293396599444,0.8826940819823381,UNDER,NS,NS,NS,NS,NS,NS,In figure
