category,detected_m,significant_m,clu1_m,clu2_m,clu3_m,clu4_m,down_m,up_m,total_detected_m,total_sig_m,total_down_m,total_up_m,total_clu1_m,total_clu2_m,total_clu3_m,total_clu4_m,p.val_sig_vs_det_m,p.val_down_vs_sig_m,p.val_up_vs_sig_m,p.val_clu1_vs_sig_m,p.val_clu2_vs_sig_m,p.val_clu3_vs_sig_m,p.val_clu4_vs_sig_m,p.adj_sig_vs_det_m,p.adj_down_vs_sig_m,p.adj_up_vs_sig_m,p.adj_clu1_vs_sig_m,p.adj_clu2_vs_sig_m,p.adj_clu3_vs_sig_m,p.adj_clu4_vs_sig_m,test_sig_vs_det_m,test_down_vs_sig_m,test_up_vs_sig_m,test_clu1_vs_sig_m,test_clu2_vs_sig_m,test_clu3_vs_sig_m,test_clu4_vs_sig_m,FIGURE_m,significant_s,clu1_s,clu2_s,clu3_s,clu4_s,down_s,up_s,total_sig_s,total_down_s,total_up_s,total_clu1_s,total_clu2_s,total_clu3_s,total_clu4_s,p.val_sig_vs_det_s,p.val_down_vs_sig_s,p.val_up_vs_sig_s,p.val_clu1_vs_sig_s,p.val_clu2_vs_sig_s,p.val_clu3_vs_sig_s,p.val_clu4_vs_sig_s,p.adj_sig_vs_det_s,p.adj_down_vs_sig_s,p.adj_up_vs_sig_s,p.adj_clu1_vs_sig_s,p.adj_clu2_vs_sig_s,p.adj_clu3_vs_sig_s,p.adj_clu4_vs_sig_s,test_sig_vs_det_s,test_down_vs_sig_s,test_up_vs_sig_s,test_clu1_vs_sig_s,test_clu2_vs_sig_s,test_clu3_vs_sig_s,test_clu4_vs_sig_s,FIGURE_s
Amino acid transport and metabolism,195,52,4,8,20,20,12,40,2903,454,191,263,80,111,135,128,1.5757184806233727e-5,0.0013387951530434367,0.0013387951530434367,0.01963245472189881,0.03805992553843975,0.04356194939805384,0.028619390801019492,1.3130987338528106e-4,0.013175102564717982,0.013175102564717982,0.13335084580781986,0.19029962769219877,0.15557839070733517,0.07973157670322431,OVER,UNDER,OVER,NS,NS,NS,NS,In figure,46,4,7,16,19,11,35,340,129,211,62,67,93,118,7.717134675588774e-7,0.013834335903025864,0.013834335903025864,0.03229095954056308,0.12007901368882072,0.0658493393937854,0.07802456416010707,9.646418344485968e-6,0.09344368031448745,0.09344368031448745,0.1614547977028154,0.4700151830644559,0.20577918560557937,0.19506141040026767,OVER,NS,NS,NS,NS,NS,NS,In figure
Carbohydrate transport and metabolism,130,17,3,5,8,1,8,9,2903,454,191,263,80,111,135,128,0.07390565199587494,0.17815259852858914,0.17815259852858914,0.2513682523883783,0.1902240984470953,0.060684802180260074,0.022306672020991302,0.11303732676618189,0.29692099754764856,0.29692099754764856,0.3696591946887916,0.3396858900840988,0.16856889494516686,0.07973157670322431,NS,NS,NS,NS,NS,NS,NS,Not in figure,13,2,3,5,3,5,8,340,129,211,62,67,93,118,0.09744246730279411,0.22701037765859425,0.22701037765859425,0.28769674670077544,0.24873834867051697,0.15417408015389356,0.16856056967179037,0.13619883366161137,0.36101618546474357,0.36101618546474357,0.4636117359332454,0.4700151830644559,0.2830390718696506,0.27266215860486154,NS,NS,NS,NS,NS,NS,NS,Not in figure
"Cell cycle control, cell division, chromosome partitioning",68,9,2,2,5,0,4,5,2903,454,191,263,80,111,135,128,0.12185939605310248,0.26007556088757056,0.26007556088757056,0.29090051444259546,0.3051193173296873,0.07040797365864043,0.049173248173655565,0.14235107256583981,0.34220468537838233,0.34220468537838233,0.40402849228138255,0.4014727859601149,0.1707136927649609,0.11175738221285357,NS,NS,NS,NS,NS,NS,NS,Not in figure,9,2,3,4,0,5,4,340,129,211,62,67,93,118,0.13452824490741747,0.14690202769219973,0.14690202769219973,0.29671151099727705,0.1733105403226671,0.14281748554934462,0.020365551290372857,0.16816030613427183,0.33386824475499943,0.33386824475499943,0.4636117359332454,0.4700151830644559,0.2830390718696506,0.0848564637098869,NS,NS,NS,NS,NS,NS,NS,Not in figure
Cell motility,12,0,0,0,0,0,0,0,2903,454,191,263,80,111,135,128,0.12937944465195186,1,1,1,1,1,1,0.14235107256583981,1,1,1,1,1,1,NS,NS,NS,NS,NS,NS,NS,Not in figure,0,0,0,0,0,0,0,340,129,211,62,67,93,118,0.2247244143182397,1,1,1,1,1,1,0.2340879315814997,1,1,1,1,1,1,NS,NS,NS,NS,NS,NS,NS,Not in figure
Cell wall/membrane/envelope biogenesis,20,1,0,1,0,0,1,0,2903,454,191,263,80,111,135,128,0.12303233679369893,0.4207048458149781,0.4207048458149781,0.8237885462555067,0.24449339207048457,0.7026431718061674,0.7180616740088106,0.14235107256583981,0.46166967086371224,0.46166967086371224,0.8581130690161528,0.3775829682240094,0.7319199706314244,0.7479809104258445,NS,NS,NS,NS,NS,NS,NS,Not in figure,1,0,1,0,0,1,0,340,129,211,62,67,93,118,0.2204378469629892,0.3794117647058824,0.3794117647058824,0.8176470588235295,0.19705882352941173,0.726470588235294,0.6529411764705882,0.2340879315814997,0.4576609404823876,0.4576609404823876,0.9291443850267381,0.4700151830644559,0.8255347593582887,0.7419786096256685,NS,NS,NS,NS,NS,NS,NS,Not in figure
Chromatin structure and dynamics,64,4,0,1,0,3,1,3,2903,454,191,263,80,111,135,128,0.013489024729342396,0.32773428342289596,0.32773428342289596,0.45922788579258184,0.423631790822451,0.2423790708651292,0.06370782751398317,0.03746951313706221,0.3988629517409751,0.3988629517409751,0.5740348572407273,0.48898939819032927,0.31891983008569635,0.13272464065413161,UNDER,NS,NS,NS,NS,NS,NS,In figure,2,0,0,0,2,0,2,340,129,211,62,67,93,118,0.008936218133995056,0.3844351900052056,0.3844351900052056,0.6681068887732086,0.6442477876106195,0.5271733472149922,0.1197813638729828,0.02771557916374675,0.4576609404823876,0.4576609404823876,0.8351336109665107,0.8053097345132744,0.6589666840187403,0.24877197340790538,UNDER,NS,NS,NS,NS,NS,NS,In figure
Coenzyme transport and metabolism,68,11,0,1,7,3,1,10,2903,454,191,263,80,111,135,128,0.13096298676057264,0.018714237639561114,0.018714237639561114,0.11548440121562052,0.1612704409435038,0.015651476798800495,0.2645007913496157,0.14235107256583981,0.06683656299843255,0.06683656299843255,0.2887110030390513,0.3396858900840988,0.07825738399400248,0.3306259891870196,NS,NS,NS,NS,NS,NS,NS,Not in figure,12,0,2,6,4,2,10,340,129,211,62,67,93,118,0.047327425547938264,0.07827950519456885,0.07827950519456885,0.08540905737388677,0.2896550711145428,0.05523737373999696,0.2414201211011914,0.08451325990703262,0.1956987629864221,0.1956987629864221,0.35587107239119486,0.4700151830644559,0.2042191217945986,0.33530572375165474,NS,NS,NS,NS,NS,NS,NS,Not in figure
Cytoskeleton,112,12,4,1,6,1,5,7,2903,454,191,263,80,111,135,128,0.037865433726702064,0.23158045813494904,0.23158045813494904,0.10072838531743945,0.13224639483074932,0.07585079175589626,0.08644099356451207,0.0776754720294333,0.3216395251874292,0.3216395251874292,0.2887110030390513,0.3396858900840988,0.1707136927649609,0.15435891707948585,NS,NS,NS,NS,NS,NS,NS,Not in figure,12,3,2,6,1,5,7,340,129,211,62,67,93,118,0.11539772970136382,0.22461358634093193,0.22461358634093193,0.22151393349873386,0.2896550711145428,0.05523737373999696,0.036235733501195286,0.1518391180281103,0.36101618546474357,0.36101618546474357,0.39556059553345335,0.4700151830644559,0.2042191217945986,0.12941333393284032,NS,NS,NS,NS,NS,NS,NS,Not in figure
Defense mechanisms,31,2,0,0,1,1,0,2,2903,454,191,263,80,111,135,128,0.08138687527165096,0.33504487946241907,0.33504487946241907,0.6783071252832317,0.5703824722116874,0.41879394346062965,0.40579202769592826,0.11303732676618189,0.3988629517409751,0.3988629517409751,0.7708035514582179,0.6199809480561819,0.47590220847798825,0.44107829097383505,NS,NS,NS,NS,NS,NS,NS,Not in figure,0,0,0,0,0,0,0,340,129,211,62,67,93,118,0.01839468796538556,1,1,1,1,1,1,0.03537439993343377,1,1,1,1,1,1,UNDER,NS,NS,NS,NS,NS,NS,In figure
Energy production and conversion,201,54,6,23,13,12,29,25,2903,454,191,263,80,111,135,128,8.71098552851616e-6,0.021660712948653345,0.021660712948653345,0.06622582988222317,8.828228046457555e-4,0.08194257252718122,0.07798541253698017,1.0888731910645201e-4,0.0676897279645417,0.0676897279645417,0.27594095784259653,0.022070570116143887,0.1707136927649609,0.14997194718650034,OVER,NS,NS,NS,OVER,NS,NS,In figure,39,5,15,8,11,20,19,340,129,211,62,67,93,118,3.3477717794101844e-4,0.026974728233579572,0.026974728233579572,0.123239622643627,0.0021284951855493157,0.09535038248734952,0.09746227533924161,0.0016738858897050921,0.11239470097324823,0.11239470097324823,0.38930600492031764,0.05321237963873289,0.26486217357597086,0.22150517122554914,OVER,NS,NS,NS,NS,NS,NS,In figure
