name,T0_1,T0_2,T0_3,T2_1,T2_2,T2_3,T4_1,T4_2,T4_3,T6_1,T6_2,T6_3,T8_1,T8_2,T8_3,Protein_id,jgi,ID,set,T2_vs_T0_CI.L,T2_vs_T0_CI.R,T2_vs_T0_diff,T2_vs_T0_p.adj,T2_vs_T0_p.val,T4_vs_T0_CI.L,T4_vs_T0_CI.R,T4_vs_T0_diff,T4_vs_T0_p.adj,T4_vs_T0_p.val,T4_vs_T2_CI.L,T4_vs_T2_CI.R,T4_vs_T2_diff,T4_vs_T2_p.adj,T4_vs_T2_p.val,T6_vs_T0_CI.L,T6_vs_T0_CI.R,T6_vs_T0_diff,T6_vs_T0_p.adj,T6_vs_T0_p.val,T6_vs_T4_CI.L,T6_vs_T4_CI.R,T6_vs_T4_diff,T6_vs_T4_p.adj,T6_vs_T4_p.val,T8_vs_T0_CI.L,T8_vs_T0_CI.R,T8_vs_T0_diff,T8_vs_T0_p.adj,T8_vs_T0_p.val,T8_vs_T6_CI.L,T8_vs_T6_CI.R,T8_vs_T6_diff,T8_vs_T6_p.adj,T8_vs_T6_p.val,T2_vs_T0_significant,T4_vs_T0_significant,T4_vs_T2_significant,T6_vs_T0_significant,T6_vs_T4_significant,T8_vs_T0_significant,T8_vs_T6_significant,significant,cluster
100312-jgi,19.01690341320441,18.970799377138025,18.971358347658562,18.908756051664056,18.892484310830095,18.90954161557982,18.852404177175227,18.952256505026657,18.85869874176249,18.807585459353827,18.83857968032299,18.820906898130055,18.812764004395124,18.795321966752798,18.83088096742432,100312-jgi,100312,100312-jgi,jgi,-0.14266024725677257,-0.022859192694580747,-0.08275971997567666,0.801893819457987,0.010740684633374272,-0.15846776529330414,-0.03866671073111232,-0.09856723801220824,0.8993906866840706,0.0036629100776736515,-0.07570804531762748,0.044093009244564337,-0.015807518036531576,0.9043619004514505,0.576816223536155,-0.22389689401247098,-0.10409583945027917,-0.16399636673137508,0.865872500772997,5.993948460661384e-5,-0.12532965600026275,-0.005528601438070928,-0.06542912871916684,0.7539604375157773,0.03470292098818943,-0.23326526042401413,-0.11346420586182232,-0.17336473314291823,0.7191396352960866,3.53801575412194e-5,-0.06926889369263906,0.05053216086955276,-0.00936836641154315,0.8840026625664013,0.7397960669906343,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
100463-jgi,16.803907033747723,17.078462166084257,17.103237313815352,16.822263739859004,16.648398281942214,16.453652744232528,16.638217533919143,16.507125450532918,16.69702740931619,16.63185475249824,16.483045808088164,16.503920919209193,16.602963888378884,16.73497902524941,16.707893535101938,100463-jgi,100463,100463-jgi,jgi,-0.5617837615132784,-0.145744070229111,-0.3537639158711947,0.7652355802773485,0.002931555913744549,-0.5890985522684451,-0.17305886098427775,-0.38107870662636145,0.8922947132598771,0.0017323655961209144,-0.23533463639725044,0.18070505488691696,-0.02731479075516674,0.9106896290939989,0.7802199452385652,-0.6636148569259985,-0.24757516564183119,-0.4555950112839149,0.8884260425897494,4.3101718981746037e-4,-0.28253615029963713,0.13350354098453027,-0.07451630465755343,0.8903141514596736,0.45119764027185916,-0.5212765339477832,-0.10523684266361583,-0.3132566883056995,0.8346324409520849,0.006463663249780932,-0.06568152266386834,0.35035816862029906,0.14233832297821536,0.78344656136558255,0.16230834223418383,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
100711-jgi,21.152857287519435,21.245528245163573,21.125952584069555,20.931232797802757,20.941064538399814,20.92677066916274,20.712021881174575,20.702097712037997,20.67461428164017,20.616827085426717,20.58274889396726,20.66308165784196,20.753668571527413,20.67794983516442,20.758307149445514,100711-jgi,100711,100711-jgi,jgi,-0.3152034433376153,-0.1683099642538869,-0.2417567037957511,0.44788467344035354,9.942580209319421e-6,-0.5519814868418068,-0.4050880077580784,-0.4785347472999426,0.29937994905912085,5.321384330188479e-9,-0.3102247830460557,-0.1633313039623273,-0.23677804350419152,0.30095419214466274,1.2261082539357415e-5,-0.6273402327140717,-0.4804467536303433,-0.5538934931722075,0.29300239318768134,9.51889971960422e-10,-0.14880548541412908,-0.0019120063304006868,-0.07535874587226488,0.7729894128522244,0.04513692274907149,-0.5182509264136032,-0.37135744732987475,-0.44480418687173895,0.226279254511398,1.2456490981594648e-8,0.035642566758604347,0.18253604584233274,0.10908930630046854,0.3837354448488838,0.007031201157188464,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
1009-jgi,17.616385879316276,17.3459403132661,17.342738878408216,17.111978851586663,17.209450761001467,17.20861188345238,17.202053668470942,17.229885528651682,17.187581424714082,17.000913877171495,17.126296950412915,17.221645803676605,17.221342393274462,17.142310479337482,17.11063487206365,1009-jgi,1009,1009-jgi,jgi,-0.4119721206696937,-0.10471026263035696,-0.25834119165002534,0.7676518844772859,0.003165878488508591,-0.38214574540429636,-0.07488388736495963,-0.228514816384628,0.9048811635583514,0.006969944452205246,-0.12380455375427105,0.1834573042850657,0.02982637526539733,0.9077900922662255,0.6805122389723153,-0.4723670755961912,-0.16510521755685445,-0.3187361465765228,0.8924968448498972,6.695469465716866e-4,-0.2438522592115632,0.06340959882777356,-0.09022133019189482,0.8623036667526278,0.2255991703101293,-0.43055670445800087,-0.12329484641866414,-0.2769257754383325,0.8160552682737219,0.0019476391212085629,-0.11182055788147807,0.19544130015785868,0.041810371138190305,0.869131908086812,0.5651187279757546,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
101067-jgi,17.641052507607725,17.547806506763603,17.627082334369913,17.67523299982599,17.671222838878027,17.728560358679836,17.464361865711414,17.661121595023594,17.528471021875795,17.434975774358684,17.44067891476307,17.445824069221423,17.39966146586455,17.322991174469056,17.36472289797134,101067-jgi,101067,101067-jgi,jgi,-0.008566678727541688,0.1812832444892879,0.0863582828808731,0.8432638278069408,0.07093161078018266,-0.14892058365189154,0.04092933956493805,-0.05399562204347674,0.9291378614663612,0.23964294705789282,-0.23527886653276464,-0.045428943315935055,-0.14035390492434985,0.7878892886662374,0.007226479379534275,-0.2597458250744341,-0.06989590185760453,-0.16482086346601932,0.9032530404977186,0.00253911074261929,-0.20575020303095737,-0.015900279814127782,-0.11082524142254258,0.7302340723655562,0.02566200614705151,-0.3377802317538413,-0.14793030853701172,-0.24285527014542652,0.7543820328442901,1.1193659708869891e-4,-0.172959368287822,0.016890554929007595,-0.0780344066794072,0.7387350673250268,0.09874086672560534,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
101509-jgi,20.34585415198082,20.209814208671588,20.18408184632121,20.896396047978456,20.859267205231568,20.82008689162632,20.548623223329717,20.650214189753594,20.635232826725243,20.817989882408433,20.828066969801643,20.865483641492137,20.692903149676667,20.68681307894449,20.73026198651391,101509-jgi,101509,101509-jgi,jgi,0.5223916111585726,0.7016083474165694,0.611999979287571,0.013114030423220825,3.0645210004825217e-9,0.2751649761493101,0.45438171240730696,0.36477334427830854,0.7227335113137756,1.0768572024945205e-6,-0.33683500313826087,-0.15761826688026404,-0.24722663500926245,0.44995121525976267,5.576163218155486e-5,0.5009883941138621,0.6802051303718589,0.5905967622428605,0.44959211728004145,4.6510590989640146e-9,0.13621504983555355,0.3154317860935504,0.22582341796455196,0.13734573045655263,1.28244629659459e-4,0.36713430125814484,0.5463510375161417,0.45674266938714325,0.3654749491990356,8.966616481393953e-8,-0.22346246098471567,-0.044245724726718824,-0.13385409285571725,0.3783132394682609,0.006791798446286403,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cluster 4
10179-jgi,18.70363330306139,18.70717855330311,18.75623518080143,18.361112613072596,18.256376417013218,18.201109120415413,18.283252664849385,18.142081997145084,18.109302534327284,18.241611287904107,18.179765777447372,18.196504066760582,18.25613312742687,18.558281513948963,18.599680559445417,10179-jgi,10179,10179-jgi,jgi,-0.6164962094142435,-0.28246971502891005,-0.4494829622215768,0.5934230153060864,7.033048566613512e-5,-0.7111498608073991,-0.37712336642206556,-0.5441366136147323,0.8070772280396941,1.102552420903721e-5,-0.26166689858582226,0.07235959579951123,-0.09465365139315551,0.8865224721916704,0.24127079752730482,-0.6834018822106313,-0.34937538782529776,-0.5163886350179645,0.8479595416420066,1.85848260130471e-5,-0.13926526859589894,0.19476122578943456,0.02774797859676781,0.9074048830495558,0.724305502002609,-0.41799719264089996,-0.08397069825556647,-0.2509839454482332,0.834813366788805,0.00654648851452078,0.09839144237706454,0.43241793676239804,0.2654046895697313,0.3182910288240133,0.00460485132798382,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
102011-jgi,18.031503004479244,18.012136324112078,18.223795951448363,18.121835997614323,18.290959722345388,18.14188152751158,18.184054578659527,18.272259202998182,18.202217930283105,18.302825616850562,18.20038359165417,18.155876322106433,18.2934040806166,18.19140238236412,18.215017782929717,102011-jgi,102011,102011-jgi,jgi,-0.038699817755408344,0.23019446270981872,0.09574732247720519,0.8568788578110164,0.1471479526955699,-0.004081662932233582,0.26481261753299346,0.13036547730037995,0.919966264262913,0.05629343346281835,-0.09982898540943877,0.1690652950557883,0.03461815482317476,0.9046865598872702,0.5859918260327235,-0.003897056708784402,0.26499722375644263,0.13055008352382913,0.9222361046294384,0.05599345638364566,-0.13426253400916435,0.1346317464560627,1.8460622344917965e-4,0.918630640589778,0.9976681333517987,0.009682515057640034,0.27857679552286707,0.14412965529025357,0.8572255681349986,0.03762293030828515,-0.1208675684661891,0.14802671199903797,0.013579571766424436,0.8901146671477825,0.8299423710267984,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
102422-jgi,19.439600052521715,19.417046957942638,19.447496313282475,19.36758883018956,19.181174669351364,19.27590547725926,19.32138986962599,19.482265090329214,19.36777623723848,19.37205864246204,19.429146388009407,19.395153420772143,19.27173736394829,19.35690146736845,19.341825282714733,102422-jgi,102422,102422-jgi,jgi,-0.2638567901547405,-0.05579277447634459,-0.15982478231554254,0.7851012420480836,0.005709687335399265,-0.14826938335690096,0.05979463232149493,-0.044237375517703015,0.9319875090430304,0.3733977045341511,0.011555398958641577,0.21961941463703746,0.11558740679783952,0.8380134819824997,0.03219364523758531,-0.13996029867360357,0.06810371700479231,-0.03592829083440563,0.9335584033057819,0.4672421762299872,-0.09572292315590056,0.11234109252249533,0.008309084683297385,0.9136237853125192,0.8650887831705085,-0.2152584110776453,-0.007194395399249404,-0.11122640323844735,0.8573585510106274,0.03805343560849807,-0.17933012024323966,0.028733895435156226,-0.07529811240404172,0.7716127231752647,0.14119140971407415,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
102428-jgi,19.969358878713628,20.07034189518146,20.10059227374149,19.870264036834943,20.03808226605804,20.04131918736688,19.685773933029967,19.670309556544456,19.642599240029277,19.731568919492823,19.66140772158564,19.636651740966002,19.73956707208346,19.57793777655365,19.559994175016183,102428-jgi,102428,102428-jgi,jgi,-0.18620669345691981,0.05912165520577435,-0.06354251912557274,0.8685051802032973,0.28192872451159445,-0.5032009470089768,-0.25787259834628257,-0.38053677267762964,0.8197605798340378,1.7980357014170408e-5,-0.439658427883404,-0.19433007922070983,-0.3169942535520569,0.5099298861890545,1.021681940572231e-4,-0.4928857295287257,-0.24755738086603157,-0.37022155519737865,0.851932282064646,2.3560039010004548e-5,-0.1123489568510961,0.13297939181159807,0.010315217480250993,0.9133375889439519,0.858039177443643,-0.5435955156591127,-0.2982671669964185,-0.42093134132776555,0.6512734630146305,6.505482051384515e-6,-0.17337396046173398,0.07195438820096019,-0.0507097861303869,0.8463524651093687,0.3864108157276631,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
10253-jgi,17.89345807808867,17.865588074872747,17.876147568536496,17.732123306836037,17.70483320235701,17.78600076310919,17.952653059677424,17.936224960238665,17.87698181479018,17.878217571613007,18.01603751908284,17.906574158324702,17.996315593490877,18.100150518217635,17.988812425291574,10253-jgi,10253,10253-jgi,jgi,-0.22546506621222684,-0.049359233251560886,-0.13741214973189386,0.7823038852195947,0.005172315745496274,-0.04449754541088091,0.13160828754978504,0.043555371069452065,0.9306361335799338,0.30320319334609674,0.09291460432101295,0.2690204372816789,0.18096752080134593,0.6685456659145548,7.217447004257944e-4,-0.032841073972790236,0.14326475898787572,0.05521184250754274,0.9288499953605974,0.197558130804486,-0.0763964450422423,0.09970938791842365,0.011656471438090676,0.9099340560538732,0.7784785166179897,0.061975355353727,0.23808118831439296,0.15002827183405998,0.8225469930954359,0.0028937884740157186,0.006763512846184261,0.18286934580685021,0.09481642932651724,0.6279647604179062,0.036912040468252104,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
102543-jgi,18.31480565294978,18.291796035121095,18.41525696320328,18.080070938417578,18.387565246490517,18.29034676299757,18.407052712071746,18.401827340456112,18.300223906562543,18.217188016372802,18.09681240008867,18.08564201108611,18.273287002623864,18.126694229221876,18.23006168777974,102543-jgi,102543,102543-jgi,jgi,-0.2413463411033907,0.06542920552439901,-0.08795856778949585,0.8653496494638157,0.23606382113191743,-0.12430600404180914,0.18246954258598058,0.029081769272085722,0.9362316843666757,0.6875465017484153,-0.03634743625231329,0.2704281103754764,0.11704033706158157,0.871863851721495,0.122627267902143,-0.3607931812227496,-0.054017634594959896,-0.20740540790885476,0.9136053950898833,0.012114464981027095,-0.38987495049483534,-0.08309940386704562,-0.23648717718094048,0.576323463077525,0.005584097670928653,-0.2839930171967848,0.022782529431004894,-0.13060524388288997,0.8669224097919516,0.08847177247073289,-0.07658760928793007,0.23018793733985965,0.07680016402596479,0.8291802298433352,0.29758997359764305,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
102623-jgi,17.241894166219677,17.24801472561571,17.643221327068776,17.448133418286947,17.513746058797263,17.27153722932047,17.34830385397464,17.18428263228802,17.196076781540967,17.361985613940053,17.384087386150426,17.224840889931375,17.248232893690997,17.33323877358586,17.274754179828268,102623-jgi,102623,102623-jgi,jgi,-0.1792750851155871,0.24613274344927571,0.03342882916684431,0.8862489971310935,0.7385792832227687,-0.3475262313159382,0.07788159724892463,-0.13482231703350678,0.9277763881668947,0.19304966091816644,-0.3809550604827825,0.04445276808208032,-0.1682511462003511,0.8695404556742372,0.11073372876791329,-0.2667760239098653,0.1586318046549975,-0.05407210962743392,0.9349602690331807,0.5907043951875529,-0.13195370687635855,0.29345412168850427,0.08075020740607286,0.8880848314198987,0.4252628727757849,-0.3050053715487726,0.1204024570160902,-0.0923014572663412,0.8825238768475656,0.3640046768574021,-0.2509332619213387,0.17447456664352412,-0.038229347638907285,0.8812443700315645,0.7029149594474076,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
10264-jgi,18.390663839768333,18.494026240070028,18.420855915627207,18.52092736775051,18.508423542035988,18.5203367467172,18.572608519537102,18.58547732039325,18.638307715776246,18.61331512512866,18.59899727779065,18.64979547521564,18.61716282232415,18.58949740488699,18.57096527762294,10264-jgi,10264,10264-jgi,jgi,0.018028009749140636,0.14473309760960673,0.08138055367937369,0.8115541494465469,0.01596196258192315,0.10026330948344452,0.2269683973439106,0.16361585341367757,0.8553853605636629,1.0275311010402965e-4,0.018882755804070825,0.14558784366453692,0.08223529973430388,0.8146429710934988,0.015107988712254232,0.12216808362622743,0.24887317148669352,0.18552062755646048,0.8565930360879446,3.159735922855005e-5,-0.04144776978745014,0.08525731807301597,0.021904774142782912,0.8915780549850615,0.4667353427347556,0.09400729252594019,0.22071238038640628,0.15735983645617324,0.7615002381228166,1.4599925198235415e-4,-0.0915133350305203,0.03519175282994581,-0.02816079110028724,0.8405307449867958,0.3528412301917767,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
102684-jgi,18.98518712776786,18.9729781398412,19.030956881122734,18.67966562355026,18.692897235957492,18.73446740268317,18.758289578469224,18.744371001603973,18.633117106574172,18.751111276727695,18.70089084543757,18.68263965243465,18.80192450848169,18.847687475222187,18.873494473927774,102684-jgi,102684,102684-jgi,jgi,-0.37088063907283075,-0.21718061862108493,-0.29403062884695785,0.3103805362256858,2.08992299580568e-6,-0.3612981642540136,-0.2075981438022678,-0.2844481540281407,0.765099039919456,2.964977683397901e-6,-0.0672675354070558,0.08643248504469006,0.009582474818817133,0.9109850791557971,0.7910006062321676,-0.36167680160316795,-0.20797678115142212,-0.28482679137729505,0.8091770005852749,2.923824405419229e-6,-0.07722864757502726,0.0764713728767186,-3.7863734915433156e-4,0.9184163035922864,0.9916327990472469,-0.23218857392592177,-0.07848855347417591,-0.15533856370004884,0.8004723645585623,8.229062479079848e-4,0.05263821745137329,0.20633823790311914,0.12948822767724621,0.2655543345120336,0.003122996193353504,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
102706-jgi,16.261354725800132,16.30679910739609,16.25411312738271,16.161975336975377,16.123686844045444,16.155230751417204,16.12045468598985,16.28448814999362,16.22677615203088,16.209104159638134,16.2324288376387,16.295394669858528,16.263220415077562,16.21979190255169,16.116380733953196,102706-jgi,102706,102706-jgi,jgi,-0.22394343910026093,-0.030305912993675035,-0.12712467604696798,0.8087892704382299,0.014213878243885108,-0.1603347539081531,0.03330277219843279,-0.06351599085486015,0.9273014284876184,0.17897115604831013,-0.033210077861185114,0.16042744824540078,0.06360868519210783,0.8801254407345427,0.17838326894442977,-0.1252651942011488,0.06837233190543711,-0.028446431147855833,0.9343581606564022,0.5350327141632529,-0.061749203346288625,0.13188832276029727,0.035069559707004316,0.8899031307250106,0.4462774471408404,-0.17111006605211954,0.02252746005446636,-0.07429130299882658,0.8703419140342964,0.12073431053941863,-0.1426636349042637,0.050973891202322194,-0.04584487185097075,0.8348100681249769,0.3234595212858139,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
