name,T0_1,T0_2,T0_3,T2_1,T2_2,T2_3,T4_1,T4_2,T4_3,T6_1,T6_2,T6_3,T8_1,T8_2,T8_3,Protein_id,jgi,ID,set,T2_vs_T0_CI.L,T2_vs_T0_CI.R,T2_vs_T0_diff,T2_vs_T0_p.adj,T2_vs_T0_p.val,T4_vs_T0_CI.L,T4_vs_T0_CI.R,T4_vs_T0_diff,T4_vs_T0_p.adj,T4_vs_T0_p.val,T4_vs_T2_CI.L,T4_vs_T2_CI.R,T4_vs_T2_diff,T4_vs_T2_p.adj,T4_vs_T2_p.val,T6_vs_T0_CI.L,T6_vs_T0_CI.R,T6_vs_T0_diff,T6_vs_T0_p.adj,T6_vs_T0_p.val,T6_vs_T4_CI.L,T6_vs_T4_CI.R,T6_vs_T4_diff,T6_vs_T4_p.adj,T6_vs_T4_p.val,T8_vs_T0_CI.L,T8_vs_T0_CI.R,T8_vs_T0_diff,T8_vs_T0_p.adj,T8_vs_T0_p.val,T8_vs_T6_CI.L,T8_vs_T6_CI.R,T8_vs_T6_diff,T8_vs_T6_p.adj,T8_vs_T6_p.val,T2_vs_T0_significant,T4_vs_T0_significant,T4_vs_T2_significant,T6_vs_T0_significant,T6_vs_T4_significant,T8_vs_T0_significant,T8_vs_T6_significant,significant,cluster
101509-jgi-mmetsp,20.25549158896957,20.194728544137995,20.168324652022832,20.90062429345619,20.87141237843732,20.829843507143188,20.580125471200162,20.656950943921068,20.640628325622252,20.858424941176885,20.843673255622264,20.881409628698357,20.721684014713773,20.696344884750474,20.742016570417753,101509-jgi-mmetsp,101509,101509-jgi-mmetsp,jgi-mmetsp,0.5979151623930536,0.724308433544476,0.6611117979687648,1.8200242342088403e-4,2.3068667631680598e-11,0.35652334962864834,0.48291662078007086,0.4197199852043596,0.3057375094066237,4.874026080290234e-9,-0.3045884483401165,-0.178195177188694,-0.24139181276440524,0.2024160185789704,2.2794909062315057e-6,0.5917910445466528,0.7181843156980752,0.654987680122364,0.05326148126028971,2.5779333892871697e-11,0.1720710593422931,0.2984643304937156,0.23526769491800437,0.006564814179711764,2.982219091859196e-6,0.4506369260081579,0.5770301971595804,0.5138335615838692,0.05986823456564746,4.587481059732196e-10,-0.20435075411420606,-0.07795748296278356,-0.1411541185384948,0.13406849241187827,3.7485452124589404e-4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cluster 4
102883-jgi-mmetsp,21.010356924414737,21.0964204907048,21.143452488911457,21.532054293165793,21.525492177648424,21.538772528041868,21.61128652836576,21.628774351337178,21.58377417493034,21.848709338038873,21.789508243786763,21.82487221970983,21.713223732976587,21.668624770485387,21.643903714030678,102883-jgi-mmetsp,102883,102883-jgi-mmetsp,jgi-mmetsp,0.37982758306053455,0.5175651468228654,0.44869636494169995,0.04689462155936709,6.085130071677424e-9,0.45566626831959567,0.5934038320819265,0.5245350502007611,0.18535230811913006,9.883680134210891e-10,0.0069699033778956865,0.14470746714022656,0.07583868525906112,0.8329176276071344,0.03351951263458264,0.6687511839536623,0.8064887477159931,0.7376199658348277,0.043715068168884944,1.7411005008075357e-11,0.14421613375290118,0.281953697515232,0.21308491563406662,0.03908399422740155,1.9374661748237348e-5,0.5229719892727286,0.6607095530350594,0.591840771153894,0.041097081024781205,2.386748764811477e-10,-0.21464797656209914,-0.07691041279976826,-0.1457791946809337,0.168756513296103,5.816757586682876e-4,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Cluster 3
103007-jgi-mmetsp,20.390719399856827,20.478027124171504,20.475126953673268,20.50284572224836,20.43992916531272,20.440224153315263,20.671247970166668,20.640557317758272,20.72502933234331,20.952030252037403,20.96794343763711,20.956254190485893,20.955145389735357,20.936286831098357,20.88025082661167,103007-jgi-mmetsp,103007,103007-jgi-mmetsp,jgi-mmetsp,-0.055641186602858675,0.08172489538602047,0.013041854391580898,0.8867553214502645,0.6867952766051071,0.1623040065277731,0.2996700885166522,0.23098704752221266,0.7741470156041378,8.457610380583813e-6,0.1492621521361922,0.2866282341250713,0.21794519313063176,0.35800337564987933,1.5113207221149002e-5,0.44210175982516053,0.5794678418140397,0.5107848008196001,0.2567899152647814,1.3069105726548865e-9,0.21111471230294787,0.348480794291827,0.27979775329738743,0.00212563564702567,1.152932844222531e-6,0.407253482253488,0.5446195642423671,0.47593652324792757,0.1331146028884077,2.9790465213202842e-9,-0.1035313185661121,0.03383476342276705,-0.034848277571672526,0.8416881121017313,0.2911142104120535,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Cluster 3
103997-mmetsp,20.616790443104186,20.602989138283277,20.573131210125318,20.06406595423551,19.997586089249786,20.06064634880442,20.036067889904636,20.031863317989675,20.027041455086703,19.98963977728218,20.05269317369323,20.04695129952485,20.175761228665024,20.205882356412644,20.168531134908633,103997-mmetsp,103997,103997-mmetsp,mmetsp,-0.6100337386629148,-0.5037078608191253,-0.55687079974102,1.780740301217119e-4,2.2713392763820234e-11,-0.6191423150991516,-0.5128164372553622,-0.5659793761772569,0.023710244342435002,1.8711875383238648e-11,-0.06227151535813155,0.04405436248565783,-0.00910857643623686,0.8999586915971827,0.7158226553187064,-0.6210384525927365,-0.514712574748947,-0.5678755136708418,0.044361240339532204,1.7978772671267453e-11,-0.05505907641547955,0.05126680142830983,-0.0018961374935848596,0.8991321805813982,0.9394286418617773,-0.4674082960973832,-0.3610824182535938,-0.4142453571754885,0.07692499877043292,7.565647634763123e-10,0.10046721757345858,0.20679309541724797,0.15363015649535328,0.02524882818918317,3.7464953268292156e-5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Cluster 1
104016-jgi-mmetsp,18.896614086541128,18.97969334321207,18.921738488532903,18.886773712076987,18.868503293924938,18.848396635138265,19.46673222846821,19.421762236904634,19.466517333352783,19.2827177944634,19.281428650366692,19.275635828285566,19.37469976757771,19.387423842143427,19.402525854059903,104016-jgi-mmetsp,104016,104016-jgi-mmetsp,jgi-mmetsp,-0.11564444576767932,-0.013937072329581718,-0.06479075904863052,0.8272470723386032,0.01670866996499572,0.4681349400941306,0.5698423135322281,0.5189886268131794,0.03428944273954752,3.0992422924131276e-11,0.5329256991427611,0.6346330725808587,0.5837793858618099,6.128434157326902e-9,7.592695646575721e-12,0.29639176489080565,0.3980991383289032,0.3472454516098544,0.34228172063953305,3.5337922131923313e-9,-0.22259686192237374,-0.12088948848427614,-0.17174317520332494,0.018630887430340335,8.107368799684397e-6,0.40468082844593223,0.5063882018840298,0.455534515164981,0.031075800583212795,1.4608765132124335e-10,0.05743537683607777,0.15914275027417538,0.10828906355512657,0.16483267705862517,5.544044814972019e-4,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Cluster 3
104882-jgi-mmetsp,21.967408493378684,21.889810978700638,21.935300614329158,21.526740109475796,21.498879642604074,21.52272886032099,21.337601305776367,21.343225041742144,21.33839566845574,21.338238944751488,21.385812082409153,21.35043874845919,21.32826273453604,21.389828559834342,21.32969679424579,104882-jgi-mmetsp,104882,104882-jgi-mmetsp,jgi-mmetsp,-0.46824484973027025,-0.36120279960813506,-0.41472382466920266,0.011570978847805715,8.075676808546424e-10,-0.6446203818724727,-0.5375783317503375,-0.5910993568114051,0.01710510939976238,1.2063104649454716e-11,-0.22989655720327007,-0.12285450708113488,-0.17637553214220247,0.3198932623369879,1.0374812571457412e-5,-0.6261977953239481,-0.519155745201813,-0.5726767702628806,0.043950815565027224,1.761589238375946e-11,-0.03509843851254301,0.07194361160959217,0.018422586548524578,0.8712598190058664,0.46828185058166205,-0.6350983576585045,-0.5280563075363693,-0.5815773325974369,0.005125445060196892,1.4649778194697992e-11,-0.06242158739562397,0.044620462726511205,-0.008900562334556383,0.8875097173175205,0.7237805414581036,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Cluster 1
104908-jgi-mmetsp,20.523816824697384,20.552796714892324,20.612128047653577,21.007617610018485,21.055024617434356,21.039674550291686,20.98109671334194,20.94783785832921,20.927383334254664,21.07436628435329,21.0594384834149,21.049067115089755,21.000172245325892,20.97652906906174,20.961710421833594,104908-jgi-mmetsp,104908,104908-jgi-mmetsp,jgi-mmetsp,0.4163213285494197,0.5260621317847293,0.4711917301670745,0.003601423759414498,2.40781681622368e-10,0.3343217046098498,0.4440625078451593,0.38919210622750455,0.23824575035864098,2.2711892859689787e-9,-0.1368700255572247,-0.02712922232191519,-0.08199962393956994,0.7837476320904331,0.006817762955581861,0.4431730302538962,0.5529138334892058,0.498043431871551,0.11118972093602535,1.2493860796353727e-10,0.05398092402639167,0.16372172726170117,0.10885132564404643,0.3315416781370053,9.68920733426194e-4,0.36168631470831614,0.4714271179436257,0.4165567163259709,0.08829740828243267,1.0268589176683529e-9,-0.13635711716323481,-0.026616313927925316,-0.08148671554558007,0.48378593763647054,0.007081830032686407,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cluster 4
105065-jgi-mmetsp,23.15074419199106,23.117042681262063,23.07990880335919,23.545155995185404,23.543722420600936,23.54170998454621,23.65969646225524,23.65556592330632,23.672641611862176,23.722061349451586,23.739970124594784,23.74758482224535,23.648864304017373,23.650502704462454,23.66557591032003,105065-jgi-mmetsp,105065,105065-jgi-mmetsp,jgi-mmetsp,0.38488789851386623,0.4703739172996399,0.42763090790675307,3.966608314876835e-4,3.9278640177333955e-11,0.503993097544263,0.5894791163300368,0.5467361069371499,0.0034612318785789548,2.0716793809685814e-12,0.07636218963751001,0.16184820842328368,0.11910519903039685,0.48084559145974326,5.2823557012375533e-5,0.5778971971669258,0.6633832159526996,0.6206402065598127,0.002454207290036988,4.4985566244980364e-13,0.031161090229775916,0.11664710901554959,0.07390409962266276,0.46078071282115207,0.0026442850196952234,0.4963394046696366,0.5818254234554103,0.5390824140625234,7.308301510608332e-4,2.4543288087482947e-12,-0.12430080189017606,-0.03881478310440239,-0.08155779249728923,0.24618479647981054,0.0013012795549866363,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Cluster 3
105607-jgi-mmetsp,19.958478253323285,19.939598641954177,19.95249906752874,19.63578080149467,19.57858289320893,19.56129787012351,19.328232500346346,19.34784204926583,19.275184311600256,19.32022490401554,19.335343527561832,19.385801606527515,19.336156686134046,19.369371711699905,19.373183300786273,105607-jgi-mmetsp,105607,105607-jgi-mmetsp,jgi-mmetsp,-0.41653456998729094,-0.30007502866543295,-0.35830479932636194,0.06749909787582002,1.1751661190894084e-8,-0.6913354711921891,-0.5748759298703312,-0.6331057005312601,0.019818756619613385,1.4550037341528494e-11,-0.3330306718658272,-0.2165711305439692,-0.2748009012048982,0.07745837773134574,2.3357540171926356e-7,-0.6612984122280345,-0.5448388709061767,-0.6030686415671056,0.053490801401735864,2.6005256098481498e-11,-0.02819271169677444,0.08826682962508352,0.03003705896415454,0.8496604669014799,0.2835154509199669,-0.6488511920562552,-0.5323916507343973,-0.5906214213953263,0.011065437153140527,3.335121780829634e-11,-0.04578255048914963,0.07067699083270833,0.01244722017177935,0.8825260112413792,0.6501949811829233,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Cluster 1
105921-jgi-mmetsp,20.8764556605811,20.82793100202253,20.89337691003854,21.26280233979599,21.23251924497201,21.23587054170271,21.274521706592886,21.32298421401621,21.29871084792429,21.420381408372343,21.439452553852625,21.427382061300086,21.384288537207148,21.37871483892387,21.33753757259246,105921-jgi-mmetsp,105921,105921-jgi-mmetsp,jgi-mmetsp,0.32850981982481064,0.42710921606087604,0.37780951794284334,0.01286543441582253,9.19490179748233e-10,0.38351803384570493,0.4821174300817703,0.43281773196373763,0.09166295440127405,1.8538735219540755e-10,0.005708515902861588,0.10430791213892698,0.055008214020894286,0.8313723825785423,0.03162392561431534,0.5138511188429269,0.6124505150789923,0.5631508169609596,0.02836835091160783,8.055796224116174e-12,0.08103338687918926,0.17963278311525466,0.13033308499722196,0.10599068665301818,8.595278727087762e-5,0.4516260939090677,0.5502254901451331,0.5009257920271004,0.010876542132576293,3.265798845906747e-11,-0.11152472305189187,-0.012925326815826477,-0.062225024933859174,0.602229057096968,0.017533791656584898,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Cluster 3
