"","sort(setdiff(mmetsp_sig_MAP, jgi_sig))"
"1","103997"
"2","104016"
"3","107249"
"4","109323"
"5","109737"
"6","110565"
"7","111355"
"8","115215"
"9","116011"
"10","117249"
"11","118443"
"12","119116"
"13","119199"
"14","119464"
"15","123824"
"16","128408"
"17","136102"
"18","136226"
"19","136427"
"20","136538"
"21","136608"
"22","136674"
"23","136865"
"24","137113"
"25","137175"
"26","137176"
"27","137504"
"28","137525"
"29","137532"
"30","137636"
"31","138285"
"32","138555"
"33","138602"
"34","138707"
"35","138891"
"36","138903"
"37","138926"
"38","138951"
"39","138959"
"40","139036"
"41","139066"
"42","139073"
"43","139106"
"44","139165"
"45","139443"
"46","139450"
"47","139465"
"48","139649"
"49","139652"
"50","139686"
"51","140215"
"52","140473"
"53","140542"
"54","140579"
"55","140639"
"56","140684"
"57","140744"
"58","140947"
"59","140994"
"60","140998"
"61","141027"
"62","141237"
"63","141707"
"64","141761"
"65","142428"
"66","142771"
"67","142806"
"68","142844"
"69","142917"
"70","148186"
"71","243"
"72","28564"
"73","28829"
"74","30858"
"75","34497"
"76","35030"
"77","36111"
"78","36581"
"79","37145"
"80","3822"
"81","38293"
"82","40071"
"83","40261"
"84","40544"
"85","41268"
"86","41722"
"87","41946"
"88","41994"
"89","42009"
"90","42092"
"91","42098"
"92","42143"
"93","42193"
"94","42652"
"95","42704"
"96","42810"
"97","42867"
"98","42950"
"99","42973"
"100","43039"
"101","43122"
"102","43167"
"103","43290"
"104","43700"
"105","43746"
"106","43775"
"107","43893"
"108","43908"
"109","43961"
"110","43993"
"111","44040"
"112","44127"
"113","442"
"114","44270"
"115","44292"
"116","44404"
"117","44415"
"118","44417"
"119","44457"
"120","44584"
"121","44587"
"122","44649"
"123","44933"
"124","44962"
"125","45185"
"126","45357"
"127","45608"
"128","45860"
"129","45927"
"130","45936"
"131","46117"
"132","46177"
"133","46705"
"134","46720"
"135","46809"
"136","46847"
"137","46910"
"138","46923"
"139","47522"
"140","47601"
"141","47773"
"142","47823"
"143","47839"
"144","48319"
"145","48330"
"146","48363"
"147","48720"
"148","48812"
"149","48845"
"150","55246"
"151","57766"
"152","58598"
"153","60944"
"154","63111"
"155","67186"
"156","6812"
"157","70240"
"158","70273"
"159","72990"
"160","73555"
"161","73614"
"162","74302"
"163","75220"
"164","77077"
"165","7713"
"166","77227"
"167","77776"
"168","78224"
"169","78450"
"170","79063"
"171","79519"
"172","80143"
"173","80217"
"174","80514"
"175","80822"
"176","82570"
"177","83142"
"178","83394"
"179","85053"
"180","85237"
"181","85346"
"182","85644"
"183","97114"
"184","9990"
