protein,Fasta_headers,T0.1,T0.2,T0.3,T2.1,T2.2,T2.3,T4.1,T4.2,T4.3,T6.1,T6.2,T6.3,T8.1,T8.2,T8.3
jgi|Aurli1|100312|estExt_Genewise1Plus.C_1_t10335,jgi|Aurli1|100312|estExt_Genewise1Plus.C_1_t10335,486788.5787,659400.372,428753.2363,432040,627767.7901,401014.967,420512.5279,658836.2447,390642.2324,391412.3571,606037.3713,365954.9758,405149.9983,602584.1183,381409.8548
jgi|Aurli1|100463|estExt_Genewise1Plus.C_1_t20024,jgi|Aurli1|100463|estExt_Genewise1Plus.C_1_t20024,79587.83481,147478.6523,176930.5102,79013,107827.6773,112344.6161,69483.6721,99349.89331,134707.7103,67187.08671,95102.88675,115339.1401,67403.01865,116595.1369,135855.3486
jgi|Aurli1|100711|estExt_Genewise1Plus.C_1_t20349,jgi|Aurli1|100711|estExt_Genewise1Plus.C_1_t20349,2317246.333,2916609.097,2013785.671,1960700,2347452.195,1675175.823,1723586.27,2027804.643,1359792.809,1581307.543,1820713.133,1303613.914,1770127.906,1988827.769,1470651.448
jgi|Aurli1|1009|gm1.1009_g,jgi|Aurli1|1009|gm1.1009_g,364188.8895,78718.46991,108631.8612,278610,64371.37897,92838.85766,294715.3736,68851.30436,92922.55112,263362.1984,55973.12033,92965.09905,297275.032,60312.63763,85422.79857
jgi|Aurli1|101067|estExt_Genewise1Plus.C_1_t30403,jgi|Aurli1|101067|estExt_Genewise1Plus.C_1_t30403,123077.7938,200519.7936,277708.2535,124000,217636.2854,292644.4778,100525.6203,220281.1996,263473.9228,93090.83469,182914.8869,246294.3661,92801.82479,171982.9106,239880.4118
jgi|Aurli1|101509|estExt_Genewise1Plus.C_2_t10053,jgi|Aurli1|101509|estExt_Genewise1Plus.C_2_t10053,1699710.772,942974.3753,1016457.544,2247200,1667628.305,1781268.742,1887488.838,1427577.484,1548277.827,2142204.307,1610723.549,1832655.859,2037149.024,1468356.993,1683084.005
jgi|Aurli1|10179|gm1.10179_g,jgi|Aurli1|10179|gm1.10179_g,270207.178,447609.3358,600663.6571,183160,325641.3595,422744.8421,172667.8771,306578.579,405293.426,157907.9351,306759.5331,418576.9518,166993.3833,407506.8301,547999.8812
jgi|Aurli1|102011|estExt_Genewise1Plus.C_2_t20186,jgi|Aurli1|102011|estExt_Genewise1Plus.C_2_t20186,242682.011,320291.9202,270399.2686,256050,381974.6932,250985.8671,275812.4594,384036.0607,267727.4951,295843.1649,357564.7606,251421.3341,301599.8152,363206.2943,270741.9494
jgi|Aurli1|102422|estExt_Genewise1Plus.C_3_t10093,jgi|Aurli1|102422|estExt_Genewise1Plus.C_3_t10093,319354.3832,1009742.713,801235.0292,278720,869175.2443,712147.2691,270845.1292,1062389.819,765688.0328,277207.375,1004957.326,762624.7228,251209.2414,980905.8523,753824.1941
jgi|Aurli1|102428|estExt_Genewise1Plus.C_3_t10104,jgi|Aurli1|102428|estExt_Genewise1Plus.C_3_t10104,539721.5921,1428095.377,1334525.547,468330,1393944.492,1266142.881,387306.7952,1151354.246,959979.5144,392830.2976,1122957.212,932214.4745,413007.014,1092552.886,903922.4422
