"name","mmetspset_name","mmetsp_significant","jgiset_name","jgi_significant","both_significant"
"100312","A0A6S8B6I7",FALSE,"100312",FALSE,FALSE
"100711","A0A6S8G552",FALSE,"100711",FALSE,FALSE
"1009","A0A6S7ZM94",FALSE,"1009",FALSE,FALSE
"101067","A0A6S8EN43",FALSE,"101067",FALSE,FALSE
"101509","A0A6S8AZW0",TRUE,"101509",TRUE,TRUE
"10179","A0A6S8E7V5",FALSE,"10179",FALSE,FALSE
"102011","A0A6S8BGH1",FALSE,"102011",FALSE,FALSE
"102422","A0A6S7ZL08",FALSE,"102422",FALSE,FALSE
"102428","A0A6S8BP33",FALSE,"102428",FALSE,FALSE
"10253","A0A6S8ABN1",FALSE,"10253",FALSE,FALSE
"102543","A0A6S8B3B6",FALSE,"102543",FALSE,FALSE
"102623","A0A6S8B0B7",FALSE,"102623",FALSE,FALSE
"10264","A0A6S8D0L1",FALSE,"10264",FALSE,FALSE
"102684","A0A6S8ARI7",FALSE,"102684",FALSE,FALSE
"102706","A0A6S8GI41",FALSE,"102706",FALSE,FALSE
"102789","A0A6S8FJ81",FALSE,NA,NA,NA
"102883","A0A6S7ZM08",TRUE,"102883",TRUE,TRUE
"102913","A0A6S8G4H9",FALSE,"102913",FALSE,FALSE
"103007","A0A6S8D3Z7",FALSE,"103007",FALSE,FALSE
"103046","A0A6S8CYC1",FALSE,"103046",FALSE,FALSE
"10377","A0A6S8A529",FALSE,NA,NA,NA
"10398","A0A6S8EEK8",FALSE,"10398",TRUE,FALSE
"103997","A0A6S8ERD4",TRUE,NA,NA,NA
"104016","A0A6S8B3A8",TRUE,"104016",FALSE,FALSE
"10404","A0A6S8E9Q2",FALSE,"10404",FALSE,FALSE
"104178","A0A6S8B473",FALSE,"104178",FALSE,FALSE
"104577","A0A6S8AIR6",FALSE,"104577",FALSE,FALSE
"104908","A0A6S8AZG7",TRUE,"104908",TRUE,TRUE
"104965","A0A6S8B7C3",FALSE,"104965",FALSE,FALSE
"105065","A0A6S8DI51",TRUE,"105065",TRUE,TRUE
"105083","A0A6S8D452",FALSE,NA,NA,NA
"105607","A0A6S8CCU0",TRUE,"105607",TRUE,TRUE
"105921","A0A6S8G1Q0",TRUE,"105921",TRUE,TRUE
"10610","A0A6S8DFL9",FALSE,"10610",FALSE,FALSE
