category,detected_m,significant_s,clu1_s,clu2_s,clu3_s,clu4_s,down_s,up_s,test_sig_vs_det_s,test_up_vs_sig_s,test_clu1_vs_sig_s,test_clu2_vs_sig_s,test_clu3_vs_sig_s,test_clu4_vs_sig_s,p.adj_sig_vs_det_s,p.adj_up_vs_sig_s,p.adj_clu1_vs_sig_s,p.adj_clu2_vs_sig_s,p.adj_clu3_vs_sig_s,p.adj_clu4_vs_sig_s
Cilium and associated proteins (ko03037),41,13,2,11,0,0,13,0,NS,UNDER,NS,OVER,NS,UNDER,9.12E-02,1.22E-04,5.67E-01,1.65E-03,1.37E-01,0.023374
ko04812 Cytoskeleton proteins,63,8,3,4,1,0,7,1,NS,UNDER,NS,NS,NS,NS,9.12E-02,3.44E-02,3.59E-01,3.08E-01,4.12E-01,1.33E-01
Cytoskeleton,110,12,4,4,3,1,8,4,UNDER,NS,NS,NS,NS,NS,3.17E-02,1.23E-01,2.11E-01,3.35E-01,3.28E-01,1.38E-01
"Intracellular trafficking, secretion, and vesicular transport (ITSVT)",159,19,4,12,0,3,16,3,UNDER,UNDER,NS,OVER,UNDER,NS,2.51E-02,1.83E-03,3.09E-01,1.00E-02,3.87E-02,1.38E-01
Membrane trafficking (ko04131),185,22,5,14,3,0,19,3,UNDER,UNDER,NS,OVER,NS,UNDER,4.33E-03,1.25E-04,3.59E-01,7.91E-03,3.10E-01,1.41E-03
"Translation, ribosomal structure and biogenesis (TRSB)",272,81,11,22,8,40,33,48,OVER,NS,NS,NS,UNDER,OVER,7.05E-06,1.73E-01,3.09E-01,3.09E-01,4.90E-03,3.47E-03
Ribosome (ko03011),99,39,11,21,0,7,32,7,OVER,UNDER,OVER,OVER,UNDER,NS,2.99E-04,3.24E-06,4.24E-02,7.91E-03,2.62E-04,5.89E-02
Translation factors (ko03012),61,23,0,1,7,15,1,22,OVER,OVER,NS,UNDER,NS,OVER,9.50E-03,3.01E-04,3.59E-01,1.02E-02,3.83E-01,8.18E-03
Ribosome biogenesis (ko03009),142,32,1,3,2,26,4,28,NS,OVER,NS,UNDER,NS,OVER,1.39E-01,8.80E-04,3.59E-01,1.11E-02,5.44E-02,2.24E-07
Transfer RNA biogenesis (ko03016),89,17,0,1,1,15,1,16,NS,OVER,NS,UNDER,NS,OVER,1.66E-01,3.96E-03,4.33E-01,4.25E-02,2.12E-01,4.12E-05
