category,detected_m,significant_m,clu1_m,clu2_m,clu3_m,clu4_m,down_m,up_m,total_detected_m,total_sig_m,total_down_m,total_up_m,total_clu1_m,total_clu2_m,total_clu3_m,total_clu4_m,p.val_sig_vs_det_m,p.val_down_vs_sig_m,p.val_up_vs_sig_m,p.val_clu1_vs_sig_m,p.val_clu2_vs_sig_m,p.val_clu3_vs_sig_m,p.val_clu4_vs_sig_m,p.adj_sig_vs_det_m,p.adj_down_vs_sig_m,p.adj_up_vs_sig_m,p.adj_clu1_vs_sig_m,p.adj_clu2_vs_sig_m,p.adj_clu3_vs_sig_m,p.adj_clu4_vs_sig_m,test_sig_vs_det_m,test_down_vs_sig_m,test_up_vs_sig_m,test_clu1_vs_sig_m,test_clu2_vs_sig_m,test_clu3_vs_sig_m,test_clu4_vs_sig_m,FIGURE_m
ko00001,1989,416,46,129,104,137,175,241,1989,416,175,241,46,129,104,137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko00536,4,0,0,0,0,0,0,0,1989,416,175,241,46,129,104,137,0.39086683964010127,1,1,1,1,1,1,0.46651848602205637,1,1,1,1,1,1,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko00537,1,0,0,0,0,0,0,0,1989,416,175,241,46,129,104,137,0.7908496732026145,1,1,1,1,1,1,0.8128177196804648,1,1,1,1,1,1,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko01000,1060,238,19,64,73,82,83,155,1989,416,175,241,46,129,104,137,0.00871289769260867,2.2256539732728837e-4,2.2256539732728837e-4,0.009034498645024803,0.00952509870972601,7.227490879028631e-4,0.06303024689763342,0.03581969051405787,0.0010293649626387088,0.0010293649626387088,0.16713822493295885,0.035242865225986235,0.013370858126202968,0.1793937796317259,OVER,UNDER,OVER,NS,UNDER,OVER,NS,In figure
ko01001,40,2,1,1,0,0,2,0,1989,416,175,241,46,129,104,137,0.004318490574052051,0.17637859128822983,0.17637859128822983,0.19717330861909171,0.42890407784986095,0.5620481927710844,0.44927015755329003,0.02282630731998941,0.29663672171202293,0.29663672171202293,0.4863608279270929,0.6577772393923521,0.7702141900937083,0.6649198331788693,UNDER,NS,NS,NS,NS,NS,NS,In figure
ko01002,86,18,2,8,2,6,10,8,1989,416,175,241,46,129,104,137,0.10758287311905831,0.09575660133617032,0.09575660133617032,0.2933355151462571,0.09076631387922546,0.0932178195565665,0.20054165079199365,0.16555770272706555,0.1864733815493843,0.1864733815493843,0.5669659117016348,0.22389024090208948,0.3096544441910403,0.3911957728867652,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko01003,11,0,0,0,0,0,0,0,1989,416,175,241,46,129,104,137,0.07513540795470702,1,1,1,1,1,1,0.139000504716208,1,1,1,1,1,1,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko01004,21,5,2,2,1,0,4,1,1989,416,175,241,46,129,104,137,0.19170442989781036,0.0897759186378181,0.0897759186378181,0.08551793751668448,0.3176167764259489,0.39741976644339216,0.13408540496807586,0.2445884105592753,0.1864733815493843,0.1864733815493843,0.3589918605343572,0.553669058839395,0.5881812543362204,0.3543685702727719,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko01006,8,0,0,0,0,0,0,0,1989,416,175,241,46,129,104,137,0.152450916705975,1,1,1,1,1,1,0.20891421918966946,1,1,1,1,1,1,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko01007,58,16,1,0,4,11,1,15,1989,416,175,241,46,129,104,137,0.05596508466784794,0.0016056639686304619,0.0016056639686304619,0.30646806037926205,0.0023042690905197877,0.22965091149404768,0.002505903533187897,0.12180636074766904,0.005940956683932709,0.005940956683932709,0.5669659117016348,0.011102178832406022,0.41154891461837445,0.013245490103993169,NS,UNDER,OVER,NS,UNDER,NS,OVER,In figure
ko01008,1,0,0,0,0,0,0,0,1989,416,175,241,46,129,104,137,0.7908496732026145,1,1,1,1,1,1,0.8128177196804648,1,1,1,1,1,1,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko01009,50,6,1,4,0,1,5,1,1989,416,175,241,46,129,104,137,0.042696903208303355,0.04482242945129024,0.04482242945129024,0.3726501347320714,0.06508520497333894,0.17583016767649934,0.2681708099361518,0.09873658866920151,0.11845927783555277,0.11845927783555277,0.6530778467547751,0.17201089885811005,0.38268918847238087,0.451014543983528,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko02000,65,13,2,6,1,4,8,5,1989,416,175,241,46,129,104,137,0.12273891712676958,0.08116669890945102,0.08116669890945102,0.2673942943541313,0.11324548716899334,0.10042846838628335,0.23435326913765298,0.17466692052655672,0.1864733815493843,0.1864733815493843,0.5669659117016348,0.2618801890782971,0.3096544441910403,0.433553547904658,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko02044,14,0,0,0,0,0,0,0,1989,416,175,241,46,129,104,137,0.036985652330297145,1,1,1,1,1,1,0.09123127574806629,1,1,1,1,1,1,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko03009,142,32,1,3,2,26,4,28,1989,416,175,241,46,129,104,137,0.07375627464193976,1.664182603104201e-4,1.664182603104201e-4,0.08732234445430312,0.0024004710988985993,0.00441425286762633,6.047877800920932e-9,0.139000504716208,8.796393759265063e-4,8.796393759265063e-4,0.3589918605343572,0.011102178832406022,0.05444245203405807,2.2377147863407448e-7,NS,UNDER,OVER,NS,UNDER,NS,OVER,In figure
ko03011,99,39,11,21,0,7,32,7,1989,416,175,241,46,129,104,137,8.078198505110982e-6,8.747458817808078e-8,8.747458817808078e-8,0.001145910800404473,0.0010691275374541678,7.068163557156792e-6,0.01537438141302872,2.9889334468910636e-4,3.236559762588989e-6,3.236559762588989e-6,0.0423986996149655,0.007911543777160843,2.615220516148013e-4,0.058856084070551186,OVER,OVER,UNDER,OVER,OVER,UNDER,NS,In figure
ko03012,61,23,0,1,7,15,1,22,1989,416,175,241,46,129,104,137,0.0010271211501988614,4.071733203961024e-5,4.071733203961024e-5,0.06242251348221545,0.0016480439845986427,0.1533107263495018,8.846072859257107e-4,0.009500870639339468,3.013082570931158e-4,3.013082570931158e-4,0.3589918605343572,0.010162937905024963,0.38268918847238087,0.008182617394812824,OVER,UNDER,OVER,NS,UNDER,NS,OVER,In figure
ko03016,89,17,0,1,1,15,1,16,1989,416,175,241,46,129,104,137,0.09946688904336819,9.63900151168471e-4,9.63900151168471e-4,0.13082147129029162,0.012633155288774768,0.04012288026221154,2.228673481739978e-6,0.16555770272706555,0.003962700621470381,0.003962700621470381,0.4328558861807846,0.04249334051678786,0.21207808138597525,4.123045941218959e-5,NS,UNDER,OVER,NS,UNDER,NS,OVER,In figure
ko03019,118,24,5,4,7,8,9,15,1989,416,175,241,46,129,104,137,0.09248968848484422,0.15331034936543142,0.15331034936543142,0.07442852982906341,0.0558739739902746,0.16301742253956902,0.1756714932668747,0.16295802256853506,0.2701182345962363,0.2701182345962363,0.3589918605343572,0.15902592597232001,0.38268918847238087,0.3911957728867652,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko03021,50,3,0,2,0,1,2,1,1989,416,175,241,46,129,104,137,0.002686520796013855,0.308023481887416,0.308023481887416,0.7029657089898055,0.19891203610428335,0.420857342413131,0.4460145767014548,0.016914533188292363,0.4955160360797562,0.4955160360797562,1,0.3679872667929242,0.5989123718956095,0.6649198331788693,UNDER,NS,NS,NS,NS,NS,NS,In figure
ko03029,116,17,1,4,5,7,5,12,1989,416,175,241,46,129,104,137,0.021976186620744447,0.11597081655599346,0.11597081655599346,0.28898980381075723,0.1780500057742168,0.19520327476994057,0.15232286126155464,0.08131189049675445,0.2145460106285879,0.2145460106285879,0.5669659117016348,0.34672895861294856,0.4012511759159889,0.3757297244451681,NS,NS,NS,NS,NS,NS,NS,Not in figure
