name,T0_1,T0_2,T0_3,T2_1,T2_2,T2_3,T4_1,T4_2,T4_3,T6_1,T6_2,T6_3,T8_1,T8_2,T8_3,Protein_id,name_ID,ID,T2_vs_T0_CI.L,T2_vs_T0_CI.R,T2_vs_T0_diff,T2_vs_T0_p.adj,T2_vs_T0_p.val,T4_vs_T0_CI.L,T4_vs_T0_CI.R,T4_vs_T0_diff,T4_vs_T0_p.adj,T4_vs_T0_p.val,T6_vs_T0_CI.L,T6_vs_T0_CI.R,T6_vs_T0_diff,T6_vs_T0_p.adj,T6_vs_T0_p.val,T8_vs_T0_CI.L,T8_vs_T0_CI.R,T8_vs_T0_diff,T8_vs_T0_p.adj,T8_vs_T0_p.val,T2_vs_T0_significant,T4_vs_T0_significant,T6_vs_T0_significant,T8_vs_T0_significant,significant,cluster
A0A1J0I0C2,21.873987924287036,21.890235268477216,21.99608741433063,21.259006627950633,21.235250779649935,21.225775110793393,21.27477757854214,21.30213565061266,21.239239592978443,21.302268881890093,21.27271783924699,21.236011224753288,21.30811761237026,21.303475932124066,21.267404720934604,A0A1J0I0C2-mmetsp,A0A1J0I0C2,A0A1J0I0C2,-0.7483553097397659,-0.6118300827275065,-0.6800926962336362,7.256159485031408e-4,4.4759176093736487e-11,-0.7163152084933393,-0.5797899814810799,-0.6480525949872096,0.08052046612922698,7.925649956815701e-11,-0.7180335005742946,-0.5815082735620352,-0.6497708870681649,0.112657115899378,7.681282167157057e-11,-0.695366727394775,-0.5588415003825156,-0.6271041138886453,0.04874595113037539,1.1685809278897092e-10,TRUE,TRUE,FALSE,TRUE,TRUE,Cluster 1
A0A6S7ZE47,18.37334579284314,18.337460501031334,18.428820711143594,18.52843854579312,18.498864359882262,18.53039646043863,18.68080409799208,18.722809726336504,18.69496690859413,19.014020933313827,19.003058934466363,18.970852679211767,19.083470567151476,19.089110264832133,19.03551243156844,A0A6S7ZE47-mmetsp,A0A6S7ZE47,A0A6S7ZE47,0.08379720387543929,0.1949177035218548,0.13935745369864705,0.6800734863163959,1.39950260764602e-4,0.2640909928116755,0.37521149245809093,0.3196512426348832,0.49384526534795103,2.6622706427617303e-8,0.560541597501421,0.6716620971478364,0.6161018473246287,0.049500013259508924,1.2540885015769898e-11,0.6339285030214525,0.745049002667868,0.6894887528446603,0.003210912140618861,3.2747060594552508e-12,FALSE,FALSE,TRUE,TRUE,TRUE,Cluster 3
A0A6S7ZFQ3,21.463972077579257,21.45895893334125,21.460058287565065,21.13867715129922,21.128160476381968,21.11899796361462,20.87483453189884,20.870845497914136,20.905742768331898,20.865149658351168,20.86948807613798,20.833693374086145,20.839330999599184,20.876645966130855,20.838174910933095,A0A6S7ZFQ3-mmetsp,A0A6S7ZFQ3,A0A6S7ZFQ3,-0.37192455659878476,-0.2928445815277172,-0.332384569063251,0.006450797284104863,3.323769755981166e-10,-0.6167288209824306,-0.5376488459113631,-0.5771888334468969,0.001212498557357055,4.681016186051782e-13,-0.6444260508389554,-0.5653460757678879,-0.6048860633034217,0.002346904132116459,2.666013373382777e-13,-0.6491524614763478,-0.5700724864052802,-0.609612473940814,1.2703057998370452e-4,2.427958970913687e-13,TRUE,TRUE,TRUE,TRUE,TRUE,Cluster 2
A0A6S7ZG11,19.03626686807533,19.058761378166302,19.054846909009324,19.428026221976886,19.49315399269254,19.456591586912754,19.43079581015378,19.40176791525824,19.426449464830913,19.462281105690096,19.4364152135189,19.43063390635057,19.429898379161582,19.378036269616004,19.396749592480617,A0A6S7ZG11-mmetsp,A0A6S7ZG11,A0A6S7ZG11,0.3630881276728158,0.45550963654800286,0.4092988821104093,0.003638741196788072,1.7976207905118345e-10,0.32350192389306726,0.41592343276825433,0.3697126783306608,0.182692760648061,5.93604292794302e-10,0.34694093566527867,0.43936244454046575,0.3931516901028722,0.18893472640754339,2.886633745385513e-10,0.30539227423148857,0.39781378310667564,0.3516030286690821,0.12841007854066538,1.0673504552515648e-9,TRUE,FALSE,FALSE,FALSE,TRUE,Cluster 4
A0A6S7ZG15,22.238805226045578,22.207348628762613,22.183924533798265,22.065314538709757,22.053707457073312,22.03335138725604,21.93342751821813,21.963066638646975,21.939814901851634,21.784244982253277,21.812435822822742,21.823453663879462,21.800500891690884,21.79465028636667,21.826241319159507,A0A6S7ZG15-mmetsp,A0A6S7ZG15,A0A6S7ZG15,-0.20269495102881047,-0.11577505268276418,-0.15923500185578732,0.4669423000830661,3.6167658727453607e-6,-0.3080497258029275,-0.2211298274568812,-0.26458977662990435,0.44111223979029823,1.399308029604639e-8,-0.4467745890566838,-0.3598546907106375,-0.4033146398836607,0.128483561617095,1.0368651743093157e-10,-0.4463552463028186,-0.3594353479567723,-0.40289529712979544,0.04604732844322061,1.0496844943398741e-10,FALSE,FALSE,FALSE,TRUE,TRUE,Cluster 2
A0A6S7ZG73,21.302615109573345,21.27742510865315,21.27281939531399,21.126217658901123,21.16754823023708,21.160784758958712,20.949534543582256,20.964045292334912,20.941771648607933,20.88685710817893,20.87385738904129,20.870062358103223,20.963359513567404,20.941185973338104,20.943400521206925,A0A6S7ZG73-mmetsp,A0A6S7ZG73,A0A6S7ZG73,-0.1707939151512431,-0.09474539514447887,-0.132769655147861,0.5031893948225357,5.925185201709587e-6,-0.3705269696751824,-0.2944784496684182,-0.3325027096718003,0.12508795466673875,2.090325642367539e-10,-0.4453851794090685,-0.3693366594023043,-0.4073609194056864,0.060577568606393836,1.890029250033383e-11,-0.37299546181274545,-0.29694694180598125,-0.33497120180936335,0.06331096085728241,1.9159726013745318e-10,FALSE,FALSE,TRUE,TRUE,TRUE,Cluster 2
A0A6S7ZGB1,18.43825760433395,18.39186473787709,18.407977524892917,18.68838801043153,18.701513742368608,18.714244001669694,18.765566775802284,18.768244479469672,18.76405763595162,19.015551903130955,19.000137759641905,19.01004824463082,18.995321553011483,19.021475240408126,18.994726896238674,A0A6S7ZGB1-mmetsp,A0A6S7ZGB1,A0A6S7ZGB1,0.2512263384601686,0.3261375864504169,0.28868196245529276,0.015574144894711857,9.184587122786806e-10,0.3158007173780829,0.3907119653683312,0.35325634137320705,0.08332647603363565,8.566165432019031e-11,0.5584237227714522,0.6333349707617005,0.5958793467665764,0.0014852385064285322,1.6651683465062613e-13,0.5536856501896542,0.6285968981799025,0.5911412741847784,8.259073843512409e-5,1.8329357621451396e-13,TRUE,TRUE,TRUE,TRUE,TRUE,Cluster 3
A0A6S7ZGZ7,19.420206410145923,19.345272408572722,19.286268594625657,19.524368147536823,19.536244700615267,19.50654764021166,19.769104358966462,19.826085189872202,19.838492179696402,20.07490403645067,20.095420219332365,20.11804908322295,20.074064296819078,20.07819818666734,20.072943512849974,A0A6S7ZGZ7-mmetsp,A0A6S7ZGZ7,A0A6S7ZGZ7,0.10630347713940828,0.23730523954022437,0.17180435833981633,0.6626657872497069,9.37250220741229e-5,0.3951438905298435,0.5261456529306596,0.46064477173025153,0.2930495459454037,2.6648379122538935e-9,0.6800410940201533,0.8110428564209695,0.7455419752205614,0.04217054379430097,9.188950644466163e-12,0.6589853131302827,0.7899870755310989,0.7244861943306908,0.011205342830970027,1.2926770730227895e-11,FALSE,FALSE,TRUE,TRUE,TRUE,Cluster 3
A0A6S7ZJM5,21.078222226854827,21.11355782091378,21.059457051927694,20.23101944376908,20.29152878993874,20.278652306595536,20.18827006197829,20.14585662961365,20.166418289325655,20.145152460940647,20.129779877380273,20.17226154234215,20.47145264484608,20.385338400098746,20.401079153995493,A0A6S7ZJM5-mmetsp,A0A6S7ZJM5,A0A6S7ZJM5,-0.8746551843771462,-0.7587025218848149,-0.8166788531309805,2.344084249323986e-7,7.179619046735213e-13,-0.9748737041723983,-0.858921041680067,-0.9168973729262326,3.631380832232143e-4,1.7880390017123624e-13,-0.9926574042572431,-0.8767047417649119,-0.9346810730110775,0.0012964303956512708,1.419210151103532e-13,-0.7224319648314959,-0.6064793023391646,-0.6644556335853302,0.00799691309586848,8.464838310151192e-12,TRUE,TRUE,TRUE,TRUE,TRUE,Cluster 1
A0A6S7ZKK5,19.612113464053863,19.610113831216854,19.565500368977737,20.053224412808106,20.048916023925106,19.977814226685293,20.151711687959235,20.10236287913195,20.14803148316463,20.219970287642766,20.23292480003639,20.23785113513506,20.002158560532187,20.00635700872782,20.089980807616396,A0A6S7ZKK5-mmetsp,A0A6S7ZKK5,A0A6S7ZKK5,0.3684534573258848,0.4930312087874849,0.43074233305668486,0.038160010496658944,3.238129081639705e-9,0.47583725293831985,0.6004150043999199,0.5381261286691199,0.13266228775887898,2.410592529606854e-10,0.5720506437911195,0.6966283952527195,0.6343395195219195,0.0808056779957169,3.450639641790934e-11,0.3746340284785145,0.4992117799401146,0.43692290420931457,0.17790242372628806,2.7459693979495537e-9,TRUE,FALSE,TRUE,FALSE,TRUE,Cluster 4
