name,T0_1,T0_2,T0_3,T2_1,T2_2,T2_3,T4_1,T4_2,T4_3,T6_1,T6_2,T6_3,T8_1,T8_2,T8_3,Protein_id,name_ID,ID,T2_vs_T0_CI.L,T2_vs_T0_CI.R,T2_vs_T0_diff,T2_vs_T0_p.adj,T2_vs_T0_p.val,T4_vs_T0_CI.L,T4_vs_T0_CI.R,T4_vs_T0_diff,T4_vs_T0_p.adj,T4_vs_T0_p.val,T4_vs_T2_CI.L,T4_vs_T2_CI.R,T4_vs_T2_diff,T4_vs_T2_p.adj,T4_vs_T2_p.val,T6_vs_T0_CI.L,T6_vs_T0_CI.R,T6_vs_T0_diff,T6_vs_T0_p.adj,T6_vs_T0_p.val,T6_vs_T4_CI.L,T6_vs_T4_CI.R,T6_vs_T4_diff,T6_vs_T4_p.adj,T6_vs_T4_p.val,T8_vs_T0_CI.L,T8_vs_T0_CI.R,T8_vs_T0_diff,T8_vs_T0_p.adj,T8_vs_T0_p.val,T8_vs_T6_CI.L,T8_vs_T6_CI.R,T8_vs_T6_diff,T8_vs_T6_p.adj,T8_vs_T6_p.val,T2_vs_T0_significant,T4_vs_T0_significant,T4_vs_T2_significant,T6_vs_T0_significant,T6_vs_T4_significant,T8_vs_T0_significant,T8_vs_T6_significant,significant,cluster
A0A1J0I0C2,21.87398792424743,21.890235268443398,21.99608741430911,21.259006627967054,21.235250779663296,21.225775110817274,21.274777578550115,21.302135650623015,21.239239592994593,21.30226888189899,21.272717839254582,21.236011224765896,21.308117612363603,21.30347593211622,21.26740472092682,A0A1J0I0C2-mmetsp,A0A1J0I0C2,A0A1J0I0C2,-0.7483553096931889,-0.6118300826750197,-0.6800926961841043,7.25615950434649e-4,4.475917615704995e-11,-0.7163152084531571,-0.5797899814349879,-0.6480525949440725,0.0805204661597839,7.925649967402942e-11,-0.03622251226905282,0.10030271474911634,0.03204010124003176,0.880760393534305,0.32700587071412723,-0.7180335005359065,-0.5815082735177374,-0.649770887026822,0.11265711598345403,7.681282177152936e-11,-0.06998090559183401,0.06654432142633515,-0.0017182920827494286,0.8968821507957759,0.9572086866140566,-0.6953667273735181,-0.558841500355349,-0.6271041138644335,0.04874595119010232,1.1685809290613447e-10,-0.04559584034669617,0.09092938667147299,0.02266677316238841,0.870713641694296,0.4836359611547282,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Cluster 1
A0A1J0I0D7,20.292242117811753,20.325036085938642,20.38357000317538,20.105306239795496,20.071797503881825,20.06084215489821,20.299609633173603,20.280134927024108,20.25702432850497,20.305652824726153,20.323592878730558,20.290819430039633,20.43755645798244,20.448958823216635,20.465998159542686,A0A1J0I0D7-mmetsp,A0A1J0I0D7,A0A1J0I0D7,-0.3067171319136392,-0.2018844069865267,-0.25430076945008295,0.22063284910916484,1.791917985274517e-7,-0.1071094685379272,-0.0022767436108146882,-0.054693106074370945,0.891507120280474,0.042160315878153935,0.14719130091215576,0.25202402583926825,0.199607663375712,0.2224330176037999,2.4224891406356094e-6,-0.07934405360669956,0.02548867132041295,-0.026927691143143306,0.8907728629349139,0.28524654617357603,-0.024650947532328618,0.0801817773947839,0.02776541493122764,0.8456625935854303,0.27123733174134307,0.06480538214177116,0.16963810706888366,0.11722174460532742,0.7763825824124194,3.747575587704912e-4,0.09173307328491447,0.19656579821202697,0.14414943574847072,0.05605181880644367,6.071389299303818e-5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Cluster 4
A0A224ASZ0,21.477247342292273,21.38773749331549,21.429298398838036,21.52097270955158,21.561891674879377,21.510538589706556,21.301660035943286,21.31762877115316,21.291583717622736,21.009635390961414,21.0335759725603,21.0516910566052,21.206223749225927,21.210027897705906,21.21445036880575,A0A224ASZ0-mmetsp,A0A224ASZ0,A0A224ASZ0,0.04843489064002955,0.15097826915446616,0.09970657989724785,0.7528088282857022,0.001135832974583366,-0.17907525916608164,-0.07653188065164503,-0.12780356990886332,0.8336800835644372,1.4786600348995553e-4,-0.2787818390633295,-0.17623846054889286,-0.22751014980611117,0.11883012689320345,4.755158106401003e-7,-0.4510652940301743,-0.3485219155157377,-0.399793604772956,0.2620859207120707,8.017271368455745e-10,-0.323261724121311,-0.22071834560687437,-0.2719900348640927,2.7787457691186688e-5,6.639341692449257e-8,-0.2724654288266191,-0.1699220503121825,-0.2211937395694008,0.5599587316528344,6.445907138998475e-7,0.12732817594633689,0.2298715544607735,0.1785998652035552,0.007450954410589344,6.070505893383912e-6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Cluster 4
A0A3S9VMC7,21.17472840104051,21.20794363893686,21.137644965614925,20.906033435352683,20.89996476161072,20.944177828792633,20.978072752520717,20.938681210739688,20.982664673603303,21.05707065010381,21.06459442664999,21.064143768067858,21.262585899627595,21.29807884571445,21.24899993662283,A0A3S9VMC7-mmetsp,A0A3S9VMC7,A0A3S9VMC7,-0.3063258777080716,-0.2071014421827729,-0.2567136599454223,0.17037619212746183,8.769472869531465e-8,-0.2565783406721803,-0.1573539051468816,-0.20696612290953098,0.7035177107286735,9.242285833948019e-7,1.3531927324192394e-4,0.09935975479854067,0.0497475370358913,0.8410689268719665,0.049469655598765504,-0.1611149380195326,-0.06189050249423386,-0.11150272025688324,0.8345466881728548,3.59609014055634e-4,0.04585118488999837,0.14507562041529712,0.09546340265264774,0.38332834709927105,0.0012300772534615473,0.046837007694873284,0.14606144322017203,0.09644922545752266,0.7956512435091495,0.001138525988460884,0.15833972795175652,0.25756416347705524,0.2079519457144059,5.221535857192123e-4,8.784339568278652e-7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Cluster 4
A0A6S7ZE18,21.017222871937264,20.90031892619858,20.891036509550048,20.24274087174637,20.41537697959324,20.33776388501164,20.498413969250727,20.445409448800014,20.455698610833124,20.291604311698613,20.386045243284634,20.435952000120174,20.778473789448746,20.692884749143055,20.725908274644958,A0A6S7ZE18-mmetsp,A0A6S7ZE18,A0A6S7ZE18,-0.7115103428484669,-0.49695403804129124,-0.6042321904448791,0.12142497078473866,3.384810034002228e-8,-0.5769635786709347,-0.36240727386375904,-0.4696854262673469,0.6810127826190254,5.498303903037936e-7,0.02726861177394435,0.24182491658112004,0.1345467641775322,0.8153240750316662,0.018131690108394865,-0.6722704032644135,-0.45771409845723776,-0.5649922508608256,0.5983689845230917,7.199579445510016e-8,-0.20258497699706657,0.011971327810109123,-0.09530682459347872,0.7813239997225754,0.07687096243750673,-0.31104865055330355,-0.09649234574612786,-0.2037704981497157,0.798391582424122,0.0013547753238785914,0.25394360030752205,0.46849990511469775,0.3612217527111099,0.010704405393150339,8.556110113636251e-6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Cluster 1
A0A6S7ZE47,18.373345792803534,18.337460500997516,18.42882071112207,18.528438545809536,18.49886435989562,18.530396460462512,18.680804098000046,18.722809726346853,18.694966908610283,19.014020933322726,19.00305893447395,18.97085267922437,19.083470567144822,19.089110264824292,19.035512431560655,A0A6S7ZE47-mmetsp,A0A6S7ZE47,A0A6S7ZE47,0.08379720392177617,0.194917703574596,0.1393574537481861,0.6800734862518363,1.3995026039606827e-4,0.26409099285161386,0.37521149250443375,0.3196512426780238,0.4938452651324498,2.6622706404918544e-8,0.1247335391034278,0.23585403875624764,0.18029378892983772,0.36720553652854143,1.237612326580292e-5,0.5605415975395652,0.6716620971923851,0.6161018473659752,0.04950001325845379,1.254088501486965e-11,0.24089035486154145,0.3520108545143613,0.29645060468795137,2.4537075662677562e-5,6.222708823020968e-8,0.6339285030424763,0.7450490026952962,0.6894887528688862,0.003210912146902083,3.2747060604808477e-12,0.017826655676501123,0.12894715532932097,0.07338690550291105,0.6082874224955037,0.013837554127285254,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,Cluster 2
A0A6S7ZEU9,21.9316915919497,21.937620567660808,21.934108001917984,21.986286990459128,21.985336676282024,21.957869346338605,21.829770857971937,21.85034015361049,21.83886021856305,21.894422058739934,21.899560646009142,21.902204875003235,21.76773854479555,21.7411120760763,21.76503462481049,A0A6S7ZEU9-mmetsp,A0A6S7ZEU9,A0A6S7ZEU9,0.007568343931196153,0.07648022376964408,0.04202428385042012,0.8189990328914722,0.02084786848891138,-0.12927225038023,-0.06036037054178206,-0.09481631046100603,0.8189357211379807,6.036103562564024e-5,-0.1712965342306501,-0.10238465439220218,-0.13684059431142614,0.19302520229053952,1.558542684657388e-6,-0.07020013384461637,-0.0012882540061684433,-0.03574419392539241,0.8775223837382833,0.043177206245963315,0.02461617661638965,0.09352805645483758,0.05907211653561362,0.485848915011951,0.0028165088250012528,-0.21096757853460818,-0.14205569869616025,-0.17651163861538421,0.4394372292479395,9.805219892752816e-8,-0.17522338460921577,-0.10631150477076784,-0.1407674446899918,8.147525311350632e-4,1.1548018470274044e-6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Cluster 4
A0A6S7ZF31,18.119683065192234,18.170016425455024,18.105583895952428,18.001702277511704,18.109382440487742,18.050629814275595,18.580118628417857,18.48155983944359,18.423886427216587,18.59626251264499,18.52525200095873,18.597731303247002,18.616477422510613,18.60196916721442,18.67597381518381,A0A6S7ZF31-mmetsp,A0A6S7ZF31,A0A6S7ZF31,-0.16684901706886635,0.011136447519110262,-0.07785628477487805,0.8419350558947083,0.08091662065948622,0.27443443719879923,0.4524199017867758,0.3634271694927875,0.7126213528119277,1.1597686652348584e-6,0.3522907219736773,0.5302761865616539,0.4412834542676656,0.06530884819204254,1.4077572667700652e-7,0.3523280777896929,0.5303135423776695,0.4413208100836812,0.6333564448743585,1.4064384179830553e-7,-0.011099091703094657,0.16688637288488195,0.07789364059089365,0.7842459543567949,0.08078839661351972,0.4107196071424042,0.5887050717303808,0.4997123394363925,0.36235084339904144,3.503639077822819e-8,-0.03060120294127701,0.1473842616466996,0.0583915293527113,0.820130885384481,0.17856948403539685,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Cluster 2
A0A6S7ZF41,19.936475614019017,19.881189219257067,19.879390945243472,19.89392438509408,19.908743199508102,19.846240314191732,19.632401469672907,19.607743668394463,19.658792188915804,19.707915883947663,19.735434036091327,19.7134410657927,19.589336204869618,19.634853462922585,19.62810628072804,A0A6S7ZF41-mmetsp,A0A6S7ZF41,A0A6S7ZF41,-0.06837157436327534,0.03627298787952715,-0.016049293241874096,0.8707859870545757,0.5169530033138704,-0.31836176496686197,-0.21371720272405947,-0.2660394838454607,0.5923179128358753,1.065657781683469e-7,-0.3023124717249879,-0.19766790948218538,-0.24999019060358663,0.0817315271842548,2.1208078197197817e-7,-0.23241054535068462,-0.12776598310788212,-0.18008826422928337,0.767923336796824,6.855553232604986e-6,0.033628938494776106,0.1382735007375786,0.08595121961617735,0.5196952178543213,0.0037544329246447183,-0.3339088911211683,-0.2292643288783658,-0.28158660999976703,0.39888882984828994,5.650327235785183e-8,-0.15382062689188492,-0.04917606464908242,-0.10149834577048367,0.28399484048713847,0.0011572412199340623,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Cluster 4
A0A6S7ZFQ3,21.46397207753965,21.45895893330743,21.46005828754354,21.13867715131564,21.12816047639533,21.1189979636385,20.874834531906814,20.870845497924492,20.905742768348055,20.865149658360068,20.869488076145572,20.83369337409875,20.839330999592526,20.876645966123007,20.838174910925318,A0A6S7ZFQ3-mmetsp,A0A6S7ZFQ3,A0A6S7ZFQ3,-0.37192455654854684,-0.29284458147888415,-0.3323845690137155,0.0064507972969966975,3.323769761215536e-10,-0.616728820938584,-0.5376488458689214,-0.5771888334037527,0.0012124985574314634,4.681016189482845e-13,-0.28434425192486856,-0.20526427685520587,-0.24480426439003722,0.011464396092153916,1.1549565224943035e-8,-0.6444260507969065,-0.5653460757272438,-0.6048860632620752,0.002346904133508668,2.666013375137445e-13,-0.06723721739315382,0.0118427576765089,-0.02769722985832246,0.8187891034279292,0.15305528863826737,-0.6491524614514194,-0.5700724863817567,-0.609612473916588,1.2703058038485095e-4,2.4279589716775185e-13,-0.044266398189344205,0.03481357688031851,-0.004726410654512847,0.8927244077779775,0.7991345978973918,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Cluster 1
