name,T0_1,T0_2,T0_3,T2_1,T2_2,T2_3,T4_1,T4_2,T4_3,T6_1,T6_2,T6_3,T8_1,T8_2,T8_3,Protein_id,name_ID,ID,T2_vs_T0_CI.L,T2_vs_T0_CI.R,T2_vs_T0_diff,T2_vs_T0_p.adj,T2_vs_T0_p.val,T4_vs_T0_CI.L,T4_vs_T0_CI.R,T4_vs_T0_diff,T4_vs_T0_p.adj,T4_vs_T0_p.val,T6_vs_T0_CI.L,T6_vs_T0_CI.R,T6_vs_T0_diff,T6_vs_T0_p.adj,T6_vs_T0_p.val,T8_vs_T0_CI.L,T8_vs_T0_CI.R,T8_vs_T0_diff,T8_vs_T0_p.adj,T8_vs_T0_p.val,T2_vs_T0_significant,T4_vs_T0_significant,T6_vs_T0_significant,T8_vs_T0_significant,significant,cluster
A0A1J0I0B7,22.200835354879537,21.278408481922682,21.29108209627888,20.939748408842057,21.05628612462618,20.977418201306055,20.455762017598975,20.945271465590196,20.951408845678536,20.542291460314942,20.999885946776274,21.019621975864105,20.659207275022535,20.955947443428162,20.986815128894413,A0A1J0I0B7-mmetsp,A0A1J0I0B7,A0A1J0I0B7,-1.0942023668646128,-0.1037130986732408,-0.5989577327689268,0.8197494688110255,0.02172691771662259,-1.30120583550014,-0.3107165673087679,-0.8059612014044539,0.8724854250991636,0.003993268523619765,-1.2314201508042706,-0.24093088261289858,-0.7361755167085846,0.8638371372927394,0.007060232404640176,-1.2180299960076744,-0.22754072781630236,-0.7227853619119884,0.8228352346468111,0.007879328984146939,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
A0A1J0I0C1,19.05501942238809,19.124074229769608,18.956852150480735,18.972340133343994,18.910051821445617,18.917626786370644,18.962415158915846,18.94591437474571,18.991707778607573,19.010192737165394,19.030682858670914,19.087709121976193,19.16751559620533,19.16901575974463,19.289518288721112,A0A1J0I0C1-mmetsp,A0A1J0I0C1,A0A1J0I0C1,-0.2058591022618425,-0.018092272056930384,-0.11197568715938644,0.8209648359593771,0.023240409164088503,-0.1725195785588826,0.015247251646029511,-0.07863616345642654,0.897136134386701,0.0930680383725154,-0.09633711004442229,0.09142972016048982,-0.0024536949419662335,0.9009393749957703,0.9555721911985824,0.0694845322417675,0.2572513624466796,0.16336794734422355,0.8077733414981314,0.0025420607762752477,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
A0A1J0I0C2,21.873987924273756,21.890235268465105,21.996087414323572,21.25900662795629,21.23525077965458,21.22577511080127,21.274777578544732,21.302135650615753,21.23923959298405,21.3022688818931,21.27271783924858,21.23601122475784,21.308117612369326,21.303475932121433,21.26740472093203,A0A1J0I0C2-mmetsp,A0A1J0I0C2,A0A1J0I0C2,-0.7483553097239909,-0.6118300827095379,-0.6800926962167644,7.256159491602826e-4,4.475917611592533e-11,-0.7163152084798522,-0.5797899814653992,-0.6480525949726257,0.08052046614444439,7.925649960516551e-11,-0.7180335005615287,-0.5815082735470757,-0.6497708870543022,0.11265711593050405,7.681282170638215e-11,-0.6953667273871073,-0.5588415003726542,-0.6271041138798807,0.04874595114955644,1.168580928316484e-10,TRUE,TRUE,FALSE,TRUE,TRUE,Cluster 1
A0A1J0I0D7,20.292242117838086,20.325036085960342,20.38357000318985,20.105306239784735,20.071797503873114,20.060842154882202,20.29960963316822,20.280134927016842,20.25702432849442,20.30565282472026,20.323592878724554,20.290819430031576,20.437556457988162,20.44895882322185,20.465998159547897,A0A1J0I0D7-mmetsp,A0A1J0I0D7,A0A1J0I0D7,-0.30671713194475936,-0.20188440702072674,-0.25430076948274305,0.2206328489278718,1.7919179821313873e-7,-0.10710946856494041,-0.002276743640907797,-0.054693106102924105,0.8915071202916877,0.04216031578248911,-0.07934405363264341,0.02548867129138921,-0.0269276911706271,0.8907728629303487,0.2852465456916323,0.06480538212786391,0.16963810705189653,0.11722174458988022,0.776382582378129,3.7475755908776765e-4,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
A0A224ASZ0,21.477247342318595,21.387737493337195,21.4292983988525,21.520972709540818,21.56189167487066,21.51053858969055,21.301660035937907,21.31762877114589,21.29158371761219,21.009635390955527,21.033575972554303,21.05169105659714,21.20622374923165,21.210027897711118,21.21445036881096,A0A224ASZ0-mmetsp,A0A224ASZ0,A0A224ASZ0,0.0484348906052687,0.1509782691238926,0.09970657986458065,0.7528088283413666,0.0011358329777439876,-0.1790752591967462,-0.0765318806781223,-0.12780356993743425,0.833680083583069,1.4786600325065568e-4,-0.45106529405975176,-0.3485219155411278,-0.3997936048004398,0.26208592070309433,8.017271365664849e-10,-0.2724654288441635,-0.16992205032553961,-0.22119373958485156,0.5599587315378773,6.445907136909243e-7,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
A0A3S9VMC7,21.174728401066844,21.207943638958568,21.137644965629395,20.90603343534192,20.89996476160201,20.944177828776624,20.978072752515335,20.938681210732426,20.982664673592748,21.057070650097913,21.064594426643986,21.0641437680598,21.262585899633315,21.298078845719658,21.24899993662804,A0A3S9VMC7-mmetsp,A0A3S9VMC7,A0A3S9VMC7,-0.3063258777411073,-0.20710144221506457,-0.25671365997808593,0.1703761920420615,8.769472857693412e-8,-0.25657834070111973,-0.157353905175077,-0.20696612293809835,0.7035177107452982,9.242285820951418e-7,-0.16111493804738838,-0.06189050252134567,-0.11150272028436703,0.8345466881602999,3.5960901333884304e-4,0.04683700767904699,0.1460614432050897,0.09644922544206835,0.7956512434840404,0.001138525989901289,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
A0A6S7ZD93,16.344885828830026,16.55940821711679,16.61919117659642,16.220144008048177,16.580589448093097,16.45650951211584,16.217671889333214,16.141068565712374,16.15484227543059,16.102792462139845,15.845526282492155,15.7818367386039,16.105595173838275,15.820490494301986,15.90346212359107,A0A6S7ZD93-mmetsp,A0A6S7ZD93,A0A6S7ZD93,-0.32582762315685654,0.14833278696611027,-0.08874741809537312,0.867847247262746,0.43100688041715973,-0.573714369083833,-0.09955395896086619,-0.3366341640223496,0.8798065779216284,0.0092522146536193391,-0.8348567848305922,-0.3606963747076254,-0.5977765797691088,0.8217558989808047,1.3358608119755271e-4,-0.8017260153321167,-0.3275656052091499,-0.5646458102706333,0.7659116244524797,2.2003062081972835e-4,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
A0A6S7ZE18,21.017222871963593,20.900318926220287,20.891036509564515,20.242740871735606,20.415376979584526,20.33776388499563,20.498413969245348,20.445409448792752,20.455698610822573,20.29160431169272,20.38604524327863,20.435952000112117,20.778473789454477,20.69288474914827,20.72590827465017,A0A6S7ZE18-mmetsp,A0A6S7ZE18,A0A6S7ZE18,-0.7115103428830895,-0.496954038071996,-0.6042321904775427,0.12142497074621351,3.384810032579309e-8,-0.5769635787014574,-0.362407273890364,-0.4696854262959107,0.6810127826763767,5.498303900444548e-7,-0.6722704032938561,-0.4577140984827627,-0.5649922508883094,0.5983689845251049,7.199579442956405e-8,-0.3110486505707025,-0.0964923457596091,-0.2037704981651558,0.7983915823728532,0.0013547753232969026,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
A0A6S7ZE47,18.373345792829863,18.337460501019216,18.428820711136535,18.528438545798778,18.49886435988691,18.530396460446504,18.680804097994667,18.72280972633959,18.69496690859973,19.014020933316832,19.00305893446795,18.97085267921631,19.083470567150542,19.089110264829504,19.035512431565866,A0A6S7ZE47-mmetsp,A0A6S7ZE47,A0A6S7ZE47,0.08379720389109262,0.19491770353996646,0.13935745371552954,0.6800734862938118,1.3995026064204607e-4,0.2640909928250231,0.3752114924738969,0.31965124264946,0.49384526528299894,2.66227064207194e-8,0.5605415975140651,0.671662097162939,0.616101847338502,0.049500013260699,1.2540885015862418e-11,0.6339285030289985,0.7450490026778724,0.6894887528534355,0.0032109121426393238,3.274706059865668e-12,FALSE,FALSE,TRUE,TRUE,TRUE,Cluster 3
A0A6S7ZE61,19.28959621266809,19.317959009212082,19.33186833362902,19.326385721868483,19.319406947425847,19.326408796230233,19.316795483271477,19.220720597832795,19.26958315125566,19.229245668852695,19.234257335351938,19.228489486107772,19.166917819318865,19.21642563158818,19.191615574769997,A0A6S7ZE61-mmetsp,A0A6S7ZE61,A0A6S7ZE61,-0.04051422468863703,0.06236616469889495,0.01092597000512896,0.8746921650400675,0.65211386345307365,-0.09554830241017381,0.007332086977358161,-0.04410810771640783,0.8966145178608791,0.08639717453444305,-0.1339172164260219,-0.031036827038489916,-0.0824770217322559,0.8598727144675201,0.004399532828780788,-0.17292837130447364,-0.07004798191694167,-0.12148817661070765,0.7673843503902114,2.3650906009142214e-4,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
