name_anno,max_exp,max_exp_raw
125465,24.41,22799791.93
84665,24.14,18799977.78
141423,24.12,19998407
105065,23.76,15320662.4
142626,23.76,14381818.83
79000,23.48,11927066.1
42195,23.44,12653714.27
46246,23.34,11296647.49
85647,23.17,9676534.27
46347,23.12,9680081.44
6602,23.06,8943176.93
136098,23.03,9238889.98
142698,23,9192651.52
136262,22.94,8579160.18
145675,22.93,8848252.8
85300,22.81,8480195.94
80143,22.78,7619081.03
116490,22.76,7547782.48
120109,22.76,8135636.43
36111,22.76,7994525.11
79468,22.75,7558690.46
A0A6S8DW52,22.74,7370043.69
83394,22.74,7866874.59
137957,22.73,7480775.44
142158,22.68,6986013.94
137978,22.66,7084235.26
83660,22.64,7169605.18
140148,22.64,7044626.43
42092,22.63,6737476.18
141485,22.63,7105897.08
A0A6S8EEA1,22.6,6783336.44
42384,22.59,6704160.66
45653,22.59,6562042.29
142771,22.58,6708241.81
86370,22.56,6949323.34
142393,22.55,6414883.88
118443,22.52,6463394.57
78450,22.5,6579080.14
46198,22.49,6508347.06
44289,22.48,5948883.25
72566,22.48,6425337.68
71960,22.46,5930159.24
63582,22.41,6036418.06
137113,22.41,6290733.6
44843,22.4,5934821.2
47709,22.38,5796373.95
81320,22.35,5600200.42
141670,22.34,5539913.55
83274,22.33,5735870.97
142686,22.31,5290994.46
2614,22.3,5250300
44127,22.29,5334943.33
142895,22.29,5386820.37
142238,22.29,5499323.91
139509,22.28,5250410.96
140531,22.25,5419285.72
139062,22.24,5264645.36
68849,22.22,5307327.35
115689,22.21,5300294.32
107249,22.19,5784790.64
136855,22.16,4867195.9
42124,22.16,5083514.06
142637,22.16,4898174.33
44030,22.15,4714838.23
48072,22.14,5188533.19
37145,22.14,5298252.47
A0A6S8FUX8,22.14,5318321.09
136697,22.13,5318177.64
146288,22.13,4943350.66
117291,22.13,5246774.16
A0A6S8CEQ0,22.12,4701692.86
138365,22.11,4611057.54
125563,22.1,4641815.47
83581,22.1,4742643.24
