Protein_id,name_ID,name,ID,RAW.T0-1,RAW.T0-2,RAW.T0-3,RAW.T2-1,RAW.T2-2,RAW.T2-3,RAW.T4-1,RAW.T4-2,RAW.T4-3,RAW.T6-1,RAW.T6-2,RAW.T6-3,RAW.T8-1,RAW.T8-2,RAW.T8-3,set,BATCH_CORRECT.T0-1,BATCH_CORRECT.T0-2,BATCH_CORRECT.T0-3,BATCH_CORRECT.T2-1,BATCH_CORRECT.T2-2,BATCH_CORRECT.T2-3,BATCH_CORRECT.T4-1,BATCH_CORRECT.T4-2,BATCH_CORRECT.T4-3,BATCH_CORRECT.T6-1,BATCH_CORRECT.T6-2,BATCH_CORRECT.T6-3,BATCH_CORRECT.T8-1,BATCH_CORRECT.T8-2,BATCH_CORRECT.T8-3
100312-jgi,100312,100312,100312,486788.5787,659400.372,428753.2363,432040,627767.7901,401014.967,420512.5279,658836.2447,390642.2324,391412.3571,606037.3713,365954.9758,405149.9983,602584.1183,381409.8548,jgi,535597.5773661131,513740.38102965226,515161.9934114037,487585.73838441644,483278.3830944273,489134.23750958755,477476.70637896634,513197.1296219067,479401.14993720886,451957.2728527501,462352.1123679403,456236.26240508375,464004.5155930026,459026.6492082034,470738.0978928553
100463-jgi,100463,100463,100463,79587.83481,147478.6523,176930.5102,79013,107827.6773,112344.6161,69483.6721,99349.89331,134707.7103,67187.08671,95102.88675,115339.1401,67403.01865,116595.1369,135855.3486,jgi,115520.82856206078,138388.1701998155,141110.52618987157,114802.82757102273,102014.07892034564,89150.28781026119,102900.16134917976,94236.92618450779,107141.70407429156,100031.59709848052,90340.90586526098,91559.42347435142,100301.30822978233,110056.96754488676,108064.99484037186
100711-jgi,100711,100711,100711,2317246.333,2916609.097,2013785.671,1960700,2347452.195,1675175.823,1723586.27,2027804.643,1359792.809,1581307.543,1820713.133,1303613.914,1770127.906,1988827.769,1470651.448,jgi,2354083.22926572,2486032.772167123,2293763.4695977904,1980959.1257210155,1999325.048468289,1980056.502736416,1732820.6938937244,1725982.263951157,1687868.1647246445,1583926.6581069175,1548890.433780477,1635820.916671559,1781526.3026820328,1692651.65589778,1790573.764093598
1009-jgi,1009,1009,1009,364188.8895,78718.46991,108631.8612,278610,64371.37897,92838.85766,294715.3736,68851.30436,92922.55112,263362.1984,55973.12033,92965.09905,297275.032,60312.63763,85422.79857,jgi,202878.42188070348,166579.25864805325,166607.7316897659,140334.6837025173,150506.65173814038,150453.10387137704,152104.9961660866,155525.37505148182,150538.71372346813,129191.11176982323,141098.33959925466,150582.23590541736,153975.67485484428,145959.76802633805,142867.2336995193
101067-jgi,101067,101067,101067,123077.7938,200519.7936,277708.2535,124000,217636.2854,292644.4778,100525.6203,220281.1996,263473.9228,93090.83469,182914.8869,246294.3661,92801.82479,171982.9106,239880.4118,jgi,206379.5873137102,191592.62568825253,202887.38795418333,207358.68691249622,207283.4530421088,215725.36675667018,182436.1091353992,209708.06741769964,190652.7005175339,174542.65145986935,175454.0644200815,175886.53335769012,174235.8117561944,165432.63276434067,170373.61337941157
101509-jgi,101509,101509,101509,1699710.772,942974.3753,1016457.544,2247200,1667628.305,1781268.742,1887488.838,1427577.484,1548277.827,2142204.307,1610723.549,1832655.859,2037149.024,1468356.993,1683084.005,jgi,1345545.287745052,1212580.4916772747,1194000.4327216109,1933688.4217461597,1889139.215964373,1838888.0992492437,1547266.8460620071,1665020.542810877,1642430.5056766034,1820896.255655107,1836011.2226598077,1882217.6400017475,1708040.074698441,1703093.5200698513,1756098.8747999445
10179-jgi,10179,10179,10179,270207.178,447609.3358,600663.6571,183160,325641.3595,422744.8421,172667.8771,306578.579,405293.426,157907.9351,306759.5331,418576.9518,166993.3833,407506.8301,547999.8812,jgi,431054.5205844716,427950.16804431664,443771.92413683,333575.7993524351,310961.73253946204,299331.49739850155,321826.32341535913,292677.22102488135,285163.8558892427,305297.5822812235,292850.78737975075,295947.86507422745,315471.81070199906,389484.9122944964,401017.71478214377
102011-jgi,102011,102011,102011,242682.011,320291.9202,270399.2686,256050,381974.6932,250985.8671,275812.4594,384036.0607,267727.4951,295843.1649,357564.7606,251421.3341,301599.8152,363206.2943,270741.9494,jgi,270525.0003059293,264333.74472472654,306832.91081239027,282595.7627255069,318509.3308498213,287296.77184863284,300440.477607001,320319.81677806773,304144.2455429018,318527.4080485976,297070.2427290739,287734.99200423673,323725.4343264387,302025.1657971723,307177.75814525003
102422-jgi,102422,102422,102422,319354.3832,1009742.713,801235.0292,278720,869175.2443,712147.2691,270845.1292,1062389.819,765688.0328,277207.375,1004957.326,762624.7228,251209.2414,980905.8523,753824.1941,jgi,717933.5100638112,699962.9393623082,716584.2501710044,670153.7677100525,590341.2072224104,630515.8569768318,660894.1390836942,741019.8567646545,682242.01438471,668375.1549420888,696231.048785127,679282.526243357,637805.3756747958,677474.474224208,670780.2655105923
102428-jgi,102428,102428,102428,539721.5921,1428095.377,1334525.547,468330,1393944.492,1266142.881,387306.7952,1151354.246,959979.5144,392830.2976,1122957.212,932214.4745,413007.014,1092552.886,903922.4422,jgi,1036467.537505947,1100886.2428131618,1126825.9577818098,949496.380407021,1069207.628940589,1071795.0879515507,850791.7337387021,844179.1199491988,825410.4796919301,857520.6128802934,817837.8208814786,803066.596571479,882100.4313175528,789634.5428870774,780298.6169385295
