Protein_id,name_ID,name,ID,RAW.T0-1,RAW.T0-2,RAW.T0-3,RAW.T2-1,RAW.T2-2,RAW.T2-3,RAW.T4-1,RAW.T4-2,RAW.T4-3,RAW.T6-1,RAW.T6-2,RAW.T6-3,RAW.T8-1,RAW.T8-2,RAW.T8-3,set,BATCH_CORRECT.T0-1,BATCH_CORRECT.T0-2,BATCH_CORRECT.T0-3,BATCH_CORRECT.T2-1,BATCH_CORRECT.T2-2,BATCH_CORRECT.T2-3,BATCH_CORRECT.T4-1,BATCH_CORRECT.T4-2,BATCH_CORRECT.T4-3,BATCH_CORRECT.T6-1,BATCH_CORRECT.T6-2,BATCH_CORRECT.T6-3,BATCH_CORRECT.T8-1,BATCH_CORRECT.T8-2,BATCH_CORRECT.T8-3
A0A6S8BSM1-mmetsp,A0A6S8BSM1,A0A6S8BSM1,A0A6S8BSM1,25176.71259,164147.885,143451.0903,26195.92944,143405.2361,144912.3451,31014.31551,170720.794,135878.9002,30704.5347,189347.0266,140461.7009,34447.37509,220250,155181.6656,mmetsp,110360.49363735606,108461.62330186924,116858.5002461722,111641.86277922493,93141.97301289195,118311.86358910085,117699.58368887106,113316.09814482294,109327.2035024235,117310.12430083491,127072.65214179817,113885.25494241035,122015.65892645097,149896.29186399234,128525.72497144541
A0A1J0I0B7-mmetsp,A0A1J0I0B7,A0A1J0I0B7,A0A1J0I0B7,8897566.408,771483.6048,1161243.723,5021249.131,425199.0586,635452.199,4283046.764,315490.555,625052.2185,4347323.669,332323.5642,665338.4983,4572761.415,322360,670631.2139,mmetsp,4856463.984419584,2558175.90628757,2589541.545935223,1998165.145132009,2165765.6949448916,2054512.0935718175,1453833.2914741384,2041443.8401113797,2043929.3899383047,1501229.464136425,2060519.0335330642,2084923.4821503218,1667461.5864517852,2049228.3063656148,2090309.1884611428
A0A1J0I0C1-mmetsp,A0A1J0I0C1,A0A1J0I0C1,A0A1J0I0C1,380522.4536,517281.5707,728031.8661,348131.9231,430590.6901,701322.5363,352790.5115,452249.3027,743420.0545,355109.6432,468139.8767,770423.3084,418487.1422,536750,896861.2017,mmetsp,548700.3230402154,574660.271590145,513510.8836258622,510954.789536571,489249.6992121583,492776.17399128835,516383.5646080966,510588.44310627755,525456.882296189,519086.10951645224,526244.3346067586,546419.7680367804,592941.568965679,593841.1782588144,644574.7207822716
A0A1J0I0C2-mmetsp,A0A1J0I0C2,A0A1J0I0C2,A0A1J0I0C2,3436581.489,3775420.447,5069338.745,2178508.646,2286680.1,2844313.766,2243988.878,2452706.823,2912750.992,2223389.558,2325156.203,2821638.428,2289332.472,2445600,2967529.989,mmetsp,3871945.9994135797,3909386.592509593,4221342.89598874,2493088.40819096,2451800.8974209297,2440459.368339996,2564855.250206974,2614353.203425737,2495235.710004327,2542278.235756608,2489471.816630294,2422310.297516433,2614552.180832331,2607395.1038731853,2539080.1676347596
A0A1J0I0D7-mmetsp,A0A1J0I0D7,A0A1J0I0D7,A0A1J0I0D7,1110397.542,1337161.883,1568478.749,952371.0291,1097683.471,1211817.651,1120596.434,1301523.257,1425122.305,1092667.504,1303658.371,1418967.209,1235074.572,1465000,1661773.814,mmetsp,1293529.5622219322,1321103.113521214,1380493.9944765184,1120570.6844222671,1094588.4598357072,1088408.2342269071,1304692.1759045885,1287393.7241913013,1263092.976627297,1274124.1635989433,1289413.257410392,1258052.292614797,1429987.6716901897,1442020.9305312182,1456897.505094494
A0A224ASZ0-mmetsp,A0A224ASZ0,A0A224ASZ0,A0A224ASZ0,3104721.008,2849201.019,2647367.979,3153841.483,3188258.178,2787384.344,2772379.701,2723357.015,2348801.951,2227591.901,2149621.883,1830501.75,2593167.451,2509600,2189711.439,mmetsp,2941023.373756033,2759571.913576462,2849903.377818327,2989491.5337477177,3074779.004691114,2972993.298283308,2613095.5261625075,2642580.0690389434,2587430.7115691686,2075542.4538048422,2109202.7984885187,2131787.3264686223,2436263.1969663873,2443859.218837101,2447572.49950365
A0A3S9VMC7-mmetsp,A0A3S9VMC7,A0A3S9VMC7,A0A3S9VMC7,2142325.611,2973867.882,2069865.606,1725857.553,2401302.942,1718309.728,1856823.906,2504434.526,1807118.633,1911540.7,2647210.906,1874646.856,2285396.786,3161400,2265762.155,mmetsp,2384685.991454429,2436230.482898002,2328271.941141246,1952010.5510107898,1943363.542510261,2007716.3365779873,2088073.6256669788,2032139.7575950013,2088694.0531072384,2144919.793071284,2155042.4235707372,2150267.62278269,2533324.962604322,2597659.1257749004,2506894.290037233
A0A6S7ZD93-mmetsp,A0A6S7ZD93,A0A6S7ZD93,A0A6S7ZD93,29666.91024,134909.401,124518.6319,23277.89026,135145.4998,109771.9104,24237.00967,107407.6353,90333.89787,17973.77052,90025.06606,68035.75633,19422.61168,90530,75839.39793,mmetsp,83850.12459195413,97133.6649687737,101588.27363541647,75838.3519342746,97340.2638267767,89491.04485149993,77041.07890782332,73068.17464571117,73545.39315664383,69187.03426129556,57857.513032257615,55253.48199079366,71003.86783316502,58299.35676619852,61655.0701528057
A0A6S7ZE18-mmetsp,A0A6S7ZE18,A0A6S7ZE18,A0A6S7ZE18,2600227.684,1654461.005,1927730.373,1568331.537,1077616.873,1216971.261,1870200.889,1132100.499,1361456.251,1601617.915,1035341.625,1296990.511,2227710.87,1394900,1687084.256,mmetsp,2138047.3142170827,1968403.4021432074,1962443.4995737341,1232568.8936395266,1388924.3543182628,1318722.9547835053,1497456.1934558814,1443656.8513050405,1449580.1677358602,1261777.3532949027,1346456.0009128693,1391194.8152690665,1811167.5818332161,1707656.7711453459,1744495.0457002462
A0A6S7ZE47-mmetsp,A0A6S7ZE47,A0A6S7ZE47,A0A6S7ZE47,384260.6522,347081.7109,277952.085,417721.6605,385775.287,301018.8123,466790.914,463098.5588,357967.9007,562209.2696,550788.1492,442995.5306,601035.5157,601490,483883.1286,mmetsp,342082.6171439313,333132.3791699761,356119.9886238328,375625.2526601903,367917.8066721939,376774.7218815926,424814.2092645081,437431.2333578493,427768.8752730268,520465.33533806383,516263.95436753577,503905.5110550791,559386.2970054644,561844.7905940344,540517.6589014931
A0A6S7ZE61-mmetsp,A0A6S7ZE61,A0A6S7ZE61,A0A6S7ZE61,656037.4938,554920.2722,764308.6799,663773.7476,547412.7506,750305.8094,671096.9156,515552.7746,729909.8626,613308.5912,503889.1922,688651.4923,601429.0843,511530,688479.8514,mmetsp,645579.7004830285,657319.1849619631,665948.6957165716,653071.6275882311,649768.6282138732,654192.1793038219,660163.514986645,617726.0221984894,637068.1701010108,604200.2638926081,605995.580983745,602428.5076407131,592695.936082092,613680.1879644493,602284.401540614
