name,T0_1,T0_2,T0_3,T2_1,T2_2,T2_3,T4_1,T4_2,T4_3,T6_1,T6_2,T6_3,T8_1,T8_2,T8_3,Protein_id,jgi,ID,set,T2_vs_T0_CI.L,T2_vs_T0_CI.R,T2_vs_T0_diff,T2_vs_T0_p.adj,T2_vs_T0_p.val,T4_vs_T0_CI.L,T4_vs_T0_CI.R,T4_vs_T0_diff,T4_vs_T0_p.adj,T4_vs_T0_p.val,T6_vs_T0_CI.L,T6_vs_T0_CI.R,T6_vs_T0_diff,T6_vs_T0_p.adj,T6_vs_T0_p.val,T8_vs_T0_CI.L,T8_vs_T0_CI.R,T8_vs_T0_diff,T8_vs_T0_p.adj,T8_vs_T0_p.val,T2_vs_T0_significant,T4_vs_T0_significant,T6_vs_T0_significant,T8_vs_T0_significant,significant,cluster
100312-mmetsp,18.82618732526261,18.833089305872154,18.81791323865109,18.797650066244223,18.77013025651841,18.796365289270895,18.720531998987234,18.83182605431917,18.746063038256,18.70803216826047,18.72597671781027,18.67925733546248,18.683287125924757,18.68099185228642,18.723214239825882,100312-mmetsp,100312,100312-mmetsp,mmetsp,-0.09561137290591826,0.02024853440437791,-0.037681419250770176,0.8531565576078785,0.18209669423020428,-0.1175195463962957,-0.0016596390859995244,-0.05958959274114761,0.885312696335339,0.0446872753529347,-0.1792378364060212,-0.06337792909572504,-0.12130788275087312,0.8366179261872453,6.386296760804292e-4,-0.1878288375714099,-0.07196893026111373,-0.1298988839162618,0.7632391328694939,3.6584244739899964e-4,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
100463-mmetsp,17.13209279059988,17.267260959602044,17.347263887158604,16.98159350439038,16.88606197910843,16.695324822463974,16.843921469410578,16.75537619835275,16.901349293731723,16.868759461950432,16.74667437217584,16.73976130400564,16.83465840291608,16.97070757478393,16.95850930125498,100463-mmetsp,100463,100463-mmetsp,mmetsp,-0.5574075571173102,-0.23168399714784538,-0.39454577713257777,0.6917669472035102,1.8943901082935002e-4,-0.578185338606554,-0.2524617786370892,-0.4153235586218216,0.8204991751620827,1.2044108999785244e-4,-0.6266692797275991,-0.30094571975813433,-0.4638074997428667,0.7994623472340864,4.365639645549045e-5,-0.49044256611990467,-0.16471900615043988,-0.3275807861351723,0.779527769828852,8.76201847078818e-4,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
100711-mmetsp,21.089768389157555,21.226317594995855,21.1073345606382,20.90222963901577,20.936031938429235,20.91823677941685,20.774410624480808,20.69599772862129,20.665100761300607,20.636614744362333,20.58603869458035,20.66326405808194,20.741587191584607,20.68008392388383,20.76021765780896,100711-mmetsp,100711,100711-mmetsp,mmetsp,-0.3073462554589698,-0.13726853649419418,-0.222307395976582,0.6635300495557965,9.634629320948295e-5,-0.5143426696120232,-0.34426495064724755,-0.42930381012963537,0.5784881316538939,1.145038594791817e-7,-0.5975398754047165,-0.42746215643994084,-0.5125010159223287,0.4949019922746523,1.5560587590427952e-8,-0.4988827833204605,-0.32880506435568485,-0.41384392383807267,0.45624786825388997,1.71916367218166e-7,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
1009-mmetsp,17.085141360692294,16.919377078984134,16.91876518861695,16.681625130108166,16.75377865563912,16.752173574084747,16.738566402501664,16.78837514669227,16.732327660531556,16.606294314818285,16.649214151892103,16.777096517714746,16.782772273680205,16.678761224360873,16.64124721294373,1009-mmetsp,1009,1009-mmetsp,mmetsp,-0.3631181634349493,-0.1273526822059433,-0.2452354228204463,0.7361580401873782,6.728458606332404e-4,-0.3392208801371287,-0.10345539890812272,-0.2213381395226257,0.8544299522602485,0.0014741094066476439,-0.41477562190391215,-0.17901014067490617,-0.29689288128940916,0.8169768112503787,1.346107945509244e-4,-0.3913837130506882,-0.15561823182168222,-0.2735009724361852,0.7574039510621916,2.746881989891857e-4,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
101067-mmetsp,17.98396256498333,18.05426558132616,18.19279106199842,18.12111039026423,18.22798054082157,18.28519970741824,18.40072809891964,18.318568999592767,18.129811975369595,18.152050553564564,18.111316538801482,18.088802851534833,18.073362381394084,17.995858675438065,18.020972319288706,101067-mmetsp,101067,101067-mmetsp,mmetsp,-0.012865624496760653,0.28171324462751013,0.13442381006537474,0.8382776015369798,0.07009503404402609,0.05874052062922619,0.35331938975349697,0.20602995519136158,0.8732338479323739,0.010077148497704917,-0.10690585603114666,0.18767301309312412,0.04038357853098873,0.8927406087508449,0.5617477559310153,-0.1942313786244858,0.10034749049978497,-0.046941944062350416,0.860843268072128,0.5010691729773926,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
101509-mmetsp,20.18286728938435,20.189069886331755,20.160830280955036,20.89446004811528,20.877165527684546,20.834367880014817,20.61332145753,20.66202996666832,20.644647878323948,20.886871000581838,20.853926337639248,20.892419626146683,20.749003010726,20.706947911138453,20.754292233201525,101509-mmetsp,101509,101509-mmetsp,mmetsp,0.6425361571840985,0.739614508911563,0.6910753330478308,1.9621021065065355e-7,6.200091713435692e-13,0.4138714394199764,0.5109497911474409,0.46241061528370864,0.07314482832617887,7.498810445247723e-11,0.6516106600351447,0.7486890117626092,0.7001498358988769,0.004637031807711987,5.300921876846741e-13,0.5106193902678823,0.6076977419953468,0.5591585661316145,0.006320924062912955,7.833426340833946e-12,TRUE,FALSE,TRUE,TRUE,TRUE,Cluster 4
10179-mmetsp,18.767823233566446,18.703070298801702,18.69515416530864,18.340802727380407,18.27030395648648,18.192838882727717,18.15263421678251,18.15653183193328,18.173550405275943,18.206574089470188,18.204322944061907,18.2758754073895,18.411282394292083,18.578362907612807,18.58789576541329,10179-mmetsp,10179,10179-mmetsp,mmetsp,-0.556867218270295,-0.3512008691178427,-0.45403404369406886,0.3081427293973331,4.986490261804434e-7,-0.6639435891379153,-0.45827723998546305,-0.5611104145616892,0.5192084267554186,4.798343836971602e-8,-0.5959249268279587,-0.3902585776755065,-0.49309175225173263,0.6438920902090335,2.023865268969498e-7,-0.2990020513624361,-0.09333570220998383,-0.19616887678620998,0.7863607318566572,0.0013105631238069819,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
102011-mmetsp,18.06850240366848,18.057005014409402,18.177091511970264,18.087253610008602,18.320921751427566,18.105940685423736,18.12681199872649,18.099951513401106,18.16844995989704,18.22435362472419,18.150185113202472,18.131692260791525,18.27318952713246,18.160324508066793,18.19300143671713,102011-mmetsp,102011,102011-mmetsp,mmetsp,-0.05405361709223777,0.19506502830007955,0.07050570560392089,0.8574740252955888,0.24140001365550634,-0.0936878087039913,0.15543083668832602,0.030871513992167365,0.9052349501100294,0.5994425402815442,-0.056681966472809875,0.19243667891950744,0.06787735622334878,0.8866400193456825,0.258412327799655,-0.016587142073409722,0.2325315033189076,0.10797218062274894,0.8406540621194306,0.08341013141978343,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
102422-mmetsp,19.577622539908113,19.53367939135166,19.560131574682828,19.477309579504215,19.329687581160105,19.41512010811752,19.48021074554488,19.60588501739674,19.499221500061793,19.500525321137793,19.572569338244314,19.53849046338134,19.407039136242318,19.49812534553264,19.487258093609565,102422-mmetsp,102422,102422-mmetsp,mmetsp,-0.24090991260576222,-0.05863424550141229,-0.14977207905358725,0.7824123708394121,0.0037421806988342512,-0.11984324786523391,0.06243241923911601,-0.028705414313058952,0.9037741383688422,0.5060095545191553,-0.11108729461188847,0.07118837249246145,-0.019949461059713514,0.8939109600463475,0.6423282759110476,-0.1841414770715314,-0.001865809967181456,-0.09300364351935642,0.8340778677526755,0.04614638825562548,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
102428-mmetsp,20.060450865765688,20.119433972711906,20.162882438180638,20.008211891603825,20.112599144689312,20.118376927003368,19.79014363158047,19.772525827930245,19.734459548771312,19.786679248566973,19.76914955050966,19.741067126125838,19.773379771093797,19.689786633106742,19.666818218970135,102428-mmetsp,102428,102428-mmetsp,mmetsp,-0.11548136741412476,0.04642849183964684,-0.03452643778723896,0.8641503761727519,0.371490844806606,-0.4295010190856149,-0.26759115983184334,-0.3485460894587291,0.6728527484879743,6.546137412942905e-7,-0.4295787134454637,-0.2676688541916922,-0.34862378381857795,0.6922858131821286,6.530434569699524e-7,-0.4852158141227302,-0.32330595486895863,-0.4042608844958444,0.43657356067201786,1.2922240363780434e-7,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
