"","qseqid","diff_Tscore","diff_E_Value","diff_P_Ident","perc_diff_Tscore","Group"
"1","A0A1J0I0C1;",NA,NA,NA,NA,"aurantio_only"
"2","A0A1J0I0D7;",NA,NA,NA,NA,"aurantio_only"
"3","A0A6S7ZJJ4.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"4","A0A6S7ZM50.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"5","A0A6S7ZPX6.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"6","A0A6S7ZS84.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"7","A0A6S7ZYN0.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"8","A0A6S8A5V4.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"9","A0A6S8ACH8.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"10","A0A6S8ADS4.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"11","A0A6S8AEF5.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"12","A0A6S8AFV8.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"13","A0A6S8AIY0.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"14","A0A6S8AJJ5.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"15","A0A6S8AX20.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"16","A0A6S8AZF9.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"17","A0A6S8AZW0.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"18","A0A6S8B2S0.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"19","A0A6S8B2X1.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"20","A0A6S8BAB8.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"21","A0A6S8BC02.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"22","A0A6S8BD00.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"23","A0A6S8BDI8.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"24","A0A6S8BG78.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"25","A0A6S8BLX2.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"26","A0A6S8BM67.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"27","A0A6S8BRM1.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"28","A0A6S8BTB0.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"29","A0A6S8BWN0.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"30","A0A6S8C3V9.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"31","Q1KNJ1;",NA,NA,NA,NA,"aurantio_only"
"32","A0A6S8CBY6.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"33","A0A6S8CEG2.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"34","A0A6S8CJU9.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"35","A0A6S8CKN5.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"36","A0A6S8CLV1.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"37","A0A6S8CMC9.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"38","A0A6S8CMN4.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"39","A0A6S8D0G1.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"40","A0A6S8CQQ5.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"41","A0A6S8CUK2.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"42","A0A6S8D2E4.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"43","A0A6S8D4D5.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"44","A0A6S8D6P7.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"45","A0A6S8DC96.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"46","A0A6S8DD86.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"47","A0A6S8DHA9.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"48","A0A6S8DIB2.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"49","A0A6S8DJE5.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"50","A0A6S8DLQ7.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"51","A0A6S8DMD4.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"52","A0A6S8DMP4.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"53","A0A6S8DNR1.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"54","A0A6S8DPF0.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"55","A0A6S8DQ11.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"56","A0A6S8DQI3.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"57","A0A6S8DR79.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"58","A0A6S8DTX5.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"59","A0A6S8DTH9.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"60","A0A6S8DU74.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"61","A0A6S8DUM3.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"62","A0A6S8DVR9.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"63","A0A6S8DXU1.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"64","A0A6S8DZF4.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"65","A0A6S8DZT5.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"66","A0A6S8E265.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"67","A0A6S8E0I8.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"68","A0A6S8E0X4.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"69","A0A6S8E2L5.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
"70","A0A6S8E2Y0.1|(obsolete);",NA,NA,NA,NA,"aurantio_only"
