"cluster","Aplke1.FilteredModels1","Aurli1.FilteredModels1","Honfer1.CEA_gene_models","LabyHa_1.DU_gene_models","Schag1.FilteredModels1","TOTAL"
1,48,96,71,8,99,322
2,57,62,54,65,67,305
3,42,67,65,32,58,264
4,62,84,47,18,44,255
5,83,78,51,10,27,249
6,24,63,59,20,61,227
7,55,46,39,32,47,219
8,27,30,58,15,86,216
9,39,52,43,25,51,210
10,51,36,31,41,43,202
11,41,45,44,32,38,200
12,38,23,66,7,49,183
13,63,9,64,34,8,178
14,0,0,2,161,0,163
15,30,33,29,30,34,156
16,27,32,28,28,32,147
17,30,31,29,22,33,145
18,2,0,0,138,0,140
19,31,25,22,22,25,125
20,26,27,25,18,24,120
21,1,1,1,112,1,116
22,1,44,65,0,5,115
23,37,29,12,15,17,110
24,22,16,10,45,13,106
25,13,32,16,14,31,106
26,26,20,19,16,21,102
27,1,0,0,101,0,102
28,17,29,14,9,31,100
29,23,10,9,40,18,100
30,0,0,0,98,0,98
31,34,12,13,24,14,97
32,0,0,0,92,0,92
33,17,22,17,1,23,80
34,1,4,68,0,5,78
35,16,20,10,9,22,77
36,26,14,13,10,14,77
37,2,25,13,11,25,76
38,25,11,7,23,8,74
39,28,1,0,43,0,72
40,14,8,1,26,23,72
41,17,14,11,10,19,71
42,1,21,19,11,19,71
43,14,12,15,18,11,70
44,0,0,0,67,0,67
45,13,13,7,10,23,66
46,4,26,25,2,7,64
47,13,13,11,5,20,62
48,15,16,10,5,16,62
49,18,5,9,23,6,61
50,15,12,12,9,13,61
51,7,16,14,6,18,61
52,15,12,10,12,11,60
53,0,12,10,0,37,59
54,9,22,20,1,6,58
55,6,17,14,8,12,57
56,8,9,7,10,21,55
57,11,12,11,10,11,55
58,12,5,0,25,12,54
59,10,12,13,8,11,54
60,0,1,0,53,0,54
61,0,0,0,54,0,54
62,9,10,10,7,13,49
63,0,1,3,45,0,49
64,17,11,6,6,8,48
65,13,24,2,5,3,47
66,0,0,0,47,0,47
67,2,12,13,9,10,46
68,46,0,0,0,0,46
69,10,11,5,4,14,44
70,11,10,11,1,9,42
71,16,10,9,1,6,42
72,13,10,10,2,7,42
73,14,9,7,5,7,42
74,13,10,6,3,10,42
75,1,11,8,0,22,42
76,12,12,2,3,12,41
77,7,9,9,9,7,41
78,1,13,11,1,15,41
79,0,0,0,41,0,41
80,16,7,8,0,9,40
81,11,1,1,16,11,40
82,9,7,7,10,7,40
83,6,11,8,5,10,40
84,20,2,0,11,7,40
85,14,5,7,5,9,40
86,8,8,8,8,8,40
87,7,10,8,4,11,40
88,6,9,7,7,10,39
89,0,13,26,0,0,39
90,0,0,0,39,0,39
91,0,0,0,39,0,39
92,8,8,8,6,8,38
93,0,0,0,38,0,38
94,7,7,8,8,7,37
95,0,12,19,2,4,37
96,6,9,7,2,12,36
97,0,0,0,36,0,36
98,35,0,0,0,0,35
99,7,7,7,7,7,35
100,0,35,0,0,0,35
101,12,6,4,5,7,34
102,14,7,5,0,8,34
103,9,3,3,11,8,34
104,2,0,0,32,0,34
105,0,34,0,0,0,34
106,7,11,6,1,8,33
107,9,7,5,7,5,33
108,5,7,3,8,10,33
109,1,2,29,0,1,33
110,9,8,4,3,8,32
111,8,6,8,5,5,32
112,6,7,6,6,7,32
113,5,8,7,2,10,32
114,4,9,8,3,8,32
115,0,1,3,28,0,32
116,6,6,8,6,5,31
117,2,1,0,26,2,31
118,7,5,6,7,6,31
119,6,5,2,5,13,31
120,7,7,7,2,8,31
121,5,10,9,0,7,31
122,12,6,6,1,5,30
123,3,9,5,3,10,30
124,9,3,3,9,6,30
125,6,8,10,2,4,30
126,3,1,0,26,0,30
127,0,21,9,0,0,30
128,7,7,5,4,6,29
129,6,5,5,7,6,29
130,6,7,6,7,3,29
131,6,12,8,1,1,28
132,14,4,3,2,5,28
133,3,7,6,4,8,28
134,10,5,5,4,4,28
135,8,5,5,4,6,28
136,0,20,7,0,1,28
137,7,7,5,2,6,27
138,7,4,11,2,3,27
139,9,7,6,1,4,27
140,6,5,4,7,5,27
141,5,6,3,7,6,27
142,7,8,5,1,6,27
143,0,27,0,0,0,27
144,3,8,6,2,7,26
145,2,10,12,1,1,26
146,5,4,3,8,5,25
147,25,0,0,0,0,25
148,5,6,4,3,7,25
149,10,5,4,3,3,25
150,7,1,2,14,1,25
151,6,4,4,5,6,25
152,8,5,3,2,7,25
153,6,5,5,4,5,25
154,4,7,3,2,9,25
155,4,6,5,7,3,25
156,0,7,6,5,7,25
157,8,4,4,5,3,24
158,6,4,4,4,6,24
159,2,0,16,6,0,24
160,5,9,7,1,2,24
161,8,3,2,4,7,24
162,10,2,2,3,7,24
163,5,6,6,1,6,24
164,6,7,5,3,3,24
165,3,7,4,0,9,23
166,5,4,4,5,5,23
167,4,4,5,3,7,23
168,20,0,0,3,0,23
169,4,3,3,7,6,23
170,4,1,1,14,3,23
171,0,10,13,0,0,23
172,0,0,0,23,0,23
173,2,8,4,3,5,22
174,8,1,12,0,1,22
175,14,0,0,8,0,22
176,5,5,4,4,4,22
177,7,4,3,2,6,22
178,4,6,6,3,3,22
179,6,3,3,4,6,22
180,9,2,3,6,2,22
181,3,4,7,3,5,22
182,8,3,4,3,3,21
183,5,0,0,16,0,21
184,6,5,4,3,3,21
185,19,0,0,2,0,21
186,6,5,4,2,4,21
187,5,2,2,8,4,21
188,3,5,4,4,5,21
189,4,6,6,0,5,21
190,5,4,4,3,5,21
191,6,4,3,4,4,21
192,3,2,3,13,0,21
193,2,7,6,0,6,21
194,1,3,4,10,3,21
195,5,4,4,4,4,21
196,0,13,7,0,1,21
197,0,0,0,21,0,21
198,0,0,0,20,1,21
199,0,0,0,21,0,21
200,0,0,0,21,0,21
201,8,2,2,6,2,20
202,3,5,4,2,6,20
203,5,3,2,6,4,20
204,4,6,5,0,5,20
205,6,1,4,5,4,20
206,6,2,2,8,2,20
207,6,4,4,2,4,20
208,11,2,2,4,1,20
209,7,4,4,1,4,20
210,2,4,4,3,7,20
211,4,4,3,3,6,20
212,4,5,4,4,3,20
213,5,5,5,0,5,20
214,5,4,5,2,4,20
215,4,8,3,0,5,20
216,5,4,4,3,4,20
217,4,4,2,6,4,20
218,3,5,9,1,2,20
219,0,7,6,2,5,20
220,0,0,0,0,20,20
221,0,0,0,20,0,20
222,0,0,0,20,0,20
223,4,5,4,1,5,19
224,4,1,2,7,5,19
225,19,0,0,0,0,19
226,8,3,6,0,2,19
227,7,2,2,6,2,19
228,2,7,3,2,5,19
229,4,4,3,3,5,19
230,17,0,0,2,0,19
231,5,6,3,1,4,19
232,1,0,2,15,1,19
233,5,4,7,2,1,19
234,5,4,3,3,4,19
235,6,3,4,3,3,19
236,4,2,9,0,4,19
237,3,3,6,4,3,19
238,4,5,4,2,4,19
239,7,2,3,4,3,19
240,7,5,3,0,4,19
241,3,4,4,4,4,19
242,4,4,4,3,4,19
243,4,7,5,0,3,19
244,9,3,2,3,2,19
245,0,5,10,0,4,19
246,0,5,5,4,5,19
247,7,3,2,1,5,18
248,4,3,3,4,4,18
249,6,3,3,2,4,18
250,4,4,3,2,5,18
251,4,4,3,2,5,18
252,9,1,1,7,0,18
253,3,5,4,2,4,18
254,9,5,3,0,1,18
255,4,4,4,2,4,18
256,8,4,3,1,2,18
257,4,9,1,0,4,18
258,5,4,3,1,5,18
259,3,4,4,3,4,18
260,4,5,4,1,4,18
261,4,3,3,3,5,18
262,4,6,5,0,3,18
263,3,4,4,3,4,18
264,3,4,4,2,5,18
265,6,3,3,1,5,18
266,5,0,0,10,3,18
267,8,3,3,0,4,18
268,5,4,2,4,3,18
269,3,4,4,2,5,18
270,5,5,3,3,2,18
271,5,3,2,5,3,18
272,0,11,3,3,1,18
273,0,8,3,2,5,18
274,0,9,6,0,3,18
275,1,2,12,0,3,18
276,0,15,2,0,1,18
277,5,4,4,0,4,17
278,3,3,3,3,5,17
279,3,4,3,3,4,17
280,4,3,3,4,3,17
