MMETSP_ID,JGI_ID
A0A6S8B6I7,100312
A0A6S8BFV5,100463
A0A6S8G552,100711
A0A6S7ZM94,1009
A0A6S8EN43,101067
A0A6S8AZW0,101509
A0A6S8E7V5,10179
A0A6S8BGH1,102011
A0A6S7ZL08,102422
A0A6S8BP33,102428
A0A6S8ABN1,10253
A0A6S8B3B6,102543
A0A6S8B0B7,102623
A0A6S8D0L1,10264
A0A6S8ARI7,102684
A0A6S8GI41,102706
A0A6S8FJ81,102789
A0A6S7ZM08,102883
A0A6S8G4H9,102913
A0A6S8D3Z7,103007
A0A6S8CYC1,103046
A0A6S8A529,10377
A0A6S8EEK8,10398
A0A6S8ERD4,103997
A0A6S8B3A8,104016
A0A6S8E9Q2,10404
A0A6S8B473,104178
A0A6S8B9D8,104533
A0A6S8AIR6,104577
A0A6S8EZC4,104882
A0A6S8AZG7,104908
A0A6S8B7C3,104965
A0A6S8DI51,105065
A0A6S8D452,105083
A0A6S8CCU0,105607
A0A6S8G1Q0,105921
A0A6S8DFL9,10610
A0A6S8C7K7,106183
A0A6S8GEV5,106365
A0A6S8EKN5,106452
A0A6S8CQQ5,10649
A0A6S8A9B7,106669
A0A6S8EJF9,10677
A0A6S8EKS9,10677
A0A6S8AGP1,10682
A0A6S8CJ14,106824
A0A6S8D5M3,106883
A0A6S8B1I5,107117
A0A6S8BE81,107122
A0A6S8B733,10713
A0A6S8EMI9,107249
A0A6S8DLU8,10775
A0A6S8AYF1,108155
A0A6S8EJU9,108273
A0A6S8CZC0,108739
A0A6S8B230,109147
A0A6S8FMU9,109167
A0A6S7ZVT0,109323
A0A6S8ATL3,109495
A0A6S8CEK4,109712
A0A6S7ZPX6,109737
A0A6S8ES76,110008
A0A6S8BB61,110060
A0A6S8EA36,11010
A0A6S8EPU1,11037
A0A6S8E4T1,110537
A0A6S8FSY9,110565
A0A6S8G6P9,110565
A0A6S8BPU0,11058
A0A6S8B888,111100
A0A6S8EE20,111183
A0A6S8E8Z0,11120
A0A6S8B1S7,11124
A0A6S8EY15,111355
A0A6S8ACM1,111508
A0A6S8CNU1,111701
A0A6S8F5E4,111852
A0A6S8CGX0,111860
A0A6S8ESH4,11197
A0A6S8BZZ8,112282
A0A6S8B2I9,112560
A0A6S8F085,112744
A0A6S8EAJ6,113138
A0A6S8BFI7,113506
A0A6S7ZPS1,113507
A0A6S8DSV6,113518
A0A6S8ESW0,113657
A0A6S8DVR9,113696
A0A6S8CIN2,113726
A0A6S8A5M2,113768
A0A6S8E5F5,11378
A0A6S8EBZ5,113801
A0A6S8CZ76,113861
A0A6S8ARW7,11390
A0A6S8AU69,113953
A0A6S8DLM7,113956
A0A6S8AUM7,113958
A0A6S8C8B2,114034
A0A6S8BUC0,114038
A0A6S8AJ69,114081
A0A6S8BUI6,114145
A0A6S8FD34,114175
A0A6S8BDF3,114188
A0A6S8C2U7,114309
A0A6S8DFP0,114333
A0A6S8CJ03,114335
A0A6S8BFU3,114364
A0A6S8DH53,114447
A0A6S8FWH9,114494
A0A6S8DH95,114497
A0A6S8BPY1,114559
A0A6S8BVK0,114574
A0A6S8G2V5,114676
A0A6S8ENG2,114690
A0A6S8EF74,114787
A0A6S8DK14,114839
A0A6S8A105,114848
A0A6S8A6G1,114891
A0A6S8FY68,114895
A0A6S8ETB6,114974
A0A6S8FMS7,115001
A0A6S8EMC0,115020
A0A6S8B9P6,115025
A0A6S8EMD9,115052
A0A6S8FS50,11509
A0A6S8CR83,115161
A0A6S8EI83,1152
A0A6S8B7N6,115200
A0A6S8F358,115215
A0A6S8AEF5,115261
A0A6S8AZP2,115297
A0A6S8FEG0,115356
A0A6S8D271,115370
A0A6S8AE85,115433
A0A6S8FI20,115514
A0A6S8BED3,115560
A0A6S8C6T5,115638
A0A6S8CLG1,11565
A0A6S7ZUT8,115677
A0A6S8AQZ0,115689
A0A6S8CGZ9,115815
A0A6S8BK84,115855
A0A6S8DBD5,115866
A0A6S8CTM2,115994
A0A6S8DDM4,116011
A0A6S8DBA1,116061
A0A6S8BBM6,116088
A0A6S8B0B8,116101
A0A6S8EA08,116136
A0A6S8C2K2,116157
A0A6S7ZFQ3,116188
A0A6S8B9Q9,116230
A0A6S8FWN1,116372
A0A6S8FXS5,116402
A0A6S7ZQB6,116490
A0A6S8CKN5,116520
A0A6S8AUA3,116535
A0A6S8FRV1,116567
A0A6S8GUT8,116636
A0A6S8GA60,11676
A0A6S8FY99,116783
A0A6S8AR49,116796
A0A6S8B0Z5,116813
A0A6S8EIX4,116830
A0A6S8ERH6,116918
A0A6S8FQY2,116966
A0A6S8G6F7,116973
A0A6S8F8I6,116995
A0A6S8DEE9,117061
A0A6S8EKY2,117106
A0A6S8F7Q0,117116
A0A6S8FC05,117182
A0A6S7ZSN5,117249
A0A6S8B9C1,117291
A0A6S8D436,117319
A0A6S8EBZ4,117391
A0A6S8D666,117395
A0A6S8G3U7,117443
A0A6S8C180,11757
A0A6S8FKF4,117613
A0A6S8AXC0,117698
A0A6S8EF63,117705
A0A6S8BD20,117708
A0A6S8DVN0,117711
A0A6S8DXS8,117715
A0A6S8GHH9,117796
A0A6S7ZY32,117814
A0A6S8A065,117948
A0A6S8E7H3,117995
A0A6S8AVE1,118107
A0A6S8BKH7,118108
A0A6S8E6X9,118179
A0A6S8EJQ3,118186
A0A6S8AJY1,118187
A0A6S8BDA9,118211
A0A6S8E7T1,118212
A0A6S8CPZ5,118227
A0A6S8C1R4,118266
A0A6S8A305,11827
A0A6S7ZY47,118329
A0A6S8FRT4,118443
A0A6S8DVA0,118528
A0A6S8AJ72,118550
A0A6S8FJZ3,118552
A0A6S8EV12,118681
A0A6S8D065,118689
A0A6S8CKE6,118705
A0A6S8FTC4,118708
A0A6S8G9A7,118763
A0A6S8D5J8,118830
A0A6S7ZQ31,118859
A0A6S8BUS8,118880
A0A6S8D2G0,118892
A0A6S8BCY3,118906
A0A6S8C0L7,118949
A0A6S8C343,118949
A0A6S7ZK66,118957
A0A6S8CX35,118959
A0A6S8DVF9,118967
A0A6S8EDM6,119058
A0A6S8BFD7,119116
A0A6S8G2I7,119142
A0A6S7ZXG2,119199
A0A6S8ATP6,1192
A0A6S8AC80,119202
A0A6S8AY05,119324
A0A6S8EUB5,119343
A0A6S8AE91,119464
A0A6S8BC09,119483
A0A6S7ZT18,119535
A0A6S8FRG0,119545
A0A6S8EXN2,11960
A0A6S8B9J1,119619
A0A6S8DGN0,11964
A0A6S7ZIX7,119640
A0A6S8GCF3,119642
A0A6S8DK56,119664
A0A6S8DB17,119782
A0A6S8B4M8,119810
A0A6S8BMR0,119820
A0A6S8A3R0,119880
A0A6S8FAH1,119951
A0A6S8EWE2,120109
A0A6S8DAM6,120112
A0A6S8B0H6,120126
A0A6S7ZPU6,120262
A0A6S8D321,120311
A0A6S8GCU9,120334
A0A6S8GDB2,120406
A0A6S8DYB4,120414
A0A6S8AGB1,120443
A0A6S8C061,120461
A0A6S8FCT9,120462
A0A6S8EN82,120530
A0A6S8D530,120536
A0A6S8BC51,12067
A0A6S8BTD6,12067
A0A6S7ZGU4,120806
A0A6S8BPU8,120981
A0A6S8F3X7,12104
A0A6S7ZQI5,121490
A0A6S7ZTZ8,121543
A0A6S7ZV93,121695
A0A6S8E824,12195
A0A6S8CPM9,122551
A0A6S8FA36,122619
A0A6S8EQC5,122650
A0A6S8ANL5,12282
A0A6S7ZRS3,123094
A0A6S8FBP6,123422
A0A6S8AIC3,123630
A0A6S8AWH6,123799
A0A6S8CKA3,123824
A0A6S8F0P1,12401
A0A6S8FB44,124035
A0A6S8CMA4,124376
A0A6S8E5W4,12458
A0A6S8AJQ4,124602
A0A6S8C523,124817
A0A6S8G486,12485
A0A6S7ZYC6,124985
A0A6S7ZSB3,125257
A0A6S8D5L6,125370
A0A6S8F1W9,125465
A0A6S8BLG8,125563
A0A6S8DQ05,12559
A0A6S8DQG1,12559
A0A6S8E6D6,12575
A0A6S7ZWW7,12589
A0A6S8CV84,126007
A0A6S8ASH9,126030
A0A6S7ZSP5,126114
A0A6S8C8M0,126174
A0A6S8BQY7,126447
A0A6S8BQK2,126684
A0A6S8BJ88,126688
A0A6S8D4U0,127107
A0A6S8AVE5,127164
A0A6S8AJV5,127471
A0A6S8BJZ6,127527
A0A6S8C971,127645
A0A6S8AZ18,128073
A0A6S8BS64,128082
A0A6S8FUE4,128135
A0A6S7ZP76,128296
A0A6S8BN43,1283
A0A6S8F3J4,128408
A0A6S8BT88,128456
A0A6S8CQZ9,128793
A0A6S8BS36,128898
A0A6S8CLW5,12920
A0A6S8BMA0,129280
A0A6S7ZF54,129308
A0A6S8B679,129340
A0A6S8A2B6,129410
A0A6S8B3Z0,129427
A0A6S8FWK7,129437
A0A6S8AK33,129482
A0A6S8FM55,129547
A0A6S8G599,129690
A0A6S8AQT6,129693
