Taxonomic_group,Stramenopile
Annelida,
Apicomplexa,
Apusomonadidae,
Arthropoda,
Ascomycota,
Bacillariophyta,T
Basidiomycota,
Bigyra,T
Blastocladiomycota,
Bolidophyceae,T
Brachiopoda,T
Breviatea,
Cercozoa,
Chlorophyta,
Choanoflagellata,
Chordata,
Chromeraceae,
Chromerida,
Chrysophyceae,T
Chytridiomycota,
Ciliophora,
Cnidaria,
Cryptomycota,
Cryptophyta,
Dictyochophyceae,T
Dinophyceae,
Discosea,
Echinodermata,
Endomyxa,
Euglenozoa,
Evosea,
Filasterea,
Foraminifera,
Fornicata,
Glaucocystophyceae,
Haptista,
Heterolobosea,
Ichthyosporea,
Microsporidia,
Mollusca,
Mucoromycota,
Nematoda,
Oomycetes,T
Palpitomonas,
Parabasalia,
Pelagophyceae,
Perkinsozoa,T
Phaeophyceae,T
Pinguiophyceae,T
Placozoa,
Platyhelminthes,
Porifera,
Raphidophyceae,T
Rhodophyta,
Rotifera,
Rotosphaerida,
Stereomyxa,
Streptophyta,
Synchromophyceae,T
Synurophyceae,T
Tardigrada,
Tubulinea,
Vitrellaceae,
