#Accession	Name	No_orfs	Coverage	Abundance	Description
KOG0002	KOG0002	1	0.979166	0.000183	60s ribosomal protein L39
KOG0004	KOG0004	8	4.378205	0.000819	Ubiquitin/40S ribosomal protein S27a fusion
KOG0005	KOG0005	1	0.757142	0.000141	Ubiquitin-like protein
KOG0007	KOG0007	1	0.366568	6.8e-05	Splicing factor 3a, subunit 1
KOG0009	KOG0009	1	0.967741	0.000181	Ubiquitin-like/40S ribosomal S30 protein fusion
KOG0010	KOG0010	5	1.69574	0.000317	Ubiquitin-like protein
KOG0011	KOG0011	5	2.35	0.000439	Nucleotide excision repair factor NEF2, RAD23 component
KOG0016	KOG0016	5	4.109022	0.000768	Enoyl-CoA hydratase/isomerase
KOG0018	KOG0018	6	1.738825	0.000325	Structural maintenance of chromosome protein 1 (sister chromatid cohesion complex Cohesin, subunit SMC1)
KOG0019	KOG0019	2	1.905487	0.000356	Molecular chaperone (HSP90 family)
KOG0020	KOG0020	1	0.880254	0.000164	Endoplasmic reticulum glucose-regulated protein (GRP94/endoplasmin), HSP90 family
KOG0021	KOG0021	1	0.978632	0.000183	Glutathione synthetase
KOG0022	KOG0022	2	2	0.000374	Alcohol dehydrogenase, class III
KOG0023	KOG0023	9	8.605555	0.001609	Alcohol dehydrogenase, class V
KOG0024	KOG0024	2	1.88418	0.000352	Sorbitol dehydrogenase
KOG0025	KOG0025	2	1.548022	0.000289	Zn2+-binding dehydrogenase (nuclear receptor binding factor-1)
KOG0026	KOG0026	1	0.914798	0.000171	Anthranilate synthase, beta chain
KOG0027	KOG0027	112	78.509933	0.014686	Calmodulin and related proteins (EF-Hand superfamily)
KOG0028	KOG0028	6	4.91279	0.000919	Ca2+-binding protein (centrin/caltractin), EF-Hand superfamily protein
KOG0029	KOG0029	11	5.309381	0.000993	Amine oxidase
KOG0030	KOG0030	1	0.447368	8.3e-05	Myosin essential light chain, EF-Hand protein superfamily
KOG0032	KOG0032	36	26.149214	0.004891	Ca2+/calmodulin-dependent protein kinase, EF-Hand protein superfamily
KOG0034	KOG0034	16	10.796791	0.002019	Ca2+/calmodulin-dependent protein phosphatase (calcineurin subunit B), EF-Hand superfamily protein
KOG0035	KOG0035	1	0.168539	3.1e-05	Ca2+-binding actin-bundling protein (actinin), alpha chain (EF-Hand protein superfamily)
KOG0036	KOG0036	6	2.015118	0.000376	Predicted mitochondrial carrier protein
KOG0037	KOG0037	1	0.76923	0.000143	Ca2+-binding protein, EF-Hand protein superfamily
KOG0039	KOG0039	7	4.452579	0.000832	Ferric reductase, NADH/NADPH oxidase and related proteins
KOG0040	KOG0040	1	0.111713	2e-05	Ca2+-binding actin-bundling protein (spectrin), alpha chain (EF-Hand protein superfamily)
KOG0042	KOG0042	2	1.673529	0.000313	Glycerol-3-phosphate dehydrogenase
KOG0043	KOG0043	2	1.668141	0.000312	Uncharacterized conserved protein, contains DM10 domain
KOG0044	KOG0044	28	16.901554	0.003161	Ca2+ sensor (EF-Hand superfamily)
KOG0045	KOG0045	10	3.558823	0.000665	Cytosolic Ca2+-dependent cysteine protease (calpain), large subunit (EF-Hand protein superfamily)
KOG0046	KOG0046	1	0.151515	2.8e-05	Ca2+-binding actin-bundling protein (fimbrin/plastin), EF-Hand protein superfamily
KOG0047	KOG0047	2	1.934653	0.000361	Catalase
KOG0048	KOG0048	45	18.827731	0.003522	Transcription factor, Myb superfamily
KOG0049	KOG0049	10	1.029818	0.000192	Transcription factor, Myb superfamily
KOG0050	KOG0050	1	0.980551	0.000183	mRNA splicing protein CDC5 (Myb superfamily)
KOG0051	KOG0051	3	0.685337	0.000128	RNA polymerase I termination factor, Myb superfamily
KOG0052	KOG0052	1	0.961636	0.000179	Translation elongation factor EF-1 alpha/Tu
KOG0053	KOG0053	7	6.601466	0.001234	Cystathionine beta-lyases/cystathionine gamma-synthases
KOG0054	KOG0054	13	8.315713	0.001555	Multidrug resistance-associated protein/mitoxantrone resistance protein, ABC superfamily
KOG0055	KOG0055	4	3.144792	0.000588	Multidrug/pheromone exporter, ABC superfamily
KOG0056	KOG0056	1	0.767088	0.000143	Heavy metal exporter HMT1, ABC superfamily
KOG0057	KOG0057	1	0.998307	0.000186	Mitochondrial Fe/S cluster exporter, ABC superfamily
KOG0058	KOG0058	6	4.772346	0.000892	Peptide exporter, ABC superfamily
KOG0059	KOG0059	19	14.459887	0.002704	Lipid exporter ABCA1 and related proteins, ABC superfamily
KOG0060	KOG0060	4	3.344461	0.000625	Long-chain acyl-CoA transporter, ABC superfamily (involved in peroxisome organization and biogenesis)
KOG0061	KOG0061	17	11.858131	0.002218	Transporter, ABC superfamily (Breast cancer resistance protein)
KOG0062	KOG0062	7	5.058419	0.000946	ATPase component of ABC transporters with duplicated ATPase domains/Translation elongation factor EF-3b
KOG0063	KOG0063	1	0.993243	0.000185	RNAse L inhibitor, ABC superfamily
KOG0064	KOG0064	1	0.887362	0.000165	Peroxisomal long-chain acyl-CoA transporter, ABC superfamily
KOG0065	KOG0065	18	15.02588	0.00281	Pleiotropic drug resistance proteins (PDR1-15), ABC superfamily
KOG0066	KOG0066	2	0.805452	0.00015	eIF2-interacting protein ABC50 (ABC superfamily)
KOG0068	KOG0068	1	0.886699	0.000165	D-3-phosphoglycerate dehydrogenase, D-isomer-specific 2-hydroxy acid dehydrogenase superfamily
KOG0069	KOG0069	2	1.693452	0.000316	Glyoxylate/hydroxypyruvate reductase (D-isomer-specific 2-hydroxy acid dehydrogenase superfamily)
KOG0070	KOG0070	10	9.508287	0.001778	GTP-binding ADP-ribosylation factor Arf1
KOG0071	KOG0071	2	1.6	0.000299	GTP-binding ADP-ribosylation factor Arf6 (dArf3)
KOG0073	KOG0073	1	1	0.000187	GTP-binding ADP-ribosylation factor-like protein ARL2
KOG0074	KOG0074	1	0.897297	0.000167	GTP-binding ADP-ribosylation factor-like protein ARL3
KOG0076	KOG0076	1	0.95939	0.000179	GTP-binding ADP-ribosylation factor-like protein yARL3
KOG0077	KOG0077	1	1	0.000187	Vesicle coat complex COPII, GTPase subunit SAR1
KOG0078	KOG0078	10	6.89855	0.00129	GTP-binding protein SEC4, small G protein superfamily, and related Ras family GTP-binding proteins
KOG0080	KOG0080	8	2.440191	0.000456	GTPase Rab18, small G protein superfamily
KOG0082	KOG0082	13	12.437853	0.002326	G-protein alpha subunit (small G protein superfamily)
KOG0084	KOG0084	3	2.463414	0.00046	GTPase Rab1/YPT1, small G protein superfamily, and related GTP-binding proteins
KOG0087	KOG0087	3	2.684684	0.000502	GTPase Rab11/YPT3, small G protein superfamily
KOG0088	KOG0088	1	0.949541	0.000177	GTPase Rab21, small G protein superfamily
KOG0089	KOG0089	1	0.993527	0.000185	Methylenetetrahydrofolate dehydrogenase/methylenetetrahydrofolate cyclohydrolase
KOG0090	KOG0090	1	0.848739	0.000158	Signal recognition particle receptor, beta subunit (small G protein superfamily)
