query	subject	pident	Aln_length	mismatch	gapopen	evalue	bitscore	query_PITG	name	category	function	NSM	20H	SPO	ZOO	induced	Harab	OnlyFlag	FullName	bestByPITG	bestByAurli1	PROT	BEST
XP_002908314.1_PITG_01693	jgi|Aurli1|101851|estExt_Genewise1Plus.C_2_t10495	29.2	935	547	26	4.98E-114	372	1693	POC16	Centriole	Centriolar protein	ns	ns	ns	ns	ns	no	yes	FM144 (POC16)	yes	yes		yes
XP_002899012.1_PITG_14807	jgi|Aurli1|10250|gm1.10250_g	74.9	458	105	3	2.4E-249	687	14807	TUBG	Tubulin-related	Tubulin gamma	0.96	1.37	1.05	0.62	no	yes	no	TUG	yes	yes		yes
XP_002897021.1_PITG_17124	jgi|Aurli1|10342|gm1.10342_g	24.3	1364	806	46	9.72E-62	234	17124	FAP46	Central pair	Central pair projection protein	0.3	0.7	2.7	0.3	yes	no	yes	FAP46		yes		yes
XP_002906151.1_PITG_03050	jgi|Aurli1|10482|gm1.10482_g	21.9	1227	745	43	1.33E-33	139	3050	MOT9	Uncharacterized	Uncharacterized flagella-associated protein	0.1	0.63	1.41	1.87	yes	no	yes	MOT9		yes		yes
XP_002996932.1_PITG_19609	jgi|Aurli1|10610|gm1.10610_g	54.4	570	213	8	1.28E-205	586	19609	DIC2	Outer dynein arm	Outer dynein arm intermediate chain protein	0.08	1.72	1.89	0.31	yes	no	yes	"DIC2 (ODA6, ODA-IC2)"	yes	yes		yes
XP_002907894.1_PITG_01219	jgi|Aurli1|107122|estExt_Genewise1Plus.C_10_t20288	82.9	497	85	0	8.06E-123	368	1219	PF16	Central pair	Central pair protein	0.17	0.55	1.62	1.66	yes	no	yes	PF16 (ACA)	yes	yes		yes
XP_002908337.1_PITG_01717	jgi|Aurli1|108739|estExt_Genewise1Plus.C_14_t10191	59.6	4564	1732	26	0	5345	1717	PF9	Inner dynein arm	Inner arm dynein 1 heavy chain alpha	0.24	0.75	1.74	1.27	yes	no	no	PF9		yes		yes
XP_002900392.1_PITG_12513	jgi|Aurli1|1103|gm1.1103_g	25	228	125	6	3.73E-11	60.8	12513	SSA12	Uncharacterized	Uncharacterized flagella-associated protein	0.43	0.5	0.26	2.81	no	yes	no	SSA12		yes		yes
XP_002909360.1_PITG_00797	jgi|Aurli1|113948|fgenesh1_pm.1_#_469	85.5	193	28	0	4.31E-87	273	797	DAW1	Outer dynein arm	"Outer dynein arm protein, IFT adapter"	0.14	1.77	1.52	0.58	yes	no	yes	DAW1 (ODA16)	yes	yes		yes
XP_002902627.1_PITG_10096	jgi|Aurli1|113989|fgenesh1_pm.1_#_510	38.6	1386	775	19	2.65e-318	930	10096	IFT139	Intraflagellar transport	Intraflagellar transport protein	0.15	0.46	3.23	0.15	yes	no	yes	FAP60 (IFT139)	yes	yes		yes
