name	kogClass	Keg	cluster ALL	name ALL	Keg ALL	ko00001	ko01000	ko01001	ko01009	ko01002	ko01003	ko01004	ko01008	ko01006	ko01007	ko00199	ko03000	ko03021	ko03019	ko03041	ko03011	ko03009	ko03016	ko03012	ko03110	ko04131	ko04121	ko03051	ko03032	ko03036	ko03400	ko03029	ko02000	ko02044	ko03037	ko04812	ko04147	ko02048	ko04030	ko04054	ko04031	ko04090	ko00535	ko00536	ko00537	ko04091	ko04990
140047	Amino acid transport and metabolism	K00264	G1	140047	K00264	ko00001	ko01000																																								
141222	Amino acid transport and metabolism	K01697	G1	141222	K01697	ko00001	ko01000																																								
140756	Amino acid transport and metabolism	K14157	G1	140756	K14157	ko00001	ko01000																																								
141865	Amino acid transport and metabolism	K15371	G1	141865	K15371	ko00001	ko01000																																								
120126	Amino acid transport and metabolism	K00800	G2	120126	K00800	ko00001	ko01000																																								
142698	Amino acid transport and metabolism	K01663	G2	142698	K01663	ko00001	ko01000																																								
137433	Amino acid transport and metabolism	K01694	G2	137433	K01694	ko00001	ko01000																																								
44457	Amino acid transport and metabolism	K03785	G2	44457	K03785	ko00001	ko01000																																								
42652	Amino acid transport and metabolism	K13566	G2	42652	K13566	ko00001	ko01000																																								
44289	Amino acid transport and metabolism	K00058	G3	44289	K00058	ko00001	ko01000																														ko04147										
137534	Amino acid transport and metabolism	K00133	G3	137534	K00133	ko00001	ko01000																																								
138216	Amino acid transport and metabolism	K00281	G3	138216	K00281	ko00001	ko01000																																								
47709	Amino acid transport and metabolism	K00600	G3	47709	K00600	ko00001	ko01000																																								
45927	Amino acid transport and metabolism	K00765	G3	45927	K00765	ko00001	ko01000																																								
75346	Amino acid transport and metabolism	K00928	G3	75346	K00928	ko00001	ko01000																																								
76014	Amino acid transport and metabolism	K01697	G3	76014	K01697	ko00001	ko01000																																								
48454	Amino acid transport and metabolism	K01940	G3	48454	K01940	ko00001	ko01000																														ko04147										
139509	Amino acid transport and metabolism	K01953	G3	139509	K01953	ko00001	ko01000			ko01002																																					
141707	Amino acid transport and metabolism	K13503	G3	141707	K13503	ko00001	ko01000																																								
48245	Amino acid transport and metabolism	K00297	G4	48245	K00297	ko00001	ko01000																																								
47705	Amino acid transport and metabolism	K00390	G4	47705	K00390	ko00001	ko01000																																								
58598	Amino acid transport and metabolism	K00547	G4	58598	K00547	ko00001	ko01000																																								
137670	Amino acid transport and metabolism	K00605	G4	137670	K00605	ko00001	ko01000																																								
81320	Amino acid transport and metabolism	K00819	G4	81320	K00819	ko00001	ko01000								ko01007																																
44258	Amino acid transport and metabolism	K00826	G4	44258	K00826	ko00001	ko01000								ko01007																																
47601	Amino acid transport and metabolism	K01586	G4	47601	K01586	ko00001	ko01000																																								
140959	Amino acid transport and metabolism	K01649	G4	140959	K01649	ko00001	ko01000																																								
8387	Amino acid transport and metabolism	K01687	G4	8387	K01687	ko00001	ko01000																																								
46198	Amino acid transport and metabolism	K01687	G4	46198	K01687	ko00001	ko01000																																								
44030	Amino acid transport and metabolism	K01702	G4	44030	K01702	ko00001	ko01000																																								
78450	Amino acid transport and metabolism	K14455	G4	78450	K14455	ko00001	ko01000								ko01007																																
141948	Amino acid transport and metabolism	K00031	not significant	141948	K00031	ko00001	ko01000																																								
81660	Amino acid transport and metabolism	K00052	not significant	81660	K00052	ko00001	ko01000																																								
45900	Amino acid transport and metabolism	K00133	not significant	45900	K00133	ko00001	ko01000																																								
81013	Amino acid transport and metabolism	K00147	not significant	81013	K00147	ko00001	ko01000																																								
139715	Amino acid transport and metabolism	K00252	not significant	139715	K00252	ko00001	ko01000																																								
46680	Amino acid transport and metabolism	K00262	not significant	46680	K00262	ko00001	ko01000																																								
83039	Amino acid transport and metabolism	K00262	not significant	83039	K00262	ko00001	ko01000																																								
96374	Amino acid transport and metabolism	K00264	not significant	96374	K00264	ko00001	ko01000																																								
78757	Amino acid transport and metabolism	K00266	not significant	78757	K00266	ko00001	ko01000																																								
42455	Amino acid transport and metabolism	K00286	not significant	42455	K00286	ko00001	ko01000																																								
70946	Amino acid transport and metabolism	K00286	not significant	70946	K00286	ko00001	ko01000																																								
85288	Amino acid transport and metabolism	K00314	not significant	85288	K00314	ko00001	ko01000																																								
48519	Amino acid transport and metabolism	K00315	not significant	48519	K00315	ko00001	ko01000																																								
7531	Amino acid transport and metabolism	K00318	not significant	7531	K00318	ko00001	ko01000																																								
140882	Amino acid transport and metabolism	K00357	not significant	140882	K00357	ko00001	ko01000																																								
43066	Amino acid transport and metabolism	K00452	not significant	43066	K00452	ko00001	ko01000																																								
61577	Amino acid transport and metabolism	K00456	not significant	61577	K00456	ko00001	ko01000																																								
45086	Amino acid transport and metabolism	K00472	not significant	45086	K00472	ko00001	ko01000																																								
48264	Amino acid transport and metabolism	K00472	not significant	48264	K00472	ko00001	ko01000																																								
142818	Amino acid transport and metabolism	K00500	not significant	142818	K00500	ko00001	ko01000																																								
42929	Amino acid transport and metabolism	K00548	not significant	42929	K00548	ko00001	ko01000																																								
45370	Amino acid transport and metabolism	K00600	not significant	45370	K00600	ko00001	ko01000																																								
47773	Amino acid transport and metabolism	K00611	not significant	47773	K00611	ko00001	ko01000																																								
74137	Amino acid transport and metabolism	K00620	not significant	74137	K00620	ko00001	ko01000																																								
138980	Amino acid transport and metabolism	K00639	not significant	138980	K00639	ko00001	ko01000								ko01007																																
43258	Amino acid transport and metabolism	K00652	not significant	43258	K00652	ko00001	ko01000								ko01007																																
