"qseqid","diff_Tscore","diff_E_Value","diff_P_Ident","perc_diff_Tscore","Group"
"jgi|Aurli1|10000|gm1.10000_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|10076|gm1.10076_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|10079|gm1.10079_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|101078|estExt_Genewise1Plus.C_1_t30420",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|101201|estExt_Genewise1Plus.C_1_t40087",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|10213|gm1.10213_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|10231|gm1.10231_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|10361|gm1.10361_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|10371|gm1.10371_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|10437|gm1.10437_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|10455|gm1.10455_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|10461|gm1.10461_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|1046|gm1.1046_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|10539|gm1.10539_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|10586|gm1.10586_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|10730|gm1.10730_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|10747|gm1.10747_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|10765|gm1.10765_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|10849|gm1.10849_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|10851|gm1.10851_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|10888|gm1.10888_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|10945|gm1.10945_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|1094|gm1.1094_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|10994|gm1.10994_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|11021|gm1.11021_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|110557|estExt_Genewise1Plus.C_190048",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|110565|estExt_Genewise1Plus.C_190063",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|11072|gm1.11072_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|11073|gm1.11073_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|110794|estExt_Genewise1Plus.C_190405",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|111141|estExt_Genewise1Plus.C_20_t10423",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|11117|gm1.11117_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|11152|gm1.11152_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|11202|gm1.11202_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|112250|estExt_Genewise1Plus.C_240200",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|11229|gm1.11229_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|11290|gm1.11290_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|11294|gm1.11294_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|113486|fgenesh1_pm.1_#_7",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|113568|fgenesh1_pm.1_#_89",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|11359|gm1.11359_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|11360|gm1.11360_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|113626|fgenesh1_pm.1_#_147",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|113697|fgenesh1_pm.1_#_218",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|11376|gm1.11376_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|11377|gm1.11377_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|113798|fgenesh1_pm.1_#_319",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|114049|fgenesh1_pm.1_#_570",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|11407|gm1.11407_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|1140|gm1.1140_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|114107|fgenesh1_pm.1_#_628",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|114115|fgenesh1_pm.1_#_636",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|114151|fgenesh1_pm.1_#_672",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|114169|fgenesh1_pm.1_#_690",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|114247|fgenesh1_pm.2_#_70",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|114259|fgenesh1_pm.2_#_82",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|114265|fgenesh1_pm.2_#_88",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|114269|fgenesh1_pm.2_#_92",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|114284|fgenesh1_pm.2_#_107",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|11432|gm1.11432_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|114357|fgenesh1_pm.2_#_180",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|114368|fgenesh1_pm.2_#_191",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|114470|fgenesh1_pm.2_#_293",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|114505|fgenesh1_pm.2_#_328",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|11450|gm1.11450_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|114561|fgenesh1_pm.2_#_384",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|114578|fgenesh1_pm.2_#_401",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|114594|fgenesh1_pm.2_#_417",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|11460|gm1.11460_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|114671|fgenesh1_pm.3_#_24",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|114674|fgenesh1_pm.3_#_27",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|114777|fgenesh1_pm.3_#_130",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|114910|fgenesh1_pm.3_#_263",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|114911|fgenesh1_pm.3_#_264",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|114917|fgenesh1_pm.3_#_270",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|114962|fgenesh1_pm.3_#_315",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|114975|fgenesh1_pm.3_#_328",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|115010|fgenesh1_pm.4_#_6",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|11505|gm1.11505_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|115110|fgenesh1_pm.4_#_106",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|115125|fgenesh1_pm.4_#_121",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|115176|fgenesh1_pm.4_#_172",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|115206|fgenesh1_pm.4_#_202",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|115281|fgenesh1_pm.4_#_277",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|115330|fgenesh1_pm.5_#_28",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|115440|fgenesh1_pm.5_#_138",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|115476|fgenesh1_pm.5_#_174",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|115490|fgenesh1_pm.5_#_188",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|11553|gm1.11553_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|115602|fgenesh1_pm.5_#_300",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|115604|fgenesh1_pm.5_#_302",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|115645|fgenesh1_pm.6_#_17",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|115648|fgenesh1_pm.6_#_20",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|115649|fgenesh1_pm.6_#_21",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|115709|fgenesh1_pm.6_#_81",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|115741|fgenesh1_pm.6_#_113",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|115748|fgenesh1_pm.6_#_120",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|115873|fgenesh1_pm.6_#_245",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|115906|fgenesh1_pm.6_#_278",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|115907|fgenesh1_pm.6_#_279",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|11599|gm1.11599_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|116029|fgenesh1_pm.7_#_82",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|11602|gm1.11602_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|116195|fgenesh1_pm.7_#_248",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|116209|fgenesh1_pm.7_#_262",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|116291|fgenesh1_pm.8_#_13",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|11643|gm1.11643_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|11645|gm1.11645_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|116478|fgenesh1_pm.8_#_200",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|116557|fgenesh1_pm.8_#_279",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|116561|fgenesh1_pm.8_#_283",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|116562|fgenesh1_pm.8_#_284",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|116563|fgenesh1_pm.8_#_285",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|116603|fgenesh1_pm.9_#_23",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|116606|fgenesh1_pm.9_#_26",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|116646|fgenesh1_pm.9_#_66",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|116742|fgenesh1_pm.9_#_162",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|116788|fgenesh1_pm.9_#_208",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|116937|fgenesh1_pm.10_#_35",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|116939|fgenesh1_pm.10_#_37",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|116963|fgenesh1_pm.10_#_61",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|116972|fgenesh1_pm.10_#_70",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|116992|fgenesh1_pm.10_#_90",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117142|fgenesh1_pm.10_#_240",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117226|fgenesh1_pm.11_#_4",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117227|fgenesh1_pm.11_#_5",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117251|fgenesh1_pm.11_#_29",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117297|fgenesh1_pm.11_#_75",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117300|fgenesh1_pm.11_#_78",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117305|fgenesh1_pm.11_#_83",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117388|fgenesh1_pm.11_#_166",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|11741|gm1.11741_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117439|fgenesh1_pm.11_#_217",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117459|fgenesh1_pm.11_#_237",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117470|fgenesh1_pm.11_#_248",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117477|fgenesh1_pm.11_#_255",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117496|fgenesh1_pm.11_#_274",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117542|fgenesh1_pm.12_#_26",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117567|fgenesh1_pm.12_#_51",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117578|fgenesh1_pm.12_#_62",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117588|fgenesh1_pm.12_#_72",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|11759|gm1.11759_g",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117635|fgenesh1_pm.12_#_119",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117713|fgenesh1_pm.12_#_197",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117714|fgenesh1_pm.12_#_198",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117731|fgenesh1_pm.12_#_215",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117734|fgenesh1_pm.12_#_218",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117812|fgenesh1_pm.13_#_70",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117813|fgenesh1_pm.13_#_71",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117820|fgenesh1_pm.13_#_78",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117856|fgenesh1_pm.13_#_114",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117912|fgenesh1_pm.13_#_170",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117965|fgenesh1_pm.13_#_223",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117967|fgenesh1_pm.13_#_225",NA,NA,NA,NA,"aurli_only"
"jgi|Aurli1|117968|fgenesh1_pm.13_#_226",NA,NA,NA,NA,"aurli_only"
