"","qseqid","diff_Tscore","diff_E_Value","diff_P_Ident","perc_diff_Tscore","Group"
"1","jgi|Aurli1|127242|estExt_fgenesh1_pg.C_1_t10008",NA,NA,NA,NA,"aurli_only"
"2","jgi|Aurli1|14|gm1.14_g",NA,NA,NA,NA,"aurli_only"
"3","jgi|Aurli1|113486|fgenesh1_pm.1_#_7",NA,NA,NA,NA,"aurli_only"
"4","jgi|Aurli1|120714|estExt_fgenesh1_pm.C_1_t10013",NA,NA,NA,NA,"aurli_only"
"5","jgi|Aurli1|41594|fgenesh1_kg.1_#_14_#_isotig10547",NA,NA,NA,NA,"aurli_only"
"6","jgi|Aurli1|32|gm1.32_g",NA,NA,NA,NA,"aurli_only"
"7","jgi|Aurli1|28396|fgenesh1_pg.1_#_53",NA,NA,NA,NA,"aurli_only"
"8","jgi|Aurli1|28419|fgenesh1_pg.1_#_76",NA,NA,NA,NA,"aurli_only"
"9","jgi|Aurli1|92|gm1.92_g",NA,NA,NA,NA,"aurli_only"
"10","jgi|Aurli1|28450|fgenesh1_pg.1_#_107",NA,NA,NA,NA,"aurli_only"
"11","jgi|Aurli1|143226|estExt_Genemark1.C_1_t10134",NA,NA,NA,NA,"aurli_only"
"12","jgi|Aurli1|136|gm1.136_g",NA,NA,NA,NA,"aurli_only"
"13","jgi|Aurli1|41662|fgenesh1_kg.1_#_82_#_isotig10930",NA,NA,NA,NA,"aurli_only"
"14","jgi|Aurli1|148|gm1.148_g",NA,NA,NA,NA,"aurli_only"
"15","jgi|Aurli1|41668|fgenesh1_kg.1_#_88_#_isotig10174",NA,NA,NA,NA,"aurli_only"
"16","jgi|Aurli1|136107|estExt_fgenesh1_kg.C_1_t10090",NA,NA,NA,NA,"aurli_only"
"17","jgi|Aurli1|160|gm1.160_g",NA,NA,NA,NA,"aurli_only"
"18","jgi|Aurli1|136110|estExt_fgenesh1_kg.C_1_t10093",NA,NA,NA,NA,"aurli_only"
"19","jgi|Aurli1|166|gm1.166_g",NA,NA,NA,NA,"aurli_only"
"20","jgi|Aurli1|113568|fgenesh1_pm.1_#_89",NA,NA,NA,NA,"aurli_only"
"21","jgi|Aurli1|28519|fgenesh1_pg.1_#_176",NA,NA,NA,NA,"aurli_only"
"22","jgi|Aurli1|28520|fgenesh1_pg.1_#_177",NA,NA,NA,NA,"aurli_only"
"23","jgi|Aurli1|28527|fgenesh1_pg.1_#_184",NA,NA,NA,NA,"aurli_only"
"24","jgi|Aurli1|41686|fgenesh1_kg.1_#_106_#_isotig08304",NA,NA,NA,NA,"aurli_only"
"25","jgi|Aurli1|136126|estExt_fgenesh1_kg.C_1_t10109",NA,NA,NA,NA,"aurli_only"
"26","jgi|Aurli1|136129|estExt_fgenesh1_kg.C_1_t10112",NA,NA,NA,NA,"aurli_only"
"27","jgi|Aurli1|41692|fgenesh1_kg.1_#_112_#_isotig10328",NA,NA,NA,NA,"aurli_only"
"28","jgi|Aurli1|113588|fgenesh1_pm.1_#_109",NA,NA,NA,NA,"aurli_only"
"29","jgi|Aurli1|136133|estExt_fgenesh1_kg.C_1_t10116",NA,NA,NA,NA,"aurli_only"
"30","jgi|Aurli1|136142|estExt_fgenesh1_kg.C_1_t10125",NA,NA,NA,NA,"aurli_only"
"31","jgi|Aurli1|28562|fgenesh1_pg.1_#_219",NA,NA,NA,NA,"aurli_only"
"32","jgi|Aurli1|136143|estExt_fgenesh1_kg.C_1_t10126",NA,NA,NA,NA,"aurli_only"
"33","jgi|Aurli1|41712|fgenesh1_kg.1_#_132_#_isotig11780",NA,NA,NA,NA,"aurli_only"
"34","jgi|Aurli1|235|gm1.235_g",NA,NA,NA,NA,"aurli_only"
"35","jgi|Aurli1|143307|estExt_Genemark1.C_1_t10249",NA,NA,NA,NA,"aurli_only"
"36","jgi|Aurli1|262|gm1.262_g",NA,NA,NA,NA,"aurli_only"
"37","jgi|Aurli1|136170|estExt_fgenesh1_kg.C_1_t10153",NA,NA,NA,NA,"aurli_only"
"38","jgi|Aurli1|41733|fgenesh1_kg.1_#_153_#_isotig08474",NA,NA,NA,NA,"aurli_only"
"39","jgi|Aurli1|113626|fgenesh1_pm.1_#_147",NA,NA,NA,NA,"aurli_only"
"40","jgi|Aurli1|277|gm1.277_g",NA,NA,NA,NA,"aurli_only"
"41","jgi|Aurli1|136175|estExt_fgenesh1_kg.C_1_t10158",NA,NA,NA,NA,"aurli_only"
"42","jgi|Aurli1|56069|gw1.1.730.1",NA,NA,NA,NA,"aurli_only"
"43","jgi|Aurli1|41747|fgenesh1_kg.1_#_167_#_isotig10982",NA,NA,NA,NA,"aurli_only"
"44","jgi|Aurli1|28634|fgenesh1_pg.1_#_291",NA,NA,NA,NA,"aurli_only"
"45","jgi|Aurli1|302|gm1.302_g",NA,NA,NA,NA,"aurli_only"
"46","jgi|Aurli1|136187|estExt_fgenesh1_kg.C_1_t10170",NA,NA,NA,NA,"aurli_only"
"47","jgi|Aurli1|68431|e_gw1.1.1020.1",NA,NA,NA,NA,"aurli_only"
"48","jgi|Aurli1|28641|fgenesh1_pg.1_#_298",NA,NA,NA,NA,"aurli_only"
"49","jgi|Aurli1|308|gm1.308_g",NA,NA,NA,NA,"aurli_only"
"50","jgi|Aurli1|28643|fgenesh1_pg.1_#_300",NA,NA,NA,NA,"aurli_only"
"51","jgi|Aurli1|136191|estExt_fgenesh1_kg.C_1_t10174",NA,NA,NA,NA,"aurli_only"
"52","jgi|Aurli1|322|gm1.322_g",NA,NA,NA,NA,"aurli_only"
"53","jgi|Aurli1|127487|estExt_fgenesh1_pg.C_1_t10335",NA,NA,NA,NA,"aurli_only"
"54","jgi|Aurli1|357|gm1.357_g",NA,NA,NA,NA,"aurli_only"
