qseqid,Orthogroup
10000,OG0184004
100010,OG0006673
10003,OG0002573
10005,OG0000268
10011,OG0034748
100140,OG0005030
10015,OG0010670
100167,OG0003840
100178,OG0000747
100281,OG0003528
100312,OG0001844
10032,OG0097820
10034,OG0143924
100340,OG0001639
100463,OG0001300
10047,OG0004551
10049,OG0008339
100505,OG0001430
100519,OG0000001
10054,OG0005348
100593,OG0005784
100667,OG0011915
10067,OG0029152
100711,OG0001892
100753,OG0097530
10076,OG0481986
10079,OG0481988
100846,OG0003003
10085,OG0013420
10086,OG0013420
1009,OG0024364
10091,OG0064479
100914,OG0000029
100935,OG0000035
10095,OG0097823
10097,OG0116934
101003,OG0000015
101067,OG0002691
101078,OG0480755
101160,OG0051655
101201,OG0480759
10123,OG0009596
10125,OG0073199
10132,OG0250941
10133,OG0043243
10138,OG0008339
10139,OG0083917
10140,OG0068279
101425,OG0001713
10143,OG0007581
10147,OG0008573
101509,OG0000193
10161,OG0250942
101622,OG0008336
101653,OG0003967
10166,OG0003460
10173,OG0000366
101747,OG0022282
101750,OG0000652
10179,OG0097825
101851,OG0014418
101858,OG0000716
101936,OG0000716
10200,OG0000613
102011,OG0000185
102023,OG0001065
10207,OG0006234
102094,OG0000853
10212,OG0040000
10213,OG0482007
10214,OG0116940
102159,OG0000127
10226,OG0006412
102291,OG0006103
10231,OG0482013
10233,OG0032680
10234,OG0250943
102414,OG0002375
102422,OG0000384
102428,OG0001709
10246,OG0057442
10248,OG0482014
10250,OG0002351
10251,OG0116806
10253,OG0000544
102543,OG0001386
102562,OG0003559
1026,OG0116703
10260,OG0004905
102623,OG0000153
10263,OG0000543
10264,OG0000129
10268,OG0000537
102684,OG0001374
1027,OG0002669
102706,OG0002061
10274,OG0097828
102757,OG0005840
102789,OG0000004
1028,OG0250720
10281,OG0000258
102838,OG0001202
10284,OG0007419
102864,OG0000042
102883,OG0000811
10289,OG0005249
102895,OG0000012
10290,OG0015370
102913,OG0000422
10294,OG0026573
102949,OG0002203
103007,OG0000020
10303,OG0083920
103031,OG0003495
103046,OG0000032
10307,OG0097830
10308,OG0009833
10309,OG0009353
10310,OG0025409
103193,OG0043078
103220,OG0000090
10323,OG0000315
10324,OG0116945
10332,OG0042201
103353,OG0000001
103368,OG0000015
103378,OG0001003
103380,OG0024334
10342,OG0007267
10343,OG0116946
10345,OG0006412
103455,OG0011103
10346,OG0006412
103547,OG0001117
103583,OG0002631
10361,OG0482033
103626,OG0000753
10364,OG0000502
10365,OG0025379
103650,OG0000030
1037,OG0018629
10371,OG0482035
10377,OG0018029
10378,OG0032681
10382,OG0000984
10385,OG0007827
10386,OG0043234
10387,OG0043234
10391,OG0143932
10398,OG0003594
103990,OG0000164
103997,OG0000164
104016,OG0003300
10402,OG0000348
10404,OG0021842
10405,OG0001263
10406,OG0064483
104123,OG0000051
104130,OG0000271
104178,OG0000185
10418,OG0037190
10419,OG0037190
104211,OG0000099
10423,OG0073204
10424,OG0073204
10430,OG0016134
10437,OG0482045
10444,OG0073206
104459,OG0009123
104466,OG0027780
10448,OG0006412
104497,OG0013562
10451,OG0116725
10453,OG0097833
104533,OG0143816
10455,OG0184008
104577,OG0004300
10459,OG0064484
1046,OG0480764
10460,OG0116948
10461,OG0482047
10465,OG0116946
104678,OG0000001
10468,OG0000078
104715,OG0016321
10474,OG0116585
104773,OG0002045
104785,OG0001311
10482,OG0057444
10486,OG0083861
104882,OG0000039
10489,OG0482052
104908,OG0001006
10491,OG0057330
10493,OG0037138
104965,OG0001557
10503,OG0037146
10504,OG0037146
105041,OG0000107
105049,OG0000868
10505,OG0037146
105065,OG0000101
10507,OG0037146
10508,OG0037146
105083,OG0000462
10512,OG0004416
105226,OG0000381
10524,OG0002457
105291,OG0000096
10534,OG0143935
105381,OG0004842
10539,OG0482056
10544,OG0184010
105487,OG0001980
10550,OG0097834
105514,OG0007318
10553,OG0000116
105535,OG0000282
105574,OG0000353
105585,OG0000476
10559,OG0097835
1056,OG0083688
105607,OG0000999
10567,OG0022655
10569,OG0008205
105729,OG0001369
10580,OG0097838
105818,OG0000075
10586,OG0482064
10590,OG0116951
105921,OG0002387
105931,OG0001051
10594,OG0143938
10599,OG0250951
106013,OG0001390
10607,OG0022275
10610,OG0001570
10611,OG0008339
10613,OG0015370
10618,OG0097839
106183,OG0002420
10620,OG0017021
10623,OG0020794
10624,OG0250952
106243,OG0006635
106259,OG0143858
106262,OG0000251
106283,OG0000161
106365,OG0002679
10642,OG0057393
106452,OG0000210
10648,OG0000574
10649,OG0000574
10650,OG0000574
106506,OG0000284
106529,OG0002004
10657,OG0051751
10662,OG0034797
106669,OG0004567
106688,OG0000027
1067,OG0097540
106712,OG0002601
106755,OG0009459
10677,OG0001863
1068,OG0183837
106800,OG0000600
10682,OG0036142
106824,OG0000762
10685,OG0000177
106883,OG0000095
10689,OG0250955
106896,OG0000047
10696,OG0008337
10699,OG0005620
107005,OG0000341
10703,OG0000319
10704,OG0097843
107058,OG0036245
10709,OG0482082
107117,OG0002545
10712,OG0017030
107122,OG0007045
10713,OG0003650
10717,OG0034751
10724,OG0023441
107242,OG0000077
107249,OG0000077
107289,OG0006964
10730,OG0482085
10731,OG0008339
10738,OG0003253
107407,OG0002251
10741,OG0008136
107413,OG0003768
10745,OG0097845
10747,OG0482089
107639,OG0000040
10765,OG0482091
10767,OG0000621
10770,OG0002966
10775,OG0143942
107800,OG0000012
107841,OG0000206
10785,OG0097846
10788,OG0116777
107891,OG0006076
107962,OG0000011
10801,OG0250957
108074,OG0003029
108155,OG0001035
10816,OG0000007
10817,OG0013424
108194,OG0001170
108201,OG0000296
108237,OG0002596
10827,OG0043248
108273,OG0001405
108284,OG0000182
108292,OG0000002
10848,OG0184013
10849,OG0183945
1085,OG0183838
10850,OG0051754
10851,OG0183960
108567,OG0002982
10860,OG0050810
108739,OG0000009
10885,OG0064489
10888,OG0482102
10892,OG0034147
10893,OG0072856
10895,OG0116959
10899,OG0040017
109,OG0032603
10902,OG0005249
10903,OG0184015
109054,OG0011434
109065,OG0003167
1091,OG0097541
10910,OG0116960
109147,OG0000777
109167,OG0003823
1092,OG0083689
109216,OG0000271
10929,OG0064491
109323,OG0000377
109325,OG0003754
109356,OG0001275
10937,OG0116961
109397,OG0002909
1094,OG0480771
10945,OG0482107
109495,OG0002149
1095,OG0183840
10950,OG0097851
109503,OG0002701
10967,OG0083939
