#transcriptId	proteinId	kogid	kogdefline	kogClass	kogGroup
119640	119640	KOG3450	Huntingtin interacting protein HYPK	General function prediction only 	POORLY CHARACTERIZED
44976	44976	KOG3449	60S acidic ribosomal protein P2	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
80745	80745	KOG3449	60S acidic ribosomal protein P2	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
28392	28392	KOG3448	Predicted snRNP core protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
139831	139831	KOG3448	Predicted snRNP core protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
47032	47032	KOG3446	NADH:ubiquinone oxidoreductase NDUFA2/B8 subunit	Energy production and conversion 	METABOLISM
46679	46679	KOG3445	Mitochondrial/chloroplast ribosomal protein 36a	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
150745	150745	KOG3444	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
58117	58117	KOG3442	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
47961	47961	KOG3440	"Ubiquinol cytochrome c reductase, subunit QCR7"	Energy production and conversion 	METABOLISM
10140	10140	KOG0505	"Myosin phosphatase, regulatory subunit"	"Posttranslational modification, protein turnover, chaperones "	CELLULAR PROCESSES AND SIGNALING
61021	61021	KOG0505	"Myosin phosphatase, regulatory subunit"	"Posttranslational modification, protein turnover, chaperones "	CELLULAR PROCESSES AND SIGNALING
142007	142007	KOG0505	"Myosin phosphatase, regulatory subunit"	"Posttranslational modification, protein turnover, chaperones "	CELLULAR PROCESSES AND SIGNALING
120062	120062	KOG3438	"DNA-directed RNA polymerase, subunit L"	Transcription 	INFORMATION STORAGE AND PROCESSING
142470	142470	KOG3436	60S ribosomal protein L35	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
2193	2193	KOG3435	Mitochondrial/chloroplast ribosomal protein L54/L37	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
8238	8238	KOG3434	60S ribosomal protein L22	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
29724	29724	KOG3434	60S ribosomal protein L22	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
140994	140994	KOG3434	60S ribosomal protein L22	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
10140	10140	KOG0505	"Myosin phosphatase, regulatory subunit"	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
61021	61021	KOG0505	"Myosin phosphatase, regulatory subunit"	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
142007	142007	KOG0505	"Myosin phosphatase, regulatory subunit"	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
44118	44118	KOG0526	"Nucleosome-binding factor SPN, POB3 subunit"	Transcription 	INFORMATION STORAGE AND PROCESSING
138489	138489	KOG0526	"Nucleosome-binding factor SPN, POB3 subunit"	Transcription 	INFORMATION STORAGE AND PROCESSING
149853	149853	KOG0526	"Nucleosome-binding factor SPN, POB3 subunit"	Transcription 	INFORMATION STORAGE AND PROCESSING
81536	81536	KOG3432	"Vacuolar H+-ATPase V1 sector, subunit F"	Energy production and conversion 	METABOLISM
