#proteinId	gotermId	goName	gotermType	goAcc
37	2233	peptidyl-prolyl cis-trans isomerase activity	molecular_function	GO:0003755
37	2975	cyclophilin	molecular_function	GO:0004600
37	12948	FK506-sensitive peptidyl-prolyl cis-trans isomerase	molecular_function	GO:0030051
37	17567	cyclophilin-type peptidyl-prolyl cis-trans isomerase activity	molecular_function	GO:0042027
41	3708	binding	molecular_function	GO:0005488
41	4927	transport	biological_process	GO:0006810
41	9320	membrane	cellular_component	GO:0016020
46	2290	catalytic activity	molecular_function	GO:0003824
46	5830	metabolic process	biological_process	GO:0008152
46	3004	phospholipase D activity	molecular_function	GO:0004630
122	9320	membrane	cellular_component	GO:0016020
165	3708	binding	molecular_function	GO:0005488
169	4283	electron transport	biological_process	GO:0006118
169	2890	flavin-containing monooxygenase activity	molecular_function	GO:0004499
169	23919	FAD binding	molecular_function	GO:0050660
169	23920	NADP binding	molecular_function	GO:0050661
169	9710	oxidoreductase activity	molecular_function	GO:0016491
190	3727	protein binding	molecular_function	GO:0005515
203	2176	DNA binding	molecular_function	GO:0003677
205	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
205	4143	carbohydrate metabolic process	biological_process	GO:0005975
216	3708	binding	molecular_function	GO:0005488
263	14021	phosphopantetheine binding	molecular_function	GO:0031177
265	2175	nucleic acid binding	molecular_function	GO:0003676
265	241	spliceosome assembly	biological_process	GO:0000245
265	2216	RNA binding	molecular_function	GO:0003723
265	3838	nucleus	cellular_component	GO:0005634
265	3930	cytoplasm	cellular_component	GO:0005737
265	4542	mRNA processing	biological_process	GO:0006397
269	2175	nucleic acid binding	molecular_function	GO:0003676
269	2826	1-phosphatidylinositol 4-kinase activity	molecular_function	GO:0004430
276	13917	heat shock protein binding	molecular_function	GO:0031072
276	4591	protein folding	biological_process	GO:0006457
276	24336	unfolded protein binding	molecular_function	GO:0051082
280	9367	mRNA metabolic process	biological_process	GO:0016071
280	13392	ribonucleoprotein complex	cellular_component	GO:0030529
298	3736	ATP binding	molecular_function	GO:0005524
298	10082	ATPase activity	molecular_function	GO:0016887
298	162	nucleotide binding	molecular_function	GO:0000166
298	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
298	4927	transport	biological_process	GO:0006810
298	9320	membrane	cellular_component	GO:0016020
298	9321	integral to membrane	cellular_component	GO:0016021
298	18135	ATPase activity, coupled to transmembrane movement of substances	molecular_function	GO:0042626
322	2175	nucleic acid binding	molecular_function	GO:0003676
322	3827	intracellular	cellular_component	GO:0005622
322	5939	zinc ion binding	molecular_function	GO:0008270
365	2636	calcium-dependent cysteine-type endopeptidase activity	molecular_function	GO:0004198
365	3827	intracellular	cellular_component	GO:0005622
365	4639	proteolysis	biological_process	GO:0006508
365	3043	protein kinase activity	molecular_function	GO:0004672
365	3736	ATP binding	molecular_function	GO:0005524
365	4602	protein amino acid phosphorylation	biological_process	GO:0006468
442	2715	exo-alpha-sialidase activity	molecular_function	GO:0004308
461	2233	peptidyl-prolyl cis-trans isomerase activity	molecular_function	GO:0003755
461	2975	cyclophilin	molecular_function	GO:0004600
461	12948	FK506-sensitive peptidyl-prolyl cis-trans isomerase	molecular_function	GO:0030051
461	17567	cyclophilin-type peptidyl-prolyl cis-trans isomerase activity	molecular_function	GO:0042027
467	14021	phosphopantetheine binding	molecular_function	GO:0031177
469	9710	oxidoreductase activity	molecular_function	GO:0016491
474	3043	protein kinase activity	molecular_function	GO:0004672
474	3736	ATP binding	molecular_function	GO:0005524
