"","qseqid","diff_Tscore","diff_E_Value","diff_P_Ident","perc_diff_Tscore","Group"
"1","jgi|Aurli1|104533|estExt_Genewise1Plus.C_6_t20086",NA,NA,NA,NA,"aurli_only"
"2","jgi|Aurli1|110557|estExt_Genewise1Plus.C_190048",NA,NA,NA,NA,"aurli_only"
"3","jgi|Aurli1|110565|estExt_Genewise1Plus.C_190063",NA,NA,NA,NA,"aurli_only"
"4","jgi|Aurli1|117796|fgenesh1_pm.13_#_54",NA,NA,NA,NA,"aurli_only"
"5","jgi|Aurli1|12458|gm1.12458_g",NA,NA,NA,NA,"aurli_only"
"6","jgi|Aurli1|13057|gm1.13057_g",NA,NA,NA,NA,"aurli_only"
"7","jgi|Aurli1|132432|estExt_fgenesh1_pg.C_130002",NA,NA,NA,NA,"aurli_only"
"8","jgi|Aurli1|13367|gm1.13367_g",NA,NA,NA,NA,"aurli_only"
"9","jgi|Aurli1|13557|gm1.13557_g",NA,NA,NA,NA,"aurli_only"
"10","jgi|Aurli1|136485|estExt_fgenesh1_kg.C_1_t10483",NA,NA,NA,NA,"aurli_only"
"11","jgi|Aurli1|137494|estExt_fgenesh1_kg.C_30359",NA,NA,NA,NA,"aurli_only"
"12","jgi|Aurli1|138666|estExt_fgenesh1_kg.C_70225",NA,NA,NA,NA,"aurli_only"
"13","jgi|Aurli1|141622|estExt_fgenesh1_kg.C_200016",NA,NA,NA,NA,"aurli_only"
"14","jgi|Aurli1|141780|estExt_fgenesh1_kg.C_200182",NA,NA,NA,NA,"aurli_only"
"15","jgi|Aurli1|142841|estExt_fgenesh1_kg.C_310024",NA,NA,NA,NA,"aurli_only"
"16","jgi|Aurli1|142932|estExt_fgenesh1_kg.C_340003",NA,NA,NA,NA,"aurli_only"
"17","jgi|Aurli1|142988|estExt_fgenesh1_kg.C_350007",NA,NA,NA,NA,"aurli_only"
"18","jgi|Aurli1|143109|estExt_fgenesh1_kg.C_1390019",NA,NA,NA,NA,"aurli_only"
"19","jgi|Aurli1|149883|estExt_Genemark1.C_180304",NA,NA,NA,NA,"aurli_only"
"20","jgi|Aurli1|150507|estExt_Genemark1.C_210184",NA,NA,NA,NA,"aurli_only"
"21","jgi|Aurli1|2807|gm1.2807_g",NA,NA,NA,NA,"aurli_only"
"22","jgi|Aurli1|30107|fgenesh1_pg.2_#_535",NA,NA,NA,NA,"aurli_only"
"23","jgi|Aurli1|30204|fgenesh1_pg.2_#_632",NA,NA,NA,NA,"aurli_only"
"24","jgi|Aurli1|30366|fgenesh1_pg.2_#_794",NA,NA,NA,NA,"aurli_only"
"25","jgi|Aurli1|32171|fgenesh1_pg.5_#_522",NA,NA,NA,NA,"aurli_only"
"26","jgi|Aurli1|3521|gm1.3521_g",NA,NA,NA,NA,"aurli_only"
"27","jgi|Aurli1|35921|fgenesh1_pg.12_#_248",NA,NA,NA,NA,"aurli_only"
"28","jgi|Aurli1|40630|fgenesh1_pg.28_#_64",NA,NA,NA,NA,"aurli_only"
"29","jgi|Aurli1|41268|fgenesh1_pg.34_#_132",NA,NA,NA,NA,"aurli_only"
"30","jgi|Aurli1|41357|fgenesh1_pg.35_#_76",NA,NA,NA,NA,"aurli_only"
"31","jgi|Aurli1|41562|fgenesh1_pg.77_#_2",NA,NA,NA,NA,"aurli_only"
"32","jgi|Aurli1|41982|fgenesh1_kg.1_#_402_#_isotig03918",NA,NA,NA,NA,"aurli_only"
