qseqid,Orthogroup
A0A1B3PEJ5;|A0A6S8BSM1.1|(obsolete);,OG0003785
A0A1J0I0B7;,OG0000246
A0A1J0I0C1;,OG0009292
A0A1J0I0C2;,OG0010903
A0A1J0I0D7;,OG0009292
A0A224ASZ0;,OG0016130
A0A2R5GLA2;|A0A6S8FCD2.1|(obsolete);,OG0000699
A0A2R5GR04;|A0A6S8DRH6.1|(obsolete);,OG0000253
A0A3S9VMC7;,OG0013798
A0A6S7ZD93.1|(obsolete);,OG0000092
A0A6S7ZE47.1|(obsolete);,OG0000173
A0A6S7ZE61.1|(obsolete);,OG0001027
A0A6S7ZE97.1|(obsolete);,OG0004421
A0A6S7ZEL4.1|(obsolete);,OG0012090
A0A6S7ZEU9.1|(obsolete);,OG0003432
A0A6S7ZF11.1|(obsolete);,OG0002967
A0A6S7ZF31.1|(obsolete);,OG0024933
A0A6S7ZF41.1|(obsolete);,OG0000525
A0A6S7ZF54.1|(obsolete);,OG0051672
A0A6S7ZFB1.1|(obsolete);,OG0034800
A0A6S7ZFQ3.1|(obsolete);,OG0000445
A0A6S7ZG02.1|(obsolete);,OG0000012
A0A6S7ZG11.1|(obsolete);,OG0019956
A0A6S7ZG13.1|(obsolete);,OG0251408
A0A6S7ZG15.1|(obsolete);,OG0001650
A0A6S7ZG49.1|(obsolete);,OG0009966
A0A6S7ZG73.1|(obsolete);,OG0002515
A0A6S7ZGB1.1|(obsolete);,OG0001293
A0A6S7ZGE1.1|(obsolete);,OG0003267
A0A6S7ZGF2.1|(obsolete);,OG0017510
A0A6S7ZGT4.1|(obsolete);,OG0004649
A0A6S7ZGU4.1|(obsolete);,OG0001002
A0A6S7ZGZ7.1|(obsolete);,OG0002970
A0A6S7ZH42.1|(obsolete);,OG0012564
A0A6S7ZH69.1|(obsolete);,OG0000702
A0A6S7ZHF0.1|(obsolete);,OG0003784
A0A6S7ZHI7.1|(obsolete);,OG0002575
A0A6S7ZHK6.1|(obsolete);,OG0001310
A0A6S7ZHK9.1|(obsolete);,OG0000915
A0A6S7ZI02.1|(obsolete);,OG0023459
A0A6S7ZI43.1|(obsolete);,OG0000135
A0A6S7ZI59.1|(obsolete);,OG0006799
A0A6S7ZI91.1|(obsolete);,OG0001352
A0A6S7ZI96.1|(obsolete);,OG0002056
A0A6S7ZIE5.1|(obsolete);,OG0002324
A0A6S7ZIR2.1|(obsolete);,OG0000015
A0A6S7ZIT5.1|(obsolete);,OG0006057
A0A6S7ZIU8.1|(obsolete);,OG0083830
A0A6S7ZIW7.1|(obsolete);,OG0002655
A0A6S7ZIX7.1|(obsolete);,OG0004591
A0A6S7ZJ20.1|(obsolete);,OG0000144
A0A6S7ZJ22.1|(obsolete);,OG0008465
A0A6S7ZJ35.1|(obsolete);,OG0007105
A0A6S7ZJ44.1|(obsolete);,OG0016559
A0A6S7ZJ51.1|(obsolete);,OG0000315
A0A6S7ZJ58.1|(obsolete);,OG0001750
A0A6S7ZJD8.1|(obsolete);,OG0023112
A0A6S7ZJE5.1|(obsolete);,OG0001072
A0A6S7ZJJ4.1|(obsolete);,OG0007786
A0A6S7ZJL2.1|(obsolete);,OG0000391
A0A6S7ZJM5.1|(obsolete);,OG0047048
A0A6S7ZJM6.1|(obsolete);,OG0004255
A0A6S7ZJY1.1|(obsolete);,OG0030814
A0A6S7ZJZ8.1|(obsolete);,OG0008838
A0A6S7ZK34.1|(obsolete);,OG0057376
A0A6S7ZK48.1|(obsolete);,OG0000894
A0A6S7ZK56.1|(obsolete);,OG0006190
A0A6S7ZK62.1|(obsolete);,OG0002790
A0A6S7ZK65.1|(obsolete);,OG0002754
A0A6S7ZK66.1|(obsolete);,OG0002708
