Column1,Tags,SeqName,Description,Length,#Hits,e-Value,sim mean,#GO,GO IDs,GO Names,Enzyme Codes,Enzyme Names,InterPro IDs,InterPro GO IDs,InterPro GO Names
TRUE,"[INTERPRO, NO-BLAST]",jgi|Aurli1|44040|fgenesh1_kg.6___256___isotig07750,---NA---,212,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",jgi|Aurli1|44535|fgenesh1_kg.8___129___isotig12259,---NA---,79,,,,,,,,,mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",jgi|Aurli1|48845|fgenesh1_kg.34___49___isotig06896,---NA---,400,,,,,,,,,mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, GO-SLIM]",jgi|Aurli1|58598|gw1.1.987.1,homocysteine S-methyltransferase,298,20,9.981E-153,59.09,1,F:GO:0016740,F:transferase activity,EC:2.1.1,Transferring one-carbon groups,IPR003726 (PFAM); IPR036589 (G3DSA:3.20.20.GENE3D); PTHR11103 (PANTHER); PTHR11103:SF10 (PANTHER); IPR003726 (PROSITE_PROFILES); IPR036589 (SUPERFAMILY),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, GO-SLIM]",jgi|Aurli1|41608|fgenesh1_kg.1___28___isotig10730,"Ndufa5, NADH-ubiquinone oxidoreductase subunit",111,20,2.6845E-57,73.07,2,P:GO:0006091; C:GO:0005739,P:generation of precursor metabolites and energy; C:mitochondrion,,,IPR006806 (PFAM); PTHR12653:SF0 (PANTHER); IPR006806 (PANTHER),P:GO:0022904,P:respiratory electron transport chain
TRUE,"[INTERPRO, BLASTED, MAPPED, GO-SLIM]",jgi|Aurli1|136048|estExt_fgenesh1_kg.C_1_t10031,DEAD/DEAH box RNA helicase,1181,20,0,54.96,1,F:GO:0140657,F:ATP-dependent activity,,,IPR011545 (PFAM); IPR027417 (G3DSA:3.40.50.GENE3D); IPR027417 (G3DSA:3.40.50.GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR44533 (PANTHER); PTHR44533:SF4 (PANTHER); IPR014001 (PROSITE_PROFILES); IPR027417 (SUPERFAMILY),F:GO:0003676; F:GO:0005524,F:nucleic acid binding; F:ATP binding
TRUE,"[INTERPRO, BLASTED, MAPPED, GO-SLIM]",jgi|Aurli1|136098|estExt_fgenesh1_kg.C_1_t10081,Phosphoribosylformylglycinamidine synthase,1358,20,0,72.17,4,P:GO:0006520; P:GO:0055086; P:GO:1901135; F:GO:0016874,P:cellular amino acid metabolic process; P:nucleobase-containing small molecule metabolic process; P:carbohydrate derivative metabolic process; F:ligase activity,EC:6.3.5.3,Phosphoribosylformylglycinamidine synthase,IPR010073 (TIGRFAM); IPR036921 (G3DSA:3.30.1330.GENE3D); IPR029062 (G3DSA:3.40.50.GENE3D); IPR041609 (PFAM); IPR036676 (G3DSA:3.90.650.GENE3D); G3DSA:1.10.8.750 (GENE3D); IPR036676 (G3DSA:3.90.650.GENE3D); IPR010918 (PFAM); PF13507 (PFAM); IPR040707 (PFAM); IPR036921 (G3DSA:3.30.1330.GENE3D); PTHR10099 (PANTHER); PS51273 (PROSITE_PROFILES); IPR010073 (HAMAP); cd01740 (CDD); cd02204 (CDD); cd02203 (CDD); IPR029062 (SUPERFAMILY); SSF109736 (SUPERFAMILY); IPR036676 (SUPERFAMILY); IPR036604 (SUPERFAMILY); IPR036921 (SUPERFAMILY); IPR036921 (SUPERFAMILY); IPR036676 (SUPERFAMILY),P:GO:0006189; F:GO:0004642,P:'de novo' IMP biosynthetic process; F:phosphoribosylformylglycinamidine synthase activity
TRUE,"[INTERPRO, BLASTED, MAPPED]",jgi|Aurli1|243|gm1.243_g,predicted protein,287,20,6.2027E-140,50.64,11,P:GO:0006351; P:GO:0008033; P:GO:0042779; P:GO:0090502; F:GO:0003677; F:GO:0003899; F:GO:0004518; F:GO:0004519; F:GO:0016787; F:GO:0016891; F:GO:0046872,"P:transcription, DNA-templated; P:tRNA processing; P:tRNA 3'-trailer cleavage; P:RNA phosphodiester bond hydrolysis, endonucleolytic; F:DNA binding; F:DNA-directed 5'-3' RNA polymerase activity; F:nuclease activity; F:endonuclease activity; F:hydrolase activity; F:endoribonuclease activity, producing 5'-phosphomonoesters; F:metal ion binding",,,IPR013078 (PFAM); IPR029033 (G3DSA:3.40.50.GENE3D); PTHR16469:SF27 (PANTHER); PTHR16469 (PANTHER); cd07040 (CDD); IPR029033 (SUPERFAMILY),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",jgi|Aurli1|136161|estExt_fgenesh1_kg.C_1_t10144,ubiquitin-conjugating enzyme E2,147,20,1.22902E-92,68.8,,,,,,IPR016135 (G3DSA:3.10.110.GENE3D); IPR000608 (PFAM); mobidb-lite (MOBIDB_LITE); PTHR24068:SF121 (PANTHER); PTHR24068 (PANTHER); IPR000608 (PROSITE_PROFILES); IPR000608 (CDD); IPR016135 (SUPERFAMILY),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",jgi|Aurli1|69580|e_gw1.1.732.1,"flagellar microtugule protofilament ribbon protein, putative",394,20,0,54.1,1,F:GO:0005509,F:calcium ion binding,,,G3DSA:2.30.29.170 (GENE3D); IPR006602 (PFAM); IPR040193 (PANTHER); PTHR12086:SF11 (PANTHER); IPR006602 (PROSITE_PROFILES); IPR006602 (PROSITE_PROFILES); IPR006602 (PROSITE_PROFILES),no GO terms,no GO terms
