protein,Fasta_headers,T0.1,T0.2,T0.3,T2.1,T2.2,T2.3,T4.1,T4.2,T4.3,T6.1,T6.2,T6.3,T8.1,T8.2,T8.3
A0A6S8BSM1,tr|A0A6S8BSM1|A0A6S8BSM1_9STRA ACPS domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_5147 PE=4 SV=1;tr|A0A1B3PEJ5|A0A1B3PEJ5_9STRA Phosphopantetheinyl transferase OS=Aurantiochytrium limacinum ATCC MYA-1381 OX=717989 GN=PPTase ,25176.71259,164147.885,143451.0903,26195.92944,143405.2361,144912.3451,31014.31551,170720.794,135878.9002,30704.5347,189347.0266,140461.7009,34447.37509,220250,155181.6656
A0A1J0I0B7,tr|A0A1J0I0B7|A0A1J0I0B7_9STRA Tubulin beta chain OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_15402 PE=2 SV=1;tr|A0A6S8GM49|A0A6S8GM49_9STRA Tubulin beta chain (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_15408 PE=3 SV=1,8897566.408,771483.6048,1161243.723,5021249.131,425199.0586,635452.199,4283046.764,315490.555,625052.2185,4347323.669,332323.5642,665338.4983,4572761.415,322360,670631.2139
A0A1J0I0C1,tr|A0A1J0I0C1|A0A1J0I0C1_9STRA Polyunsaturated fatty acid synthase subunit B (Fragment) OS=Aurantiochytrium limacinum OX=87102 PE=4 SV=1,380522.4536,517281.5707,728031.8661,348131.9231,430590.6901,701322.5363,352790.5115,452249.3027,743420.0545,355109.6432,468139.8767,770423.3084,418487.1422,536750,896861.2017
A0A1J0I0C2,tr|A0A1J0I0C2|A0A1J0I0C2_9STRA 3-oxoacyl-[acyl-carrier-protein] reductase (Fragment) OS=Aurantiochytrium limacinum OX=87102 PE=3 SV=1;tr|A0A6S8DCG0|A0A6S8DCG0_9STRA 3-oxoacyl-[acyl-carrier-protein] reductase OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00,3436581.489,3775420.447,5069338.745,2178508.646,2286680.1,2844313.766,2243988.878,2452706.823,2912750.992,2223389.558,2325156.203,2821638.428,2289332.472,2445600,2967529.989
A0A1J0I0D7,tr|A0A1J0I0D7|A0A1J0I0D7_9STRA 3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA (Fragment) OS=Aurantiochytrium limacinum OX=87102 PE=3 SV=1,1110397.542,1337161.883,1568478.749,952371.0291,1097683.471,1211817.651,1120596.434,1301523.257,1425122.305,1092667.504,1303658.371,1418967.209,1235074.572,1465000,1661773.814
A0A224ASZ0,tr|A0A224ASZ0|A0A224ASZ0_9STRA Thraustochytrid-specific lipid droplet protein 1 OS=Aurantiochytrium limacinum OX=87102 GN=TLDP1 PE=4 SV=1,3104721.008,2849201.019,2647367.979,3153841.483,3188258.178,2787384.344,2772379.701,2723357.015,2348801.951,2227591.901,2149621.883,1830501.75,2593167.451,2509600,2189711.439
A0A3S9VMC7,tr|A0A3S9VMC7|A0A3S9VMC7_9STRA Polyketide synthase 3 OS=Aurantiochytrium limacinum OX=87102 PE=4 SV=1;tr|A0A6S8FNH8|A0A6S8FNH8_9STRA Uncharacterized protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_13554 PE=4 SV=1;tr|A0A1J0I0D0|A0A1J0,2142325.611,2973867.882,2069865.606,1725857.553,2401302.942,1718309.728,1856823.906,2504434.526,1807118.633,1911540.7,2647210.906,1874646.856,2285396.786,3161400,2265762.155
A0A6S7ZD93,tr|A0A6S7ZD93|A0A6S7ZD93_9STRA GyrI-like domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_67 PE=4 SV=1,29666.91024,134909.401,124518.6319,23277.89026,135145.4998,109771.9104,24237.00967,107407.6353,90333.89787,17973.77052,90025.06606,68035.75633,19422.61168,90530,75839.39793
A0A6S7ZE18,tr|A0A6S7ZE18|A0A6S7ZE18_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_30 PE=4 SV=1,2600227.684,1654461.005,1927730.373,1568331.537,1077616.873,1216971.261,1870200.889,1132100.499,1361456.251,1601617.915,1035341.625,1296990.511,2227710.87,1394900,1687084.256
A0A6S7ZE47,tr|A0A6S7ZE47|A0A6S7ZE47_9STRA Glutaredoxin domain-containing protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_36 PE=4 SV=1,384260.6522,347081.7109,277952.085,417721.6605,385775.287,301018.8123,466790.914,463098.5588,357967.9007,562209.2696,550788.1492,442995.5306,601035.5157,601490,483883.1286
