"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"140","jgi|Aurli1|138233|estExt_fgenesh1_kg.C_60084","14-3-3","PF00244.22",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000066,321.9,17,247,2,222,222
"154","jgi|Aurli1|141123|estExt_fgenesh1_kg.C_170097","14-3-3","PF00244.22",0.0000000000000000000000000000000000000000000000000000000000000000000017,238.8,20,253,2,221,222
"161","jgi|Aurli1|47956|fgenesh1_kg.23_#_5_#_isotig04245","14-3-3","PF00244.22",0.000000000000000000000000000000000000000000000000000000000093,203.7,178,268,1,91,222
"162","jgi|Aurli1|47956|fgenesh1_kg.23_#_5_#_isotig04245","14-3-3","PF00244.22",0.000000000000000000000000000000000000000000000000000000000093,203.7,317,464,78,222,222
"168","jgi|Aurli1|138540|estExt_fgenesh1_kg.C_70095","14-3-3","PF00244.22",0.000000000000000000000000000000000000000000004,159.1,42,250,2,196,222
"291","jgi|Aurli1|44289|fgenesh1_kg.7_#_195_#_isotig00680","2-Hacid_dh","PF00389.32",0.0000000000000000051,70,100,382,39,134,134
"296","jgi|Aurli1|139055|estExt_fgenesh1_kg.C_90026","2-Hacid_dh","PF00389.32",0.000000000000000031,67.5,89,390,13,130,134
"476","jgi|Aurli1|139055|estExt_fgenesh1_kg.C_90026","2-Hacid_dh_C","PF02826.21",0.00000000000000000000000000000000000000000000000024,172.1,184,362,2,178,178
"592","jgi|Aurli1|48720|fgenesh1_kg.31_#_41_#_isotig05865","2-Hacid_dh_C","PF02826.21",0.00000000000000000000000000000000000029,132.7,132,306,2,178,178
"609","jgi|Aurli1|44289|fgenesh1_kg.7_#_195_#_isotig00680","2-Hacid_dh_C","PF02826.21",0.000000000000000000000000000000000063,125.1,198,350,24,178,178
"2884","jgi|Aurli1|43066|fgenesh1_kg.3_#_324_#_isotig06963","3-HAO","PF06052.14",0.0000000000000000000000000000000000000000000000019,169,3,150,5,149,151
"4230","jgi|Aurli1|2590|gm1.2590_g","4HBT_3","PF13622.8",0.00000000000000000000000000000000000000000000000000000068,192.1,65,341,3,250,250
"4239","jgi|Aurli1|132853|estExt_fgenesh1_pg.C_140171","4HBT_3","PF13622.8",0.00000000000000000000000000000000000015,135.3,69,365,10,250,250
"4245","jgi|Aurli1|33555|fgenesh1_pg.8_#_93","4HBT_3","PF13622.8",0.000000000000000000000000000018,108.9,28,289,2,247,250
"4249","jgi|Aurli1|5288|gm1.5288_g","4HBT_3","PF13622.8",0.00000000000000000000000038,94.7,36,289,10,247,250
"4664","jgi|Aurli1|114447|fgenesh1_pm.2_#_270","60KD_IMP","PF02096.22",0.000000000000000000000000000000000066,125.5,64,256,1,164,166
"4717","jgi|Aurli1|139354|estExt_fgenesh1_kg.C_100023","60KD_IMP","PF02096.22",0.0000000000036,51.6,242,447,1,164,166
"5682","jgi|Aurli1|142895|estExt_fgenesh1_kg.C_320024","AAA","PF00004.31",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000091,315.9,234,363,1,131,132
"5683","jgi|Aurli1|142895|estExt_fgenesh1_kg.C_320024","AAA","PF00004.31",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000091,315.9,507,639,1,131,132
"5686","jgi|Aurli1|141563|estExt_fgenesh1_kg.C_190120","AAA","PF00004.31",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033,314.1,228,375,1,130,132
"5687","jgi|Aurli1|141563|estExt_fgenesh1_kg.C_190120","AAA","PF00004.31",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033,314.1,530,660,1,131,132
"5864","jgi|Aurli1|139790|estExt_fgenesh1_kg.C_110141","AAA","PF00004.31",0.00000000000000000000000000000000000000000000000000000000000000000000000000000011,270.3,251,386,1,131,132
"5865","jgi|Aurli1|139790|estExt_fgenesh1_kg.C_110141","AAA","PF00004.31",0.00000000000000000000000000000000000000000000000000000000000000000000000000000011,270.3,529,662,1,130,132
"5962","jgi|Aurli1|43117|fgenesh1_kg.4_#_10_#_isotig04045","AAA","PF00004.31",0.000000000000000000000000000000000000000000000000000000000076,202.9,33,170,1,130,132
"5963","jgi|Aurli1|43117|fgenesh1_kg.4_#_10_#_isotig04045","AAA","PF00004.31",0.000000000000000000000000000000000000000000000000000000000076,202.9,314,450,1,132,132
"5970","jgi|Aurli1|140928|estExt_fgenesh1_kg.C_160100","AAA","PF00004.31",0.00000000000000000000000000000000000000000000000000000000027,201.1,399,521,1,130,132
"5971","jgi|Aurli1|140928|estExt_fgenesh1_kg.C_160100","AAA","PF00004.31",0.00000000000000000000000000000000000000000000000000000000027,201.1,708,838,1,130,132
"6010","jgi|Aurli1|49863|gw1.6.35.1","AAA","PF00004.31",0.00000000000000000000000000000000000000000000000000000014,192.3,9,173,1,131,132
"6011","jgi|Aurli1|49863|gw1.6.35.1","AAA","PF00004.31",0.00000000000000000000000000000000000000000000000000000014,192.3,327,454,1,129,132
"6107","jgi|Aurli1|141029|estExt_fgenesh1_kg.C_160202","AAA","PF00004.31",0.000000000000000000000000000000000000000000000000017,175.9,259,403,1,131,132
"6108","jgi|Aurli1|141029|estExt_fgenesh1_kg.C_160202","AAA","PF00004.31",0.000000000000000000000000000000000000000000000000017,175.9,544,660,1,117,132
"6192","jgi|Aurli1|46325|fgenesh1_kg.14_#_189_#_isotig03753","AAA","PF00004.31",0.0000000000000000000000000000000000000000000047,158.3,59,205,2,124,132
"6193","jgi|Aurli1|46325|fgenesh1_kg.14_#_189_#_isotig03753","AAA","PF00004.31",0.0000000000000000000000000000000000000000000047,158.3,340,473,1,129,132
"6232","jgi|Aurli1|136164|estExt_fgenesh1_kg.C_1_t10147","AAA","PF00004.31",0.00000000000000000000000000000000000000000011,153.8,189,321,1,131,132
"6379","jgi|Aurli1|41800|fgenesh1_kg.1_#_220_#_isotig04941","AAA","PF00004.31",0.000000000000000000000000000000000000000014,147.1,185,317,1,131,132
"6415","jgi|Aurli1|44322|fgenesh1_kg.7_#_228_#_isotig04312","AAA","PF00004.31",0.000000000000000000000000000000000000000023,146.3,156,285,1,132,132
"6416","jgi|Aurli1|138864|estExt_fgenesh1_kg.C_80116","AAA","PF00004.31",0.000000000000000000000000000000000000000023,146.3,243,374,1,131,132
"6434","jgi|Aurli1|139450|estExt_fgenesh1_kg.C_100120","AAA","PF00004.31",0.000000000000000000000000000000000000000034,145.8,221,354,1,132,132
"6462","jgi|Aurli1|136542|estExt_fgenesh1_kg.C_1_t20042","AAA","PF00004.31",0.000000000000000000000000000000000000000067,144.8,466,598,2,131,132
"6505","jgi|Aurli1|86303|e_gw1.37.6.1","AAA","PF00004.31",0.00000000000000000000000000000000000000019,143.4,241,370,1,131,132
"6591","jgi|Aurli1|136539|estExt_fgenesh1_kg.C_1_t20039","AAA","PF00004.31",0.0000000000000000000000000000000000000014,140.5,173,306,1,132,132
"6710","jgi|Aurli1|79361|e_gw1.13.38.1","AAA","PF00004.31",0.000000000000000000000000000000000000016,137.2,147,278,1,131,132
"6716","jgi|Aurli1|141950|estExt_fgenesh1_kg.C_210138","AAA","PF00004.31",0.000000000000000000000000000000000000018,137,215,349,2,131,132
"6724","jgi|Aurli1|137525|estExt_fgenesh1_kg.C_40031","AAA","PF00004.31",0.000000000000000000000000000000000000023,136.6,233,365,1,131,132
"6733","jgi|Aurli1|85143|e_gw1.27.19.1","AAA","PF00004.31",0.000000000000000000000000000000000000028,136.4,63,194,1,132,132
"6746","jgi|Aurli1|137878|estExt_fgenesh1_kg.C_50074","AAA","PF00004.31",0.000000000000000000000000000000000000043,135.8,166,296,1,132,132
"6950","jgi|Aurli1|115104|fgenesh1_pm.4_#_100","AAA","PF00004.31",0.000000000000000000000000000000000048,125.9,156,291,1,131,132
"6957","jgi|Aurli1|50802|gw1.16.41.1","AAA","PF00004.31",0.000000000000000000000000000000000054,125.7,78,213,1,131,132
"7053","jgi|Aurli1|59193|gw1.1.1057.1","AAA","PF00004.31",0.0000000000000000000000000000000023,120.5,49,180,1,131,132
"7054","jgi|Aurli1|45565|fgenesh1_kg.11_#_224_#_isotig08503","AAA","PF00004.31",0.0000000000000000000000000000000026,120.3,23,150,1,132,132
"7087","jgi|Aurli1|62373|gw1.17.344.1","AAA","PF00004.31",0.000000000000000000000000000000018,117.5,84,229,1,131,132
"7146","jgi|Aurli1|53479|gw1.6.194.1","AAA","PF00004.31",0.00000000000000000000000000000035,113.4,41,174,1,123,132
"7387","jgi|Aurli1|45683|fgenesh1_kg.12_#_48_#_isotig00452","AAA","PF00004.31",0.0000000000000000000000015,91.9,135,248,2,111,132
"7388","jgi|Aurli1|45683|fgenesh1_kg.12_#_48_#_isotig00452","AAA","PF00004.31",0.0000000000000000000000015,91.9,538,658,2,112,132
"7414","jgi|Aurli1|99677|estExt_Genewise1.C_300140","AAA","PF00004.31",0.0000000000000000000000045,90.4,305,442,1,127,132
"7469","jgi|Aurli1|141388|estExt_fgenesh1_kg.C_180167","AAA","PF00004.31",0.000000000000000000000027,87.9,205,317,2,111,132
"7470","jgi|Aurli1|141388|estExt_fgenesh1_kg.C_180167","AAA","PF00004.31",0.000000000000000000000027,87.9,609,739,2,123,132
"7473","jgi|Aurli1|76216|e_gw1.9.770.1","AAA","PF00004.31",0.00000000000000000000003,87.7,1323,1357,1,35,132
"7483","jgi|Aurli1|38284|fgenesh1_pg.18_#_288","AAA","PF00004.31",0.000000000000000000000043,87.2,193,305,2,111,132
"7484","jgi|Aurli1|38284|fgenesh1_pg.18_#_288","AAA","PF00004.31",0.000000000000000000000043,87.2,597,730,2,123,132
"7520","jgi|Aurli1|136268|estExt_fgenesh1_kg.C_1_t10252","AAA","PF00004.31",0.00000000000000000000011,85.8,205,317,2,111,132
"7521","jgi|Aurli1|136268|estExt_fgenesh1_kg.C_1_t10252","AAA","PF00004.31",0.00000000000000000000011,85.8,609,729,2,112,132
"7557","jgi|Aurli1|71966|e_gw1.3.686.1","AAA","PF00004.31",0.00000000000000000000075,83.2,303,427,2,130,132
"7709","jgi|Aurli1|80405|e_gw1.15.294.1","AAA","PF00004.31",0.000000000000000000093,76.4,530,667,1,126,132
"7716","jgi|Aurli1|62075|gw1.8.504.1","AAA","PF00004.31",0.00000000000000000011,76.2,158,284,1,131,132
"7841","jgi|Aurli1|45030|fgenesh1_kg.10_#_17_#_isotig03898","AAA","PF00004.31",0.00000000000000059,64.1,309,386,1,73,132
"7842","jgi|Aurli1|45030|fgenesh1_kg.10_#_17_#_isotig03898","AAA","PF00004.31",0.00000000000000059,64.1,515,570,75,130,132
"7864","jgi|Aurli1|57297|gw1.20.259.1","AAA","PF00004.31",0.0000000000000014,62.9,38,182,2,128,132
"7866","jgi|Aurli1|76512|e_gw1.9.73.1","AAA","PF00004.31",0.0000000000000015,62.8,48,166,1,130,132
"7940","jgi|Aurli1|139347|estExt_fgenesh1_kg.C_100016","AAA","PF00004.31",0.000000000000021,59.1,123,196,1,69,132
