MMETSP_ID,JGI_ID,Percent_Identity,Annotations
GBG35049.1,100010,70.4,GBG35049.1 Lactamase-like protein nscB [Hondaea fermentalgiana]
GBG34025.1,10003,68.1,GBG34025.1 Set1/Ash2 histone methyltransferase complex subunit ASH2 [Hondaea fermentalgiana]
NQV23657.1,10005,33.5,NQV23657.1 sulfatase [Rhodopirellula sp.]
GBG24704.1,10011,56.9,"GBG24704.1 Alpha-1,3/1,6-mannosyltransferase ALG2 [Hondaea fermentalgiana]"
GBG29621.1,100140,80.4,GBG29621.1 Golgi SNAP receptor complex member 2 [Hondaea fermentalgiana]
GBG29609.1,100167,87.4,GBG29609.1 ER lumen protein-retaining receptor [Hondaea fermentalgiana]
GBG32729.1,100178,78.2,GBG32729.1 Methylenetetrahydrofolate reductase 1 [Hondaea fermentalgiana]
GBG29219.1,100281,75.9,GBG29219.1 Trafficking protein particle complex subunit 6B [Hondaea fermentalgiana]
GBG27243.1,100312,72.8,GBG27243.1 NEDD8-activating enzyme E1 regulatory subunit [Hondaea fermentalgiana]
GBG24691.1,10032,45.3,GBG24691.1 Pre-mRNA-processing factor 40-like B [Hondaea fermentalgiana]
GBG27224.1,100340,55.1,GBG27224.1 GTPase-activating protein and VPS9 domain-containing protein 1 [Hondaea fermentalgiana]
GBG24691.1,10034,58.8,GBG24691.1 Pre-mRNA-processing factor 40-like B [Hondaea fermentalgiana]
GBG34460.1,100463,63.3,GBG34460.1 Phospholipase D alpha 1 [Hondaea fermentalgiana]
GBG28036.1,10047,73.2,GBG28036.1 Hypothetical Protein FCC1311_042592 [Hondaea fermentalgiana]
GBG25211.1,100505,51,GBG25211.1 Zinc phosphodiesterase ELAC protein 2 [Hondaea fermentalgiana]
GBG25229.1,100519,83.6,"GBG25229.1 Kinesin, putative [Hondaea fermentalgiana]"
GBG28041.1,10054,32.1,GBG28041.1 Hypothetical Protein FCC1311_042642 [Hondaea fermentalgiana]
GBG23946.1,100593,74.7,GBG23946.1 Leucine-rich repeat-containing protein 40 [Hondaea fermentalgiana]
GBG34712.1,100667,55.4,GBG34712.1 Transmembrane protein 180 [Hondaea fermentalgiana]
GBG28050.1,10067,30.7,GBG28050.1 Hypothetical Protein FCC1311_042732 [Hondaea fermentalgiana]
GBG27305.1,100711,96,GBG27305.1 40S ribosomal protein S13 [Hondaea fermentalgiana]
GBG28378.1,100846,68.8,GBG28378.1 Replication factor C subunit 1 [Hondaea fermentalgiana]
GBG28012.1,10085,51.3,GBG28012.1 Hypothetical Protein FCC1311_042352 [Hondaea fermentalgiana]
GBG28012.1,10086,45.2,GBG28012.1 Hypothetical Protein FCC1311_042352 [Hondaea fermentalgiana]
GBG28331.1,100914,81.8,"GBG28331.1 Peroxisomal 2,4-dienoyl-CoA reductase [Hondaea fermentalgiana]"
GBG28006.1,10091,60.9,GBG28006.1 Hypothetical Protein FCC1311_042292 [Hondaea fermentalgiana]
NWQ64758.1,100935,97.4,NWQ64758.1 UBIQP protein [Neopipo cinnamomea]
GBG28002.1,10095,45.7,GBG28002.1 Hypothetical Protein FCC1311_042252 [Hondaea fermentalgiana]
GBG28000.1,10097,50.6,GBG28000.1 Hypothetical Protein FCC1311_042232 [Hondaea fermentalgiana]
GBG34729.1,1009,55.3,GBG34729.1 Conserved oligomeric Golgi complex subunit 1 [Hondaea fermentalgiana]
GBG28284.1,101003,84.2,GBG28284.1 Kelch domain-containing protein 10 [Hondaea fermentalgiana]
GBG28219.1,101067,60.8,GBG28219.1 Myosin-12 [Hondaea fermentalgiana]
GBG27979.1,10123,53.6,GBG27979.1 Calcineurin B-like protein 4 [Hondaea fermentalgiana]
GBG27981.1,10125,59,GBG27981.1 Hybrid signal transduction histidine kinase K [Hondaea fermentalgiana]
NHO35990.1,10133,33.5,NHO35990.1 hypothetical protein [Acetobacter sp. LMG 1636]
GBG31715.1,101425,62.1,GBG31715.1 Shewanella-like protein phosphatase 2 [Hondaea fermentalgiana]
GBG34232.1,10143,66.2,GBG34232.1 Hypothetical Protein FCC1311_104562 [Hondaea fermentalgiana]
GBG32008.1,10147,50.1,GBG32008.1 Coiled-coil domain-containing protein 17 [Hondaea fermentalgiana]
GBG30258.1,101509,49.8,GBG30258.1 Glutathione S-transferase [Hondaea fermentalgiana]
GBG32322.1,10161,42,GBG32322.1 Hypothetical Protein FCC1311_085472 [Hondaea fermentalgiana]
GBG30348.1,101622,56.2,GBG30348.1 Hypothetical Protein FCC1311_065672 [Hondaea fermentalgiana]
GBG27519.1,101653,70.8,GBG27519.1 Hypothetical Protein FCC1311_037422 [Hondaea fermentalgiana]
GBG32326.1,10166,78.9,GBG32326.1 Splicing factor 3A subunit 2 [Hondaea fermentalgiana]
GBG32331.1,10173,49.4,GBG32331.1 Sodium channel protein type 1 subunit alpha [Hondaea fermentalgiana]
VBB17613.1,101747,40.3,VBB17613.1 hypothetical protein YASMINEVIRUS_76 [Yasminevirus sp. GU-2018]
GBG31744.1,101750,76.2,GBG31744.1 Protein VAC14-like [Hondaea fermentalgiana]
