"qseqid","diff_Tscore","diff_E_Value","diff_P_Ident","perc_diff_Tscore","Group"
"ENA|CAB5729407|CAB5729407.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5729482|CAB5729482.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5730584|CAB5730584.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5731019|CAB5731019.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5731045|CAB5731045.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5731430|CAB5731430.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5731529|CAB5731529.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5731608|CAB5731608.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5732286|CAB5732286.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5732702|CAB5732702.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5735670|CAB5735670.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5736261|CAB5736261.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5737184|CAB5737184.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5737353|CAB5737353.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5737531|CAB5737531.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5738300|CAB5738300.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5738504|CAB5738504.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5739848|CAB5739848.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5740328|CAB5740328.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5741150|CAB5741150.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5741322|CAB5741322.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5741677|CAB5741677.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5741732|CAB5741732.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5741864|CAB5741864.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5742169|CAB5742169.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5742303|CAB5742303.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5742504|CAB5742504.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5742622|CAB5742622.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5743165|CAB5743165.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5743773|CAB5743773.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5743890|CAB5743890.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5744041|CAB5744041.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5745154|CAB5745154.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5745236|CAB5745236.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5745839|CAB5745839.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5745877|CAB5745877.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5746117|CAB5746117.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5747018|CAB5747018.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5747660|CAB5747660.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5747797|CAB5747797.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5747804|CAB5747804.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5747843|CAB5747843.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5747878|CAB5747878.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5748156|CAB5748156.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5748482|CAB5748482.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5748651|CAB5748651.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5748940|CAB5748940.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5749032|CAB5749032.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5749100|CAB5749100.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5749105|CAB5749105.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5749262|CAB5749262.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5749264|CAB5749264.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5750005|CAB5750005.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5750046|CAB5750046.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5750171|CAB5750171.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5750306|CAB5750306.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5750463|CAB5750463.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5750535|CAB5750535.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5750821|CAB5750821.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5750862|CAB5750862.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5751108|CAB5751108.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5751523|CAB5751523.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5751559|CAB5751559.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5751753|CAB5751753.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5751777|CAB5751777.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5751901|CAB5751901.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5751906|CAB5751906.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5752265|CAB5752265.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5752437|CAB5752437.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5752939|CAB5752939.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5752943|CAB5752943.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5753103|CAB5753103.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5753198|CAB5753198.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5753982|CAB5753982.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5754126|CAB5754126.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5754130|CAB5754130.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5754559|CAB5754559.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5754806|CAB5754806.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5755114|CAB5755114.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5755125|CAB5755125.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5755142|CAB5755142.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5755498|CAB5755498.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5755942|CAB5755942.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5756248|CAB5756248.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5756837|CAB5756837.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5757261|CAB5757261.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5757394|CAB5757394.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5757617|CAB5757617.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5757840|CAB5757840.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5757952|CAB5757952.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5758281|CAB5758281.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5758295|CAB5758295.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5758330|CAB5758330.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5758362|CAB5758362.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5758761|CAB5758761.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5759072|CAB5759072.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5759090|CAB5759090.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5759095|CAB5759095.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5759303|CAB5759303.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5759598|CAB5759598.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5759682|CAB5759682.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5759951|CAB5759951.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5760207|CAB5760207.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5760561|CAB5760561.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5760565|CAB5760565.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5760569|CAB5760569.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5760816|CAB5760816.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5761286|CAB5761286.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5761321|CAB5761321.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5761586|CAB5761586.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5761760|CAB5761760.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5761911|CAB5761911.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5762016|CAB5762016.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5762048|CAB5762048.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5762142|CAB5762142.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5762169|CAB5762169.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5762367|CAB5762367.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5762481|CAB5762481.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5762490|CAB5762490.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5762494|CAB5762494.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5762662|CAB5762662.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5762816|CAB5762816.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5762855|CAB5762855.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5763181|CAB5763181.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5763293|CAB5763293.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5763357|CAB5763357.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5763442|CAB5763442.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5763628|CAB5763628.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5763633|CAB5763633.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5763839|CAB5763839.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5763843|CAB5763843.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5763854|CAB5763854.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5763864|CAB5763864.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5763870|CAB5763870.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5763975|CAB5763975.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5764128|CAB5764128.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5764174|CAB5764174.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5764217|CAB5764217.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5764252|CAB5764252.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5764330|CAB5764330.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5764385|CAB5764385.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5764439|CAB5764439.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5764615|CAB5764615.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5764619|CAB5764619.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5764732|CAB5764732.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5765034|CAB5765034.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5765307|CAB5765307.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5765434|CAB5765434.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5765438|CAB5765438.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5765442|CAB5765442.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5765489|CAB5765489.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5765887|CAB5765887.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5766163|CAB5766163.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5766521|CAB5766521.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5766619|CAB5766619.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5766621|CAB5766621.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5766626|CAB5766626.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5766926|CAB5766926.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5767210|CAB5767210.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5767230|CAB5767230.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5767335|CAB5767335.1",NA,NA,NA,NA,"aurli_only"
"ENA|CAB5767506|CAB5767506.1",NA,NA,NA,NA,"aurli_only"
