From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ordered locus)	Gene Names (ORF)	Gene Names (primary)	Gene Names (synonym)
GBG23991.1	A0A2R5G7H5	unreviewed	A0A2R5G7H5_9STRA	ABC transporter ATP-binding protein	FCC1311_112291	Hondaea fermentalgiana	676		FCC1311_112291		
GBG23990.1	A0A2R5FZ35	unreviewed	A0A2R5FZ35_9STRA	ABC transporter ATP-binding protein	FCC1311_112301	Hondaea fermentalgiana	848		FCC1311_112301		
GBG23989.1	A0A2R5G116	unreviewed	A0A2R5G116_9STRA	SWR1 complex subunit 2	FCC1311_002082	Hondaea fermentalgiana	284		FCC1311_002082		
GBG23988.1	A0A2R5G2N1	unreviewed	A0A2R5G2N1_9STRA	cyclic pyranopterin monophosphate synthase (EC 4.6.1.17)	FCC1311_002072	Hondaea fermentalgiana	151		FCC1311_002072		
GBG23987.1	A0A2R5FZ08	unreviewed	A0A2R5FZ08_9STRA	Calcium-regulated actin-bundling protein	FCC1311_002062	Hondaea fermentalgiana	293		FCC1311_002062		
GBG23986.1	A0A2R5FZ01	unreviewed	A0A2R5FZ01_9STRA	ATP-dependent RNA helicase ddx23	FCC1311_002052	Hondaea fermentalgiana	814		FCC1311_002052		
GBG23985.1	A0A2R5G0D6	unreviewed	A0A2R5G0D6_9STRA	Protein psiR	FCC1311_002042	Hondaea fermentalgiana	1081		FCC1311_002042		
GBG23984.1	A0A2R5G8H6	unreviewed	A0A2R5G8H6_9STRA	Solute carrier family 12 member 9	FCC1311_002032	Hondaea fermentalgiana	848		FCC1311_002032		
GBG23983.1	A0A2R5G6B7	unreviewed	A0A2R5G6B7_9STRA	Solute carrier family 12 member 9	FCC1311_002022	Hondaea fermentalgiana	914		FCC1311_002022		
GBG23982.1	A0A2R5FZ07	unreviewed	A0A2R5FZ07_9STRA	Plastocyanin-like domain-containing protein	FCC1311_002012	Hondaea fermentalgiana	114		FCC1311_002012		
GBG23981.1	A0A2R5G7G5	unreviewed	A0A2R5G7G5_9STRA	BTB_2 domain-containing protein	FCC1311_002002	Hondaea fermentalgiana	225		FCC1311_002002		
GBG23980.1	A0A2R5FZ24	unreviewed	A0A2R5FZ24_9STRA	Tyrosine-protein phosphatase domain-containing protein	FCC1311_001992	Hondaea fermentalgiana	83		FCC1311_001992		
GBG23979.1	A0A2R5G106	unreviewed	A0A2R5G106_9STRA	Deoxyribonuclease Tat-D	FCC1311_001982	Hondaea fermentalgiana	484		FCC1311_001982		
GBG23978.1	A0A2R5G2M2	unreviewed	A0A2R5G2M2_9STRA	F-box only protein 21	FCC1311_001972	Hondaea fermentalgiana	303		FCC1311_001972		
GBG23977.1	A0A2R5FYZ8	unreviewed	A0A2R5FYZ8_9STRA	proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)	FCC1311_001962	Hondaea fermentalgiana	433		FCC1311_001962		
GBG23976.1	A0A2R5FYY9	unreviewed	A0A2R5FYY9_9STRA	BZIP domain-containing protein	FCC1311_001952	Hondaea fermentalgiana	593		FCC1311_001952		
GBG23975.1	A0A2R5G0C4	unreviewed	A0A2R5G0C4_9STRA	Polynucleotide kinase-3'-phosphatase, putative	FCC1311_001942	Hondaea fermentalgiana	202		FCC1311_001942		
GBG23974.1	A0A2R5G8G5	unreviewed	A0A2R5G8G5_9STRA	Peptidase_M11 domain-containing protein	FCC1311_001932	Hondaea fermentalgiana	1085		FCC1311_001932		
GBG23973.1	A0A2R5G6A6	unreviewed	A0A2R5G6A6_9STRA	Dynein light chain roadblock-type 1	FCC1311_001922	Hondaea fermentalgiana	93		FCC1311_001922		
GBG23972.1	A0A2R5FYZ7	unreviewed	A0A2R5FYZ7_9STRA	Zinc finger protein DZIP1L	FCC1311_001912	Hondaea fermentalgiana	873		FCC1311_001912		
GBG23971.1	A0A2R5G7F5	unreviewed	A0A2R5G7F5_9STRA	Reverse transcriptase domain-containing protein	FCC1311_001902	Hondaea fermentalgiana	499		FCC1311_001902		
GBG23970.1	A0A2R5FZ16	unreviewed	A0A2R5FZ16_9STRA	Ion_trans domain-containing protein	FCC1311_001892	Hondaea fermentalgiana	311		FCC1311_001892		
GBG23969.1	A0A2R5G0Z6	unreviewed	A0A2R5G0Z6_9STRA	Folate synthesis bifunctional protein	FCC1311_001882	Hondaea fermentalgiana	456		FCC1311_001882		
